text,emocion
"El escrutinio en el Senado va mucho más lento. Solo el 14,85% del voto escrutado #28A #ElecccionesGenerales28A https://t.co/mUdEpyDG89",otra
Ni perdiendo 71 escaños borra de su cara Pablo Casado esa molesta sonrisa de gilipollas. #EleccionesL6 #ElecccionesGenerales28A,ira
"USER USER USER USER USER El Gobierno de #España hace un llamamiento para que se celebren, inmediatamente, elecciones democráticas #Venezuela Aún están a tiempo evitar un derramamiento de sangre",otra
Nadie ha matado al rey nocturno... 😎 Team Arya 😍 #JuegodeTronos https://t.co/OdqRY99Inf,alegria
"¿Saben con que pudieorn haber apagado el incendio de #NotreDame ? Así es, con los elefantes que le negaron a Cersei #GameofThrones https://t.co/cIp9UHei82",otra
"#GretaThunberg, la joven inspiración por la responsabilidad climática https://t.co/pebQY8cio5",otra
Rosalía #JuegoDeTronos Me traicionaste .... por la espalda.. https://t.co/eTthYjyqsI,ira
"#Venezuela otra escalación de violencia: ejercito contra seguidores de USER . Es suficiente el apoyo de las Fuerzas Armadas contra Maduro???Sin fragmentar los poderes fácticos y sobre todo el poder de los militares, no se puede dar una paso hacia la democracia https://t.co/1mF9rEnl9H",tristeza
El Messi de hoy deslumbra! Que nivel #ChampionsLeague,sorpresa
"Bueno, y como #AsíEsLaChola asistí al #klimaatmars en Bruselas para ver a #GretaThunberg. Desde el tren que partió de Leuven pude ver a los cientos de jóvenes que iban a la marcha. Algunos iban con sus carteles muy felices de poder ir.",otra
El arbitro apoyando al Liverpool FLORENTINO #ChampionsLeague https://t.co/eHRKPn1Npc,otra
"No somos la España fragmentada, somos la España plural de siempre #ElecccionesGenerales28A",otra
#GretaThunberg Con el #15deMayo no aprendimos nada. A ver que pasa con el #15deMarzo y la lección que recibimos con mensaje de esta niña. Cada vez más y más jóvenes luchando por el #futuro que ya les pertenece https://t.co/LxHaTtNhjE,otra
"Messi empezó bien, termina mal. El físico del argentino le juega en contra a los 40' del PT. #ChampionsLeague",otra
Este hilo es la prueba irrefutable de que jamás hemos vivido una jornada electoral más tensa que la de las #ElecccionesGenerales28A #28A https://t.co/M5y2pJPhvH,otra
"USER que buena idea, la verdad es que enamorarse de un libro o una serie y leerla al completo es de lo mejor.... que grato saber que piensas en estas cosas presidente USER un ejemplo mas de humildad y buen corazon #DíaDelLibro📖",alegria
"Este capitulo de #JuegodeTronos dura 90 minutos, el mas largo de la temporada y posiblemente de toda la serie. Disfruten.",otra
La #CIDH se reune de urgencia para analizar situación de #Venezuela vía EFE,otra
Un USER muy enredado.. fácil rival para USER #championsleague,alegria
"O sea, no es por mí que lamento lo de #NotreDame, es por ti, y por todas las gargolas del mundo...",otra
"Por el #DíaDelLibro, Amazon está regalando nueve ebooks internacionales, entre ellos el de una autora mexicana 🤗 https://t.co/hEabLXefjX",sorpresa
#ChampionsLeague USER apestas a campeon... Te odio.,asco
"¡AY, POR FAVOR! Seguidores de Maduro marchan este #27Abr para celebrar la salida del régimen de la OEA (+Fotos) #Venezuela #30Abril https://t.co/REFwuOQ7FD",ira
El puto amo Leo Messi #Messi 600 goles #ChampionsLeague https://t.co/TVK0adBhNW,alegria
"Emmanuel Macron: ""Se ha evitado lo peor, aunque la batalla no se ha ganado del todo... Gracias a [a la] valentía [de los bomberos] se han salvado las torres y la fachada"". #NotreDame #France #Paris",alegria
"Además del patrimonio arquitectónico y cultural, tres grandes reliquias están en peligro por incendio en #NotreDame https://t.co/jFRQQslxOm",otra
Y la gente que decía que sanchez era un presidente ocupa??pues va a ser que no... Ahora a pactar con podemos!!!! Y a progresar e ir para arriba!! Está España si me gusta!! #ElecccionesGenerales28A,alegria
"Los Españoles de bien, estamos con la #Venezuela de bien y los venezolanos que están sufriendo la dictadura chavista https://t.co/yV6lJ1gcgJ",otra
El Rey de la Noche no estaría en Invernalia y nos habría engañado a todos con su verdadero plan #JuegoDeTronos https://t.co/v1H8xehct2,otra
Así actúa el #ReyDeLaNoche cuando ve el ejército que defiende Invernalia... USER #juegodetronos8x03 #JuegoDeTronos https://t.co/BvsVvLV3BD,otra
#BarçaLFC #ChampionsLeague Excelentes Piqué. Lenglet muy nervioso. Exquisito Busquets.,alegria
"Desde este pequeño foro que tengo mando mucha luz, mucha fuerza y todo mi apoyo a Venezuela. #Venezuela",otra
"Como cuando consigues una rata en tu casa, que te ve y se esconde, así esta Maduro y su combo. Tarde o temprano el fin será el mismo. Fuerza #Venezuela pronto serás libre",otra
Nuestro Alcalde Chavista USER en la Plaza Bolívar de #Barquisimeto estamos decididos a defender la Patria aquí Manda el Pueblo con USER y USER #PuebloEnMirafloresConMaduro #Venezuela #Lara https://t.co/DOQtie9yqK https://t.co/poOpeHi20g,otra
Y despues me preguntan por que lo amo tanto. #Messi #CHAMPIONS #ChampionsLeague #UCL #Lionel,alegria
Ahora es #OperacionLiberdad #Venezuela #JuntosPodemos Un pueblo unido jamás será vencido. #Venezuelan USER USER https://t.co/C1COgnZK2V,alegria
"USER Gracias a usted, estimado señor ministro USER por comunicar! #VenezuelaLibre",otra
"Ojalá USER tenga un plan serio para dar un golpe contundente al usurpador en las próximas horas, sobre todo mañana, que es para cuando había convocado la movilización; de lo contrario amanecerá el jueves con gran descrédito... Ineludible realidad!#VenezuelaLibre",otra
"Les recomiendo saco de huesos, este señor te intriga hasta que termines el libro. #DiadelLibro https://t.co/GCy9CxAYXU",otra
"""""Pseudospoiler"""" Bueno vaya decepción más grande, la gente que lleve desde 2011 viéndola lo siento por haber esperado 8 años para esto #JuegodeTronos #GOTS8E3",tristeza
"¡Feliz día del libro a todos! ¡Y felicidades a todos los Jorges! ""𝐄𝐥 𝐪𝐮𝐞 𝐋𝐄𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐀𝐍𝐃𝐀 𝐦𝐮𝐜𝐡𝐨, 𝐕𝐄 𝐦𝐮𝐜𝐡𝐨 𝐲 𝐒𝐀𝐁𝐄 𝐦𝐮𝐜𝐡𝐨"" (𝑴𝒊𝒈𝒖𝒆𝒍 𝒅𝒆 𝑪𝒆𝒓𝒗𝒂𝒏𝒕𝒆𝒔) #diadellibro #santjordi #finanzaspersonales #banca #se…https://t.co/2zJ97dpaps",alegria
"El coletas quiere a toda costa estar en el gobierno, le ha cogido gustillo a los chalets que tanto detestaba y ahora va a por los sillones de la “casta”. Hay que apostar por un gobierno moderado y más respaldado #ElecccionesGenerales28A",asco
¡Enhorabuena al USER por el título de #LaLiga 2018/2019!,alegria
"#Venezuela Venezuela: La derecha, ataca de nuevo. | Otra Voz https://t.co/Oyg9c6kS2A",otra
Trump amenaza con endurecer el embargo a Cuba si no cancelan sus operaciones militares en Venezuela #EEUU #Cuba #Venezuela #DonaldTrump https://t.co/jz8EBMrsTn https://t.co/p4slPeSVnX,otra
El #liverpool ya perdonó 2 goles y cuando se perdona tanto... #ChampionsxESPN #ChampionsLeague #ChampionsRPC #UCL #BarçaLFC,otra
Canciller venezolano respondió a Piñera: “No es extraño ver al adorador de Pinochet apoyando golpes de Estado” https://t.co/gVV0EDqZhD https://t.co/Orrdq1uJrT #GolpeDeEstado #Venezuela,otra
Estoy esperando su vídeo del incendio de Notre-Dame con audio de los gemidos!!! A ver a qué hora cabrones!!! Se están perdiendo los valores!!!! #NotreDame,asco
Que raro que pp baje tanto si prometieron bajar el salario mínimo será que la gente quiere estar bien pagada? #ElecccionesGenerales28A,sorpresa
"Osea sí, mal pedo por lo de #NotreDame, al fin y al cabo es Patrimonio. Pero así debían hacer drama mil cada que se extingue una especie animal.",ira
"#DiaDelLibro📖 | Celebrado y promovido por la UNESCO; desde 1996 se celebra el día internacional del libro y del derecho de autor, cuyo objetivo principal es fomentar la lectura y la protección de la propiedad intelectual. https://t.co/EUqK0psUKA",otra
Esta la gente que todavía no entendió que la iglesia no es solo un edificio! #NotreDame,tristeza
Definitivamente USER es una desgracia. La forma en que justifica a USER en #Venezuela dan ganas de vomitar. Justifica habernos obligado a votar en su contra. Al parecer el mal escogido sí fue el mal menor.,asco
"Al ver esta imagen entiendo muchas cosas. Nadie podemos opinar sobre la sisituación de #Venezuela, sólo ellos sabrán la verdad. De verdad creen que Estados Unidos este interviniendo sólo por razones de humanidad y justicia? La pregunta queda en el aire........ https://t.co/zeSixRIJb1",otra
Que mierda debes tener en la cabeza para realizar esto. 😢 Tanques militares atropellan a manifestantes pro Guaidó en Caracas. #Venezuela https://t.co/om9spWpTNs,ira
"#NotreDame un chingo de mexicanos mamadores bien consternados hasta el llanto por la catedral, pero yo no leí tanto tuitero consternado por las 50 hectáreas de bosque consumido en el bosque de la primavera en jalisco.",tristeza
Y ahora vamos a la otra batalla...#Winterfell #JuegoDeTronos #GameOfThornes https://t.co/YRMEJVnPN3,otra
"🏆 El Barça, obligado a ganar al Levante para ser campeón https://t.co/VlRSThf3u2 #LaLiga https://t.co/xMnQNclPHA",otra
"Debido a sus esfuerzos para combatir el #CambioClimatico y salvar al #planeta, así como por inspirar a los jóvenes de todo el mundo a luchar por lo mismo, la sueca #GretaThunberg Thunberg fue nominada, a sus 16 años, como candidata al #PremioNobeldelaPaz.",alegria
Ayer también #GretaThunberg logró decir verdades en Davos respecto al poco interes de los más poderosos con el medio ambiente. #ClimateAction https://t.co/caQEKsQ8Q6,otra
Acabo de ver el gol de Messi... ¡TREMENDO! #ChampionsLeague,alegria
Tibia reacción del gobierno español con la situación en #Venezuela #concepto,otra
#ElecccionesGenerales28A solo con ver que UP ha duplicado casi a vox me voy a dormir contento,alegria
"#spanishrevolution15m #Gretathunberg USER , activista climática de 16 años, tiene un mensaje para ti.https://t.co/TKZOcxDMev",otra
Pinault donará 100 millones de € para restaurar #NotreDame https://t.co/i35diWMOu7,otra
Así me quedé hoy con el capitulo de #JuegoDeTronos #gameofthrones #FelizDomingo https://t.co/e8YeT88hzh,otra
Solo espero que el intercambio de libros entre USER y USER no sea ahora también intercambio de sillas y vayan juntitos #ñaaa #ElecccionesGenerales28A,otra
"USER USER Comentario más asqueroso, malditas Oriana a #Venezuela, la Gahona que rápido se le paso el luto de #Chiquetete y Sofía con sus clásicas respuestas de 2 neuronas no le da para más el cerebro",ira
La #ONU llamó a Maduro y a Guaidó a «evitar cualquier violencia» en #Venezuela https://t.co/t6G6h9TgC2,otra
Que viva el rey. El Fútbol club Barcelona Ed el nuevo campeón de la liga española. Con 83 puntos el club catalán logro salir campeón a falta de dos fechas para culminar USER . #Barcelona #Cataluna #LaLiga #Campeones #Messi #Dembele #soccer #Champions https://t.co/XCjkg4l3vG,alegria
Las criptas de #Invernalia: ¿terror o esperanza? #JuegoDeTronos #PorElTrono https://t.co/Q58DEuXEzf https://t.co/fOuqULUuVR,otra
Espero que por dignidad después de estos resultados USER esté recogiendo sus papeles....y se largue cuanto antes #ElecccionesGenerales28A,ira
"A seis días sin luz, Venezuela anuncia restablecimiento total https://t.co/PcGyLxQwMa #GretaThunberg #SaveODAAT #SalisburgoNapoli #ei https://t.co/KScruXUUvn",otra
"Bueno , pues a esperar nuestro destino con o sin independes , preparando el bolsillo , #ElecccionesGenerales28A",otra
Guardaré en mis ojos tu última mirada... 💔 #notredame #paris #francia #photography #streetphotography https://t.co/fEUhRv3UN1,otra
Sigue a este pavo q regala pavos USER #JuegodeTronos #AvengersEndgame #BranStark,otra
"4992 km son los que separan #Argentina de #venezuela ... A las personas que les interesa tanto lo que ocurre con USER pueden ir a ese país.... Tantos kilómetros no son, no? O les da fiaca? Vamos remolones....#Venezuela los está esperando! https://t.co/htlVW66DE6",otra
El #DíaDelLibro del año pasado me publicaron por primera vez. Ese es el motivo más grande por el que me emociona tanto. ❤️✒️ https://t.co/x1wt8nNXqI,alegria
"Si yo fuera un libro, sería de esos libros casi nuevos que están medios rotos. Una novela latinoamericana, con algo de historia y un conflicto existencial. Una historia de amor con momentos mamones y un final inconcluso #DíadelLibro",otra
Por lo menos estoy menos ansioso. Qué ironía. #YNWA #ChampionsLeague,otra
Hoy tarde de oraciones. Pido por todos mis amigos venezolanos que hoy sufren la opresión a fin de que llegue pronto una #VenezuelaLibre sin violencia. https://t.co/C3GAUJ7U3a,tristeza
"USER Y la tensión en #Venezuela no la muestran? Enfrentó a la policia ese militante, menos mal está todo reflejado en un video",ira
"por fin #Gretathunberg : ""las generaciones de adultos han fracasado..tenemos que salir de nuestras zonas de confort"" https://t.co/s8Dd1ZP5jC",otra
Esas vueltas de Messi jajaja por eso por muy bueno que sea nunca será de mis favoritos #ChampionsLeague,otra
"A propósito del #DíaDelLibro 😍: La de la Sorbona, la Pública de NY y otras bibliotecas, las más bonitas del mundo https://t.co/r4E5sjHxtf",alegria
#GRATIS en Amazon por el #DiaDelLibro Ella sabía que no estaba sola en aquella cabaña... #Romance #Erotismo #Misterio #Fantasma LO QUE OCULTA TU CORAZÓN Gratis para #KindleUnlimited https://t.co/aofjJEg8QS https://t.co/ph72Cn7Kv1,otra
La buena noticia es que gracias a sus fotos ahora todos sabemos que #NotreDame se construyó en 1163 🙄🙄🙄,alegria
"Que no nos vais a hacer retroceder, porque cuando te pones las gafas violetas ya no hay marcha atrás #EleccionesA3N #28ALasFeministasVotamos #ElecccionesGenerales28A",otra
"Nominan a #GretaThunberg de sólo 16 años de edad, al premio #Nobel de la Paz. La joven sueca fue postulada por su papel en la organización de protestas contra el cambio climático. https://t.co/hQ6b85BH5l",otra
Rivera es un impresentable... incluso cuando obtiene un buen resultado #ElecccionesGenerales28A #28A   #EleccionesL6 #EleccionesRTVE,ira
"Lunes negro para París, a punto de caer la catedral de #NotreDame... Mala yuyu dirían los antiguos. Bomberos en París dudan poder controlar el incendio en Notre Dame https://t.co/pRM43sdSUe #NotreDameFire",tristeza
"#JuegoDeTronos serie que se caracteriza por matar a todos sus protagonistas. En la batalla más ""épica"" la palman 4 contados.... 😭",otra
Me encantan las personas anónimas que empujan y construyen. #FridaysForFuture #GretaThunberg,alegria
¿Ya listo para el juego de ida de la semifinal de la #ChampionsLeague? No te pierdas el #MinutoAMinuto del USER vs USER por USER 👉 https://t.co/3rrwHAkJRR https://t.co/jkD8Is26OM,otra
#LaLiga Así levantó Messi el trofeo de campeón para el Barcelona. https://t.co/xLwJ607amk,otra
Y pensar que todavía hay quien duda que es el mejor del planeta...Chale! #ChampionsLeague #Messi #BarçaLFC,otra
Hermosa ostia la q se ha dado el PP #ElecccionesGenerales28A #Elecciones2019,alegria
"Feliz lunes, ahora con Mas motivo que ayer, a trabajar duro, y sacar este país adelante que falta nos hará. Y ser más optimistas con la que nos viene ... #arribaespaña #buenosdias #Españoles #ElecccionesGenerales28A",alegria
"En Damasco, Siria, también quedaron destruidas construcciones de valor histórico, y nadie hizo nada, ¡paaaah! #NotreDame.",ira
"RT MaestraTuitera: #DiaDelLibro No busquen excusas para abrir un libro, háganlo sin pensar más allá, que todo lo que viene con ese gesto son beneficios: Te hace más libre, te aumenta las conexiones del cerebro, da experiencia, te encuentra contigo mismo … https://t.co/N3qNUiwmFO",alegria
"GOLAZO DEL MEJOR DEL MUNDO, DE LA HISTORIA. #Messi #ChampionsLeague",alegria
Que clase táctica están dando estos dos Equipos... bendita #ChampionsLeague USER vs USER ,otra
#Sinceramente me gustaría que gane Cristina para que se quede con Clarín y todos estos medios de mierda que tergiversan la realidad. No los pienso defender esta vez. Lo que dijo Macri es lo que expreso USER y no USER #CaeCarrio #TardeParaVolar #DiaDelLibro https://t.co/KU9hLV5i8l,asco
"Este año el #DíaDelLibro en esta magnífica biblioteca del USER , mi lugar de trabajo. Fotografías y alguna joya documental. Un placer descubrirlas y pensar en cómo difundir estos fondos #SanJorge2019 https://t.co/lmqr2TgSJf",sorpresa
#AryaStark es la MVP del segundo episodio de #JuegoDeTronos porque ha aprovechado mejor que nadie la noche previa a la batalla. #VivePoniente en USER ,otra
"‼️Mientras 815 millones de personas padecen hambre crónica en el mundo, el 33% de los alimentos del planeta se desperdicia y el 56% de esos residuos se genera en los países industrializados. ¿Hacemos algo ya? #15MClimatico #FridaysForFuture #GretaThunberg USER https://t.co/e3So3pRBom",tristeza
BATACAZO DE V🤮x El ORGASMO de las feministas🤟🏻 #ElecccionesGenerales28A #EleccionesL6,otra
ME DEDICO ESTE TITULO DE #LALIGA A MI MISMA EN MI CUMPLEAÑOS. GRACIAS DE NUEVO,alegria
Con ustedes el probablemente mejor meme de #GameOfThrones. 😁😁😁😁😁😁😁 #ChampionsLeague https://t.co/4ENWuCx6M6,alegria
LOS ESPAÑOLES “DE BIEN” Y MODERADOS HAN VOTADO Y HAN DECIDIDO LA ESPAÑA QUE QUIEREN #EleccionesL6 #ElecccionesGenerales28A https://t.co/h1n3kGhnP6,otra
"Ahora tengo una duda. ¿Se atreverá Sánchez (o el PSOE, que no es lo mismo siempre) a gobernar en minoría simple (pactando con nacionalistas presupuestos), o irá a por segundas elecciones? ¿Qué pensáis? #ElecccionesGenerales28A https://t.co/39zFms6YUL",otra
En Devoim estamos celebrando el #DíaDelLibro por todo lo alto... 😁 https://t.co/ZTN3iuA3xG,alegria
No me he sentido emocionado en casi ningún momento con el 8x03 de #JuegoDeTronos No he sentido miedo o temor que es lo que esperaba sentir. He de decir que no iba con muchas expectativas,otra
"En el #DíadelLibro recomiendo ""El Futuro es Vegetal"" de Stefano Mancuso https://t.co/XlMrP6RrCU",otra
Cuando ves el gol de falta de Leo Messi: #BarçaLFC #ChampionsLeague #FCBLIV https://t.co/JCEjNcJP4U,otra
"#JuegodeTronos no hago spoiler ,solo decir que este capítulo ha sido un capitulazo , y que te tiene en vilo todo el capítulo hasta el final , una joya vamos",alegria
Que bonito es lo bonito!!! ⚽✨ Estos fueron los mejores momentos de la victoria del USER 1-0 al USER en la #ChampionsLeague https://t.co/S8hkvbFeaA,alegria
De pie todos para recibir en el #CampNou al #Barcelona de Lionel #Messi y al Liverpool de #VanDijk ¿Quien se quedará con el duelo de ida de #ChampionsLeague? https://t.co/7Zb1GCQqxi,otra
Después de los resultados de #EleccionesGenerales y ver el último capítulo #GoTS8 Cuando te levantes el lunes ¿Quiénes van a sufrir más bajas? #28Abril #VivePoniente #JuegoDeTronos,otra
Que ganas de soltar todo lo que pienso sobre #JuegodeTronos AAAHHHH!!,otra
USER USER USER USER urgen acciones contra masacre a personas en #Venezuela https://t.co/GpzPRHprmL,otra
"Ver a los representantes más sesudos e impostados del mundo occidental escuchar con admiración las fantasías proféticas de una niña, me hacen temer la vuelta a los tiempos oscuros del medievo #GretaThunberg",otra
Siguiendo los acontecimientos con preocupación #Caracas #Venezuela 🙏,otra
Esto es un no parar todo el fin de semana liado con #VengadoresEndgame hoy a tope con las #EleccionesGenerales28A y cuando ya pensaba que iba a descansar (y feliz todo sea dicho) tenemos #JuegodeTronos en menos de 1 hora esta semana he llegado ya al límite de tocamientos #NoEsNo.,otra
Qué opino del incendio de la Iglesia #NotreDame ? Una iglesia menos para la corrupción y pederastía católica. 😁,alegria
"Un forma de tramitar la angustia, una pérdida e incluso -porqué no- un duelo. #NotreDame https://t.co/PgVzX0L4d1",tristeza
Uno llega a ser grande por lo que lee y no por lo que escribe. #Borges #DiaDelLibro,alegria
"Esta #Championsleague tiene ya dueño : el USER . Si el #liverpoolfc ha perdido hoy 3-0, habiendo merecido ganar...",otra
Esto mas que una guerra ea una matanza! LA PUTA MADRE VOY A LLORAR #GameofThrones #JuegodeTronos,ira
El momento exacto cuando se cae la torre de #NotreDame https://t.co/aCzOqq14pX,otra
Nada es para siempre. #NotreDame nos lo recuerda.,tristeza
USER Cuando los rusos intervienen no veo a ningún socialista del siglo 21 defendiendo la soberanía de la patria de la que tanto les gusta hablar. Todos son cómplices de la situación inhumana en Venezuela. #HandsOffVenezuela #VenezuelaLibre,ira
#Diadellibro leer nos hace más interesantes https://t.co/xc1iBGLVex,otra
Religiosos en #EEUU se pronuncian contra la intentona golpista en #Venezuela https://t.co/UxrnNLyzCw,otra
"Compra,regala, pero sobre todo lee libros, son armas de instrucción masiva. #DiaDelLibro #23Abril https://t.co/HAs1VVXSDl",alegria
USER La Unión Europea ha sido absolutamente inútil en ayudar a recuperar la democracia o preservar los derechos humanos en #Venezuela. Muchas gracias por su opinión https://t.co/YYgOczO4no,tristeza
USER el #fraCasado centrista apoya a USER con #venezuela jijiji me pierdo chupito,alegria
Creo que #JuegoDeTronos ha dejado en 1h y 30min a tropecientas temporadas de #TheWalkingDead  es la pura y más absoluta mierda... #NotToday https://t.co/mYsxHGOz8o,ira
La lectura lo es todo y hoy lo celebramos. ¡Feliz día del libro! #DiaDelLibro #NaturalOptics https://t.co/7BmVedubU1,alegria
Hoy juega su santidad Lionel Messi... #ChampionsLeague,otra
Hoy que es el #DiaDelLibro ¿Cuál me recomiendan?,otra
Sabemos que vivimos en tiempos oscuros cuando un equipo corrupto como el USER ROBALONA queda campeón de #LaLiga,ira
listo para ver ganar al #Liverpool #CHAMPIONSxESPN #ChampionsLeague 🙌🙌🙌,otra
Goooooolazooo de #Messi!! El mejor del mundo!! 3-0 #ChampionsLeague USER ,alegria
Los mariachis ahora en la sede de Génova cantando “Yo se bien que estoy afuera...” es una de las escenas de la jornada #ElecccionesGenerales28A,otra
"USER USER La #OEAconVzla en el caso de las Malvinas🇦🇷 ni pío dijo😴 y ahora con #Venezuela apoya un golpe de Estado de USER 🤔 Incongruencias de USER es claro que está de tapete de USER El grupo de lima, está perdiendo su jugo.",otra
✅ Barcelona es el CAMPEÓN de #LaLiga 🏆 Jugará la final de la #CopaDelRey y está en semis de #ChampionsLeague 🤔¿Conseguirá el triplete? https://t.co/SnzNhF0Irr,sorpresa
"Día para estar en casa, ver la #ChampionsLeague y en la noche #FinalRegiaxFOX 💙⚽️😊",otra
USER y USER reclaman x un penal a favor de USER (pusieron la repetición mil veces) y no ponen una sola vez la repetición de los 2 penales a favor de Liverpool. Ya se con que camiseta puesta están narrando. #ChampionsxESPN #championsleague,otra
NO SUELO TWITTEAR NADA DE GOT PERO NO HAY PUTAS PALABRAS NI MAYÚSCULAS QUE DESCRIBAN ESTO #JuegodeTronos,ira
Y a la vez para que haya científicas a las que escuchar hay que ir a clase. #GretainParliament #GretaThunberg https://t.co/TlLUeskoOt,otra
Seguro que no tienen ni los 18 y son mas conscientes que muchos mayores.Que no os compren. No necesitais votar para que os escuchen.#concienciate #humanizate #liberate #15MClimático #GretaThunberg #FridayForFuture https://t.co/G0RukczDfw,otra
"#Ahora - El jefe de Bomberos de París informa que se salvará la estructura del edificio de la Catedral de #NotreDame, es decir que se tendría que reconstruir todo el techo, pero no las torres y paredes. https://t.co/rU3TEIItET",otra
"Un terrible incidente el fuego devastó a la catedral de Notre Dame, símbolo de la capital francesa, Patrimonio Mundial de la Unesco y uno de los monumentos más visitados del mundo #NotreDame #París #Francia #15abr https://t.co/QpSdIEOjGQ",tristeza
"Maneras de ver #NotreDame, un suceso para la reflexión... https://t.co/xbqWqpZ1xF",otra
#Venezuela: por qué los militares que apoyan a la oposición se identifican con cintas azules https://t.co/CGNJjX2MjM vía USER ,otra
"En el #DíaDelLibro uno de mis favoritos “El Principito”, el primero que leí completo, gran regalo de mi Tía Elva, siempre agradecido con ella, me enseñó mucho en el aula, pero más en la vida. https://t.co/6pnhQtdJPk",alegria
"#DiaDelLibro el que me provocó un antes y después: Así habló Zaratustra: «el hombre es algo que debe ser superado» ¡Mirad, yo os enseño el superhombre! El superhombre es el sentido de la tierra. Diga vuestra voluntad: ¡sea el superhombre el sentido de la tierra!",otra
"Este Miércoles festivo en Colombia, está más atravesado que los carros cisterna de Maduro en la frontera. #Colombia #Venezuela #1deMayo",ira
"USER USER USER Si la señora que tenía que ir a #Venezuela lo hubiera hecho a tiempo, tal vez ésto no hubiera ocurrido.... Señora: Lo dejo a su conciencia",otra
Brutal el capítulo de Juego de Tronos...si lo has podido disfrutar sin spoilers deja que los demás lo hagan también! #StopSpoilers #JuegodeTronos #GameofThrones,otra
En mi cole hay una pancarta por #gretathunberg pero he tenido que explicar a muchos niños de qué va...,otra
USER #VivaVenezuelaLibre #VenezuelaLibre resistan amigos venezolanos ánimo saludos desde #mexico 🇲🇽🇲🇽🇲🇽,otra
Esto se merece un grupo para comentar que está pasando y qué pasará. #JuegodeTronos #GameofThones,otra
"#DiaDelLibro | Los argentinos seguimos teniendo una enorme vocación de leer, escribir y escuchar. Sucede a pesar de la crisis económica y de la crisis que acarrean las nuevas tecnologías. https://t.co/xKvpySO5Wx",otra
"Messi no para de sorprender. Es tan impresiomante que genera adoración en el director técnico rival. Gol de otro mundo, como de costumbre. #UCL #FCB #ChampionsLeague",alegria
Pero quien te ha insultado a ti tontopolla #ElecccionesGenerales28A,ira
