text,emocion,label
"@SoyPabloMiguel Expedito, porque es de las causas urgentes. Ideal para gente ansiosa, como sho.",miedo,1
Ahora me voy a ir a dormir enojado.,ira,0
"@OscarAlessandr0 @GolDNakama Estoy al día con el manga y te dire una cosa, esa chica no es el waifu ideal para Tatara ",otra,6
"Estoy segura de que en mi examen de hoy saqué 10 y estoy muy contenta, ya quiero hacer otro examen.🙈",alegria,3
Que matón vale jaja.,alegria,3
"Necesito personas que digan a todo ""si"" y no que salgan con ""peros"" ",ira,0
En dos findes o tres voy a estar en corboda 😀,alegria,3
"@medicendaysi El martes no hay examen, así que que sea lo que Dios quiera ",otra,6
@solm_ferzm Nota mental: no volverme a quedar a dormir en tu casa. ,otra,6
@luciashan_poo Tómese una pastilla 😃,alegria,3
Amo tanto a mi hermanito a pesar de todo 👫😍💗💗,otra,6
Que bonito cuando acaricio ahí 😂,alegria,3
"Por cada minuto de enfado perdemos sesenta sejun,os de felicidad.",ira,0
"HOLAA, TE VI CAMINANDO EN LO OSCURO SOLA, EN ESTE JUEGO TU TIENES LA BOLA, QUIERO COMERTE COMPLETITA TODAA, QUIERO COMERTE COMPLETITA SOLAAA",otra,6
@Corakoraa @TribunalCJ ira a la basura.una pena perder tiempo en ir a la  justicia burguesa,ira,0
Alarma lista para mañana temprano pues,otra,6
Pelea con mi mama #triste,tristeza,2
"""El único Espada que me resulta ligeramente agradable es Zommari. Me respeta como superior y no perturba mi existencia.""",otra,6
@juancatab En serio!??,sorpresa,5
estoy: enfadada y yo nunca me enfado,ira,0
Mi corazón es grande pero mas grande es mi enfado,ira,0
@DebRyanShow no sé si me debería de dar pena o alegría de que ha sido de puro #Rayito,alegria,3
"@AzulRosito Ya lose,pero es tan lindo,y encima negrito,voy a llorar 😢",alegria,3
"|| Acabo de leer el twett de user de Brooke y mi mama al mismo tiempo dijo ""anda mal el internet"" #miedo. Ahre les contaba su vida.",miedo,1
"Mi bien ponderada @piCkOL, ¡feliz cumpleaños! Me tomo tres cervezas a tu salud. Abrazo grande pa' ti.",alegria,3
"@germxnthief < espalda del rubio, la cuál probablemente estaría marcada, pero ni con eso logró sofocarlo pues un gruñido salió de sus >",otra,6
@haashoficial  por que ami  Me tiene que pasar esto 💔 Quiero gritar que ya basta 😿 Quiero abrazarlas pero nunca podré Dios mío 😷😭  #triste,tristeza,2
Jajajaja de lejos veía a Fran re desesperado por ver a los chicos 😝,alegria,3
Encima se enojo vieron es más tonto,ira,0
@francellabrenes Literal no he ni visto el temario ni nada ,otra,6
El optimismo es el hilo conductor hacia el éxito. Bruce Lee,otra,6
@darlyssolanof @VictorBolivarM @AnaMarcelaPint0 Yo no hice bloqueo ,otra,6
No sé cómo mi hermana se dejó que le decolorara el cabello sin saber nada ,sorpresa,5
"Mariscales 10 Tiburones 1. Gano Yesid Salazar. Perdió Ramón Ulacio. Destacado Edgar Muñoz de 4-3, 1 anotada y 2 impulsadas.",otra,6
Que ningún gil apague tu sonrisa,otra,6
"@KloudZNiper Cosas que pasan. Estoy cansado de muchas historias a raiz del pelo. Pero mira el lado positivo, por fin te sigo.",ira,0
@AfroParadise #ironía Uriel.  Pero los medios parecen ver más correcto lo que yo digo que lo que tu dices,otra,6
@CatalinaSpring Jajajajajaja que rabia,alegria,3
Noches de llanto 😕,tristeza,2
"PORQUE SEEE QUE SIEEEMPRE,  QUE SIEMPRE ES AMARGO EL ADIOOOOS 🎤",tristeza,2
Llevo 24 horas sintiéndome mal. ,tristeza,2
No creo que puedan comprender mi enojo eterno porque a Cinépolis se le ocurrió proyectar Mulan cuando estoy fuera del país 😡😡,ira,0
Por tanto aguante. Gracias 💛 ¡feliz día!,alegria,3
Tengo es como ira de como me tienen la moto en él parqueadero,ira,0
"@babynlf « recibir su respuesta, su ceño se frunció.—  “¿Que sientes el qué? ¿Dónde estás?”",otra,6
"@nunurob Tía, he apuntado el número HOY para asistir de público. ",otra,6
aquela nostalgia gostosa escutando audioslave,tristeza,2
"De la flor de Zidane, a la flor de Valverde. Las vueltas del fútbol. #Ironía",otra,6
Si quieres verla sonreír háblale de mi y ella te dirá cómo fue que se le olvido todo aquello que eras tú cuando me conoció a mi,otra,6
Mi relacion con yerko es un cague de risa,alegria,3
Que rabia cuando se me quita el sueño,ira,0
@mnjhqvd @halasyriagmail1 @mqgs1 Deseas relajarte. Bien.!!! Practica Yoga. Te ira Súper.!!!,alegria,3
por eso necesito estar re polle y perderme así las dejo de joder ,ira,0
"Espero qe todo este esfuerzo sirva de algo , estoy muy cansado",tristeza,2
"Felíz día a todos mis amigos, a los nuevos que me cayeron genial, a los que conozco hace mucho, y a los que alguna vez fueron mis amigos☺",alegria,3
"""Mañana viaje de negocios""  *tengo que ir a poner una alarma a un pueblito que ni sabía que existía*",otra,6
Ahora se viene la mejor parte de Encantada lpm✨✨✨✨,alegria,3
@florenciagerez_ Jajajajajaj tomatela cara rota esa sos vos ,alegria,3
@SUR_cultura @cacmalaga @ajavierlopez Pero vamos que es un poco la tesis del cura Perez Pallares de no ofender a nadie.,otra,6
@sivalenciac @bolivarmvb sólo haz ido sábado y no los otros días 😂 ve los otros días y después dices cuál es mejor,alegria,3
"la valija podia pesar hasta 23 y pesó 22 con algo, eso es vivir al limite bebé",alegria,3
Tengo frío ,otra,6
Estoy escabiando desde las 11 de la mañana tipo me desayune una birra y me voy a ir tomando una ,otra,6
me acabo de acordar de que este curso hago selectividad y tengo ,otra,6
@SolDeusebio Chistosa 🙄😑😑😑😑,alegria,3
Mi cuerpo se vuelve carne y el deseo no es mutuo ni nomade. La misma pesadilla de deshumanizar lo que en algun momento fue mio y fue amor,tristeza,2
"Me puse a ver vídeo desde que Hobi debutó, el orgullo y felicidad que es ver todo lo que ha logrado, y que pronto sacara su mixtape no puedo",alegria,3
"Buenas noches mis princesas, que tengan dulces sueños💕😴 MAÑANA NUEVO VIDEOOOOO estoy muy emocionada ya las extraño 😢❤️ las amo",alegria,3
"Mi momento favorito de Cirque Du Soleil fue cuando se escuchó un hermoso ""@sebastianpinera conshetumare"" seguido de aplausos.",alegria,3
No se aguantarme el enojo ni la cara de orto,ira,0
Esta vuelta a Capital tiene gustito a que el 5 vuelvo 😊,alegria,3
¿Por qué Bad Bunny se vestirá tan mal? ,asco,4
Historias de un toledano enfurecido,ira,0
Me duele la rodilla lpmm espero sea mas que dolor 😥,tristeza,2
@Alan_frete13 Igual me respondió hace casi mes pero la felicidad sigue ahi💕💕💕💕,alegria,3
Neta ya cállense a la verga todos ,ira,0
Y si mejor considero todo otra vez... por que esto se está volviendo un ciclo ,otra,6
Adivinen quien tiene médico el lunes que viene y tiene miedo porque la van a pesar 😣,miedo,1
Jajajajajajajajaajjajajaajaj era peligrosa la tecnica,alegria,3
❤️✌🏾Ya somos 400 Seguidoresss✌🏾❤️ #gracias #Feliz #FelizLunes #LunesDeGanarSeguidores #SIGUEMEYTESIGO #SiguemeYTeSigoDeVuelta #Rt,alegria,3
Oks estoy r3 cansado ganas de dormir y fue,tristeza,2
Un mes y ya estoy pensando en LA Nostalgia que se viene 💃🏽,tristeza,2
Estoy por mandarle un mail a mi ex-tutora para preguntarle si puedo seguir con el tfg #tristeza #morriña #sentimientosencontrados #confusion,tristeza,2
@mferp98 Ya duérmete ,otra,6
"Evadirse del Problema Interior Provocado por la Personalidad no Es más que Avocarse hasta el Dolor, el Estrés,el Agobio o el Malestar.",miedo,1
Mis ganas de que ya sea fin de semana son terroríficamente impresionantes,otra,6
En Maipú hace falta una peluquería ATR ,otra,6
"""No tengo números,tengo sensaciones""(Brancatelli).Si fuera meteorólogo diría q va a llover xq le duelen los callos.Q serio #JuevesIntratable",sorpresa,5
"@infiredannie ... Ofensa directa es una ofensa en la que intento hacer daño, si discrepas de mi pensamiento lo dices y punto",ira,0
Ayer me baje dos juegos de terror y me da cosa jugarlos🙄,miedo,1
"@karma_guizmo En lugar de un novio, te brindo un amigo sincero que disfrute la peli que elijas ",alegria,3
@MQuevedoF lamentable todos los destrozos y muertes a la GMV..nos da mas razon p la CONSTITUYENTE. VENCEREMOS.....!!!,ira,0
Diablo ni yo me lo creo ,sorpresa,5
@Pausgarciaa @SofiaHdz1724 Pensé que estabas enojada wowow,ira,0
Hoy anduve re Chinito esto de la resaca jaj ,alegria,3
"Que lindo desactivar la alarma y dormir hasta cuando yo quiera, asi sí vale arrancar la semana 😄",alegria,3
Kimberly me tiene más nerviosa,miedo,1
@CarlossMartinn Pa que dices na ,otra,6
"Ya estoy en mi casa, ya le puedo llorar a @ChesterBe 😭",tristeza,2
"@Anxi_us Te llevaría, pero está a punto de llover y me da miedo el ambiente eléctrico y me dan paja los mosquitos",miedo,1
Y ahora fui a verlo y no esta roto ,otra,6
Que noche más aburrida.,tristeza,2
"Depresión rima con Bennington, coincidencia? No lo creo.",tristeza,2
Por cada mifuto de enfado perdamos sesenta segundos de felicidad.,ira,0
@arkangel_dragon Creo q fue un poco de venganza,asco,4
"Tienes #insomnio o #depresión post #sismo? Ven a mi casa, te armo un porro. La propuesta es seria.",otra,6
Búsqueda implacable de conos😂😂😂,alegria,3
El corazón amargo come a su dueño.,tristeza,2
Si hay algo q me da miedo es equivocarme de grupo y mandarme el moco del año o de la vida ,miedo,1
@IraidaTravis Hace poco fui a un concierto y apareció Joe de sorpresa cantando ese tema y de ahí que la tengo pegada jaja 💕,alegria,3
alv los old tweets me tienen bien inspirada ,alegria,3
@trepidwarrior esque mi internet esta ripeando ya despues como a las 11 ira bien,ira,0
@EsttebanGalvan Si vdd? 🙁 quien sabe porqué,sorpresa,5
@zaurendrunks @aIrengoaIz @onlyIaurens Cállate señorita venganza,ira,0
Últimamente estoy tranquilo. Me asombro. Estoy extrañando pelear. 😂,alegria,3
"@randymeeks Ay que pena la gente desinformada... Díselo hombre, díselo... Díselo de mis partes!! XDD #Ironía #HumorTesticular",alegria,3
brillito me salvo de un momento de desesperación como la amo,otra,6
@ElectrikalStorm @pilimbergo Jajaja ,alegria,3
@adnradiochile Tienen el tremendo billete... Eso tienen x que abren la boca y queda la escoba,ira,0
Madurar es poder sonreír frente a esa persona que te hizo llorar.,tristeza,2
"""Siempre rie cuando puedas!... Es medicina barata: 👌😜💪  Lord Byron  #Sencillo #Felíz #HayQueReir #ParaNoLLorar",alegria,3
"Es increíble la ansiedad que tienen estas minas por salir a kta, las quiero un poquito nomas 😂😂😂",alegria,3
@kalebalemayehu_ @NOCHlLLVlNES yo wtf ,sorpresa,5
@rvenegasq Hoy todo es fake ,ira,0
Que horror quienes usan traje y converse.,asco,4
"Me da mucha rabia cuando poneis: ""ay si yo hablara...."" HOLA????? PUES CUENTALOOOOOOOOO",ira,0
Está forma tan cobarde de decirnos que no ... ☕️🍃,ira,0
@JaYcob2423 @J_Tanie @annafvbiola Mucho gusto Juan jajajaja,alegria,3
"@Mickey_Dozanti Lamentable para mi, no creo que sea posible vernos, y eso si me pone sad. 😢💔 Igual se divierten y la pasan bonito. 😃❤✨",tristeza,2
Cansancio para regalar. Info aquí 👋,tristeza,2
@MatiPagliano La concha de tu vieja! Mañana vas a terminar muerto en espalda ,ira,0
@DebRyanShow @TecnopolisNC #rayito te irá genial,alegria,3
Ya no sé si es que quedé nerviosa o es que tiembla a cada nada en estos últimos 20 minutos 😟,miedo,1
"@bellapussyxxx he aprendido a ser menos egoísta y más tragon gracias a ti, así que cuenta conmigo para todo ",alegria,3
"@FlavioBuccino gorilaje desesperado. chúpenla! VIVA PERÓN, CARAJO! ✌️",ira,0
"""En RD la gente cree que es por el escudo en la bandera que no entran los huracanes, más no en la misma provincia La Altagracia"" #Ironía",ira,0
"Me dicen ""sin ofender"" y me ofende un vergo",ira,0
No sé cómo le haces para que no pueda durar enojada contigo más de 2 días,sorpresa,5
"La vdd es que ya me quiero ir a SF, porque emocionado",alegria,3
"Como se dice ""el tren atropello al perro"" en frances? Le chu chx mato le gua gua...",alegria,3
"@cllnahhue JAJAJAJA estallé mal, cualquier parecido con la realidad es pura coincidencia 😅",alegria,3
"""Practiquen el derecho y la justicia. Libren al oprimido del poder del opresor."" - Jeremias 22:3",otra,6
@KayleMathers_ @softrapline me estoy quemando la cabeza leyendo en inglés y tratando de hacer teorías. tu amiga es afortunada xD 💟,alegria,3
Voy a contener mi rabia contra los que bancan a miss bolivia,ira,0
JAJAJAJAJAJAJAJJAJAJAA yo no te la puedo creerrrrr ,alegria,3
"una de las cosas que más valoro en mi vida son mis amigos, que felicidad tenerlos a todos💜",alegria,3
hoy después de 39 semanas haré vida social estoy emocionado,alegria,3
"que partida emocionante agora, holy",alegria,3
Devuelvanme a mis amigas solteras 😭,tristeza,2
Pido mil aplausos.,alegria,3
@raquel_rivarola Siempre tan amable romantica y agradable....,alegria,3
"Claro que el año pasado invitaron al actor que hacía de Renly. Esa sí que hubiese sido una sorpresa, un Renly resucitado en la temporada 6",sorpresa,5
"ESTAS""FANS""NUEVAS QUE HAN SALIDO DE LOS CHICOS SON FALSAS Y VIENEN A INSULTAR AL FANDOM DE 1D PENDEJA NI SIQUIERA HAZ VIVIDO LO QUE FUE ESO",ira,0
@Alba_Scandic Pobre... necesitas comida para que se te pase el disgusto :p,tristeza,2
"@LaTiadeltunco @oveflores la capital de Guate es idéntica a N capital SS en cuanto a orden, limpieza y seguridad ... 😒 #Sarcasmo",asco,4
Cuando te quedas en una casa que te causa terror pero aún asi te encanta.,miedo,1
Paula Chavez debe ser hermosa hasta en la oscuridad,alegria,3
"ya hubiese querido yo que aquí en el meet nos hubieran dejado saludar a todos, qué depresión",tristeza,2
@Aaron070604 Estoy muy feliz en estos momentos de mi vida. Que significa que ando conociendo chicas 😄,alegria,3
"@LuuzRobledo Ah listo jajajaja, no me puedo dormir luzzz ",alegria,3
Solo si leo a la velocidad de la luz voy a poder terminar mis trabajos. ,sorpresa,5
"Debora P Volpin, 50 años, acaba de darse cuenta de la pobreza /conventillos, a pesar de que era conductora, NO PERIODISTA. En A fuego lento",ira,0
Es bien bonito que sea domingo y tenga calzones limpios 💚💛 siempre se me olvida lavar 😂,alegria,3
Arroba Hathor quedé re ofendida.,ira,0
"Un excelente #lunes y un gran cierre de #Septiembre para todos, con #Alegria y #Esperanza como dice el @Pontifex_es",alegria,3
¡Sólo no me ignores! —otro pisotón. Ya está con el berrinche—.,ira,0
Veo a todos subiendo fotos con los amigos y me quedo re contenta porque le dije a mis amigos del alma todo por chat en priv sólo para ellos♡,alegria,3
Feliiiz Cumple Pasala Genial te Kiero Pibeee!❤ @BarnecheMatias,alegria,3
Pensé que era joda que se iba a poner ese nombre ,sorpresa,5
@WindyGirk me puedes pasar pack sin ofender porfavor,otra,6
"@Genrus tu cumple y yo en las babas. Te quiero un mundo y deseo para ti todo lo bonito y lo sublime. Sé dichoso infinitamente. Besote, Juan.",alegria,3
Como q mi hermano cumplió 16 y parece de 20 ,sorpresa,5
"Quede de cara cuando apareció donald glover en spiderman ,tremenda felicidad me dio",alegria,3
"@DebRyanShow #Rayito creo que eres la persona más famosa que hay en este mes , eres genial por eso tienes tantos seguidores xD",alegria,3
@guaperro1 Demasiado dulce 😅,alegria,3
"@2010MisterChip #ElSalvador #ElSalvador #ElSalvador Pero juega bonito y no se puede aspirar a mas, porque no hacen los goles 💙💙",alegria,3
"Me voy de viaje el domingo y no estoy emocionada, bueno solamente por toda la comida que comeré 🤤",otra,6
@galancantu Todo está tan mal... que no sé ni por dónde empezar. Pero la foto de sssssssteve parece de un violador en serie. ,otra,6
Ya necesito vacaciones y a penas van los primeros parciales!!! ,tristeza,2
Que indignación le tengo al chabón que me dijo prostituta por llevar puesto un cancán calado. La puta que te parió. Ni que fuera de red man.,ira,0
@D99Radio @enjambremx @enjambremx @D99Radio Samantha Sofía Elizondo Gzz 👉👈 😅 😅😅 #SiTePreguntanSoloD99,alegria,3
@MoeR_10 hasta ahora nunca he entrado a una clase de perspectiva ,otra,6
Jamás me voy a negar a eso 😊,alegria,3
@AgustinTerrazaa Ya lo sé ,otra,6
De ti quiero mas bellaquera menos timidez,miedo,1
Juega arrancar el GYM de nuevo pero con este frío como que no da 😧❄,asco,4
Se ponen a vender twits y todavía se indignan ,ira,0
"Necesito esa puerta que me dabas para entrar a tu mundo,  ese trocito de azúcar verde, de redondo alegre.",alegria,3
Hoy me dispongo a ver el partido para distraerme de la depresión de no haber ido al MAT🙂🙂,tristeza,2
"@omar_ADG Lo sé, soy brillante.",otra,6
Estoy re nervioso con este tema,miedo,1
"vivo cansada como que el cansancio ya es parte de mi, me acostumbre",tristeza,2
"Y el Rey, el preparado, supongo q estará ideando una intervención estelar q nos dejará boquiabiertos a todos los españoles #2Oct #Ironía",otra,6
@radiolared @califidalgo @soymarcelobaffa Q pedazo de caripelas ,ira,0
No quiero morirme sin ir a un concierto de Luis Miguel antes 😭,tristeza,2
"Estoy viendo fotos de cuando era flaca, por llorar y comiendo un kit kat",tristeza,2
@gonzalezdaniok Jajajajajaja hdp me la aplicaste  pequeños detalles lo de la cortadura fallas técnicas ,alegria,3
"Es frustrante ver como se aleja tu felicidad en cuestión de segundos. Como si de ello dependiera tu vida, ese incómodo nudo en la garganta",tristeza,2
@StoesselMyJoy FELIZ DÍAS MI AMORR,alegria,3
este momentazo para entrar en el #felizlunes 😀 #quetengasunbuendia  rt el ajedrez me enseñó que con un mal movimiento puedes perder a tu,alegria,3
@ToritaMyQueen @Valentin_Ass Eso lo hace más gracioso aún,alegria,3
"@ClaudiaLopez No se deje intimidar senadora, con esos corruptos toca ir sin piedad. Son unos amigos de los recursos públicos.",asco,4
"""Aries, entre menos en serio te tomes el amor mejor te irá"" 😂",alegria,3
"@pacitamona Jajajaja que genial, entonces tienes la mejor sensei, tenís que puro aprovechar 😊☺️",alegria,3
#SabadoJaqueMate juega y juega la free @JaqueMateDisco,otra,6
"Misofonia: disgusto provocado por los sonidos que producen los demás, como respirar o masticar.",otra,6
No me puedo dormir ,otra,6
@camille_blonde_ Jajajaja creo q se vuelve más rápido Tt diciendo no hables Lau o tengo miedo a lo que dice Lau jajajaja,alegria,3
Ya arranco el vientito ... que dia nos espera ... #miedo ! 🙈🙉,miedo,1
"qué depresión ver todos los vídeos de las chicas que abrazaron hoy a los chicos, YO QUIERO",tristeza,2
@etronvar @MikeJoestar Chicos dejen de tomarse un post en joda tan en serio,ira,0
Si van a insultar por chat al menos háganlo con buena ortografía.,ira,0
@D99Radio @enjambremx @enjambremx @D99Radio Samantha Sofía Elizondo Gzz 😊 #SiTePreguntanSoloD99,otra,6
"Lo bueno, respecto a mi Husky y luego de ver ""todos los perritos se van al cielo"" y ""el propósito de un perro"", guardo alegría y esperanza.",alegria,3
"@Patriciomonero Jajajaja, te faltó poner o todos son iguales... porque es difícil decidir, yo digo q está entre #peña y #Fox",alegria,3
@eddiebaeza estoy de acuerdo contigo lamentablemente lo economico esta por encima del deporte me refiero a dos torneos cortos saludos,otra,6
Es solo enojo por no por comprenderte u.u,ira,0
"Quería escuchar Night rather than day pero se puso Eclipse, no es lo que esperaba pero estoy satisfecha.",alegria,3
"@NattyMore @Mum1112 Dije las (coshas) plural,mal pensadas no me gustan las ostras 😡",ira,0
@MarioJinset @sergiomaeko @ledicenkar Como discutirle a Yisus?  ,ira,0
Ya estaba emocionada de tener roomie 🙄,alegria,3
Que triste querer decirle lo mucho que amo a mi novio pero mi enojo no me lo permite,tristeza,2
"Tremenda bronca, mejor me voy a dormir para no matar a nadie",ira,0
¡Feliz día a mis amigos!,alegria,3
Los dos queremos pero nos mata la cobardía !!!,tristeza,2
"@izzaleksandrova Hay muchas manera de morirse... Atropello, electrocucion, ahogado...",otra,6
"Me enoja que me agarre imsomnio cuando no dormimos juntos 😠 No tengo a quien abrazar, ni molestar porque no puedo dormir ",ira,0
@esunen @sanchezcastejon Dónde está el insulto?,sorpresa,5
Por que el te grite por algo  no significa que te tengo mas que desagradable con migo 😣😒😒,ira,0
"Después de un día CERO productivo, ya quiero ir a trabajar ",otra,6
Yo sé que esa mirada que me das no es para nada accidental Se nota la malicia y óyeme tú sí que sabes provocar,otra,6
"No he dormido en toda la semana, pero igual yo me voy a vacilar mi fin de semana a mil.🤙",alegria,3
@Azulinca Recordarle que solo es una película así me calmaron a mi jaja :( 😅,alegria,3
@AlargueCaracol saludos tremendo programa abz desde punta del este Uruguay,alegria,3
Lo buena que está la película de rápido y furioso 8 😎🤣. Si yo la miro un mes después del estreno por qué soy un crack,alegria,3
@GusMenFox @clubleonfc Muy feo!! Horrible se ve la publicidad !!,asco,4
Terminé la segunda temporada de @MerliTV3 . Ansiosa espero la tercera ♡♡ @davidsolans96 @AlbertBaro3,miedo,1
que horror que escriban REYNA,asco,4
"#CAPRICORNIO se puede irritar por cualquier cosa, incluso por tonterías, así que cuidado con QUÉ tonterías dices o haces.",ira,0
@YoSoyAlii @Cristian20166 @cachoo01 @DjMaRiiO_90 @MIAREsproject Es que no me gusta faltar pero es que me pone muy nervioso:(,miedo,1
"@Dabeeche Aun queda Piccolo, aun hay esperanza ",otra,6
tremenda rara esta mira las cosas que twittea,otra,6
Vivo de mal genio y esta mierda me tiene mas amargada,ira,0
@MaiteOficial ¿Cuál fue la última experiencia divertida con tus fans?#MaitePlaticandoConSusLocas 😁,alegria,3
"Me desconecte de todo, un buen escape. Por si andaban con el pendiente ",otra,6
"Por lo general no critico ese tipo de cosas, pero... Wtf la gente rumbeando hoy? Como si mañana fuese un día festivo",ira,0
"Los débiles toman venganza, los fuertes perdonan y los inteligentes simplemente los ignoran. #SiguemeYteSigo #BuenosDias",otra,6
"@btiradotrad Te iba a decir algo de la palabra ""Empoderado"", pero resulta que está admitida por la RAE y ahora estoy enfadado con la RAE :(",ira,0
@VjRodil @tugorditafav Esto me dio mucha risa JAJAJA,alegria,3
Llorar la perdida de alguien que todavia sigue vivo.,tristeza,2
La ironía que amo las plantas y nunca me regalaron ni un ramo de flores cortado de una alguna casa #Tristeza,tristeza,2
"@letrasencilla Debes colocar las respectivas alarmas 6:00 am, 6:30am y 6:59 am 😅",alegria,3
Como será uno ser extra de tu voz estéreo. #tristeza,tristeza,2
"@IvanSalum2 Yo también,  pero sigo un poco enojada",ira,0
"Che no hablando en serio, la joda se cancela. pd: tuccio chupapija",ira,0
"@alvarodriguezg Es que hay algunos que se toman en serio a @13tv_es, y con ver Martín villa se han venido arriba. 😂😂😂😂",otra,6
@ZauberinB Buenos días !!! A por él ,alegria,3
"A veces, cuando horadaban una pared en busca de oro, encontraban en su lugar vapor, o agua hirviendo, o roca fundida.",otra,6
@fabianmendozav Y juega el @ABucaramanga .....,otra,6
@magnitudCL No me di ni cuenta ,sorpresa,5
"Es muy fuerte El otro día estaba escuchando Leave out all the rest, me pone tan melancólica esa canción  Que si la escucho ahora...",tristeza,2
@Santi_Calderon2 No me hagas llorar men :( encerio?,tristeza,2
@xDeeck_ @joseblock12 @ImBenja_ @xWasausky @CarvajalJoshep @ZentenoEznoob @Gonxaaah ya se me paso la rabia :),alegria,3
@kevinalonsobg Le pondre la pelea d naruto vs pain y le dire si nagato pudo cambiar tu tmb,otra,6
"@CaritoAM2 @Miguellcv_17 @LDSAlvaro Totalmente cierto! Hay mucho hincha pesimista por ahí, hay que seguir creyendo #YoCreoEnNacional 💚👋",otra,6
@caminantv Ánimo! ,otra,6
feliz día del amigo a la persona que perdió 200 pesos en la casey para que los encuentre yo. que sepa que la amo,alegria,3
Los problema del comunismo se resuelven con capital #LaUnicaVerdad #Ironia #Estafa,ira,0
@mac1eod te acompaño 😊,alegria,3
@RafaVidalCasas Yo lo reescribiría y pondría el hashtag #ironía en tu tweet porque realmente nadie lo está pillando ^^',otra,6
"Como cuando estás desesperada por conocer gente que comparta tus gustos, que hasta publicas en un grupo. QUÉ VERGÜENZA ME DOY. ¿????",asco,4
"Quizás hoy si te pueda encontrar. Mas allá de toda pena, siento que la vida es buena...",alegria,3
@Camila_Cabello @BrunoMars Estás muy emocionada?,otra,6
Quiero ver The Last Jedi yaaaa ,otra,6
@kareennevrez @carolynaat Jajajaja ayer ya no quería sacar cuentas jajaja ,alegria,3
Que tu primer dia no sea en el cumbres esta muy triste.,tristeza,2
"""Para tapar un desaguisado monta uno que parezca mayor""  Y el 1-O parece hermoso. ",ira,0
Así con razón se me cae tanto el pelo con tanto disgusto que me dan estos hijos de puta.,ira,0
Seguro se le apago el celular ,otra,6
@fgavilla @SCT_mx @galaTVMorelos veo mal o se ve hundido...?,otra,6
"Las ganas que tenia de tomar una cerveza bien friaaa, lo unico que pude aprovechar hoy de la carpa 😂",alegria,3
"@JamesChords « sin frenos.  —Va...vamos, James. Córrete para mí —musita ella con la voz ahogada del cansancio.",tristeza,2
"A un hombxe solo le pido tres cohas: que sea guapo, implacable y estupido. - Dorothy Parker",otra,6
@stranger_foryou mañana es mi día de prueba pero estoy muy muy muy nerviosa,miedo,1
"@Oskhar111099 Donde estaba independiente es lo que te digo!!! Cómo jugaba, eran horrible, este es el mejor independiente de los últimos años",ira,0
@Natrioshka Yo a veces entro a twitter solo para leer a esta mujer. 😀 Un saludo srta!,alegria,3
