alegria,miedo,ira,otra,asco,tristeza,sorpresa
@letyduranhdez Mira tu niña aburrida cuando tiene una super nieta y nieto...no es para aburrirse😂😂,Ya no sé si es que quedé nerviosa o es que tiembla a cada nada en estos últimos 20 minutos 😟,estoy: enfadada y yo nunca me enfado,"HOLAA, TE VI CAMINANDO EN LO OSCURO SOLA, EN ESTE JUEGO TU TIENES LA BOLA, QUIERO COMERTE COMPLETITA TODAA, QUIERO COMERTE COMPLETITA SOLAAA","Como cuando estás desesperada por conocer gente que comparta tus gustos, que hasta publicas en un grupo. QUÉ VERGÜENZA ME DOY. ¿????",Me duele la rodilla lpmm espero sea mas que dolor 😥,Como q mi hermano cumplió 16 y parece de 20 
"It: Me gustó, pero en mi opinión le faltó algo, nose. Ojalá la hubieran pasado en 3D. En la espera del capítulo dos ",Cuando te quedas en una casa que te causa terror pero aún asi te encanta.,Mi corazón es grande pero mas grande es mi enfado,Alarma lista para mañana temprano pues,@jordievole @jatirado @ManuelBartual Tranquilo! En Valencia hemos visto que la imprenta de @compromis  no tiene #Porno y tiene ,Oks estoy r3 cansado ganas de dormir y fue,@esunen @sanchezcastejon Dónde está el insulto?
Amo el personaje de nos vemos en disney de dario orsi jajajaja ,De ti quiero mas bellaquera menos timidez,Encima se enojo vieron es más tonto,"""El único Espada que me resulta ligeramente agradable es Zommari. Me respeta como superior y no perturba mi existencia.""","Datos @FPCIUDADANA y @GobiernodeChile dicen q delincuencia ha bajado, sin/emb sensación d inseguridad sigue. Gran trabajo d la prensa ",Un mes y ya estoy pensando en LA Nostalgia que se viene 💃🏽,@magnitudCL No me di ni cuenta 
"Estoy segura de que en mi examen de hoy saqué 10 y estoy muy contenta, ya quiero hacer otro examen.🙈",Estoy re nervioso con este tema,"@KloudZNiper Cosas que pasan. Estoy cansado de muchas historias a raiz del pelo. Pero mira el lado positivo, por fin te sigo.","@germxnthief < espalda del rubio, la cuál probablemente estaría marcada, pero ni con eso logró sofocarlo pues un gruñido salió de sus >",@cokep Que eres terrible fome! 🙄 Y añejo poh!,Estoy por mandarle un mail a mi ex-tutora para preguntarle si puedo seguir con el tfg #tristeza #morriña #sentimientosencontrados #confusion,@1Pinipon Acabo de leerlo! 
Que matón vale jaja.,Ya arranco el vientito ... que dia nos espera ... #miedo ! 🙈🙉,No creo que puedan comprender mi enojo eterno porque a Cinépolis se le ocurrió proyectar Mulan cuando estoy fuera del país 😡😡,@francellabrenes Literal no he ni visto el temario ni nada ,Desahogarte airado con tu jefe a primera hora sirve para eliminar stress y crear vínculos que al final no te llevarán a ninguna parte.,"Ya estoy en mi casa, ya le puedo llorar a @ChesterBe 😭",No esta @ferlo75 en twitter con el partido de #PeñA???
En dos findes o tres voy a estar en corboda 😀,Terminé la segunda temporada de @MerliTV3 . Ansiosa espero la tercera ♡♡ @davidsolans96 @AlbertBaro3,Tengo es como ira de como me tienen la moto en él parqueadero,El optimismo es el hilo conductor hacia el éxito. Bruce Lee,"@SEAT_Mexico Valdrá la pena después de  60 días de lo sucedido ?? Lo hecho, hecho está",Que noche más aburrida.,"*Nunca tuviste tu corazón con las iniciales tuyas y de un muchacho ? -Nonon, me mataba!  *En serio me decís?  -Si obvio!  Lo más grasa"
@luciashan_poo Tómese una pastilla 😃,@YoSoyAlii @Cristian20166 @cachoo01 @DjMaRiiO_90 @MIAREsproject Es que no me gusta faltar pero es que me pone muy nervioso:(,Que rabia cuando se me quita el sueño,@darlyssolanof @VictorBolivarM @AnaMarcelaPint0 Yo no hice bloqueo ,@XCatalunya I Andalucia...? x corrupció implacable?,"Depresión rima con Bennington, coincidencia? No lo creo.","En la línea borbónica, haciendo las cosas bien #ironía #deguatemalaaguatepeor #IIIRepublica #rajoydimision #felipeVI #elpacificador"
Que bonito cuando acaricio ahí 😂,@stranger_foryou mañana es mi día de prueba pero estoy muy muy muy nerviosa,por eso necesito estar re polle y perderme así las dejo de joder ,"Mariscales 10 Tiburones 1. Gano Yesid Salazar. Perdió Ramón Ulacio. Destacado Edgar Muñoz de 4-3, 1 anotada y 2 impulsadas.",Como echaba de menos despertarme a estas horas #Sarcasmo,El corazón amargo come a su dueño.,"Mi amiga habla sola dormida, es más estamos teniendo una conversación...... "
@DebRyanShow no sé si me debería de dar pena o alegría de que ha sido de puro #Rayito,Estar durmiendo y que te despierten las voces de un atraco.... #susto 😩,No se aguantarme el enojo ni la cara de orto,Que ningún gil apague tu sonrisa,Lo mejor de las elecciones es que es una oportunidad más para compartir con el gran @jigaq #sarcasmo #wea,Madurar es poder sonreír frente a esa persona que te hizo llorar.,"@naomi1755 ¿¡Hace un año!? Wow... ¡Me sigue sorprendiendo lo genial que lo has pintado, Naomi! ^^"
"@AzulRosito Ya lose,pero es tan lindo,y encima negrito,voy a llorar 😢",Me quede dormida estudiando y me desperté a las 3:20 AM.  Adivinen quien tiene la perra al lado? Un miedo ,Historias de un toledano enfurecido,@AfroParadise #ironía Uriel.  Pero los medios parecen ver más correcto lo que yo digo que lo que tu dices,"No alardees que un hombre comprometido está tras tuyo,eso le sucede a cualquiera; siéntete orgullosa cuando lo RECHACES a pesar de quererlo.","@Mickey_Dozanti Lamentable para mi, no creo que sea posible vernos, y eso si me pone sad. 😢💔 Igual se divierten y la pasan bonito. 😃❤✨",Uy la paraste de pelo 
"Mi bien ponderada @piCkOL, ¡feliz cumpleaños! Me tomo tres cervezas a tu salud. Abrazo grande pa' ti.","Me pongo nerviosa que hace media hora se escuche a la policía, o bomberos, o ambulancia. Agarrame Martaa",Neta ya cállense a la verga todos ,"@babynlf « recibir su respuesta, su ceño se frunció.—  “¿Que sientes el qué? ¿Dónde estás?”",@titifenycia A feminista chorona ,Cansancio para regalar. Info aquí 👋,Vale tanto y yo no me había dado cuenta! 
Jajajaja de lejos veía a Fran re desesperado por ver a los chicos 😝,@CarolinaWebb Es más difícil quitar la ansiedad que los piojos,"@infiredannie ... Ofensa directa es una ofensa en la que intento hacer daño, si discrepas de mi pensamiento lo dices y punto","@nunurob Tía, he apuntado el número HOY para asistir de público. ","No confundas la velocidad de mi amabilidad y cortesía, con el atropello de tu imaginación",Devuelvanme a mis amigas solteras 😭,"Contrastes de nivel en la #Concacaf: mientras que Martinica es la sorpresa de la #CopaOro2017, E.U. y Costa Rica no pasan por buen momento."
@CatalinaSpring Jajajajajaja que rabia,Me dicen y mas nerviosa me pongo,@MQuevedoF lamentable todos los destrozos y muertes a la GMV..nos da mas razon p la CONSTITUYENTE. VENCEREMOS.....!!!,"De la flor de Zidane, a la flor de Valverde. Las vueltas del fútbol. #Ironía",Que cansado estoy de las comidas típicas😳,@Alba_Scandic Pobre... necesitas comida para que se te pase el disgusto :p,Yo no sé cómo da los primeros besos la gente normal porque en mi caso siempre ha sido sin que yo me dé cuenta. Sino me alejo porque 
Por tanto aguante. Gracias 💛 ¡feliz día!,Temor a estar solos.,@Pausgarciaa @SofiaHdz1724 Pensé que estabas enojada wowow,Si quieres verla sonreír háblale de mi y ella te dirá cómo fue que se le olvido todo aquello que eras tú cuando me conoció a mi,La mejor venganza es ser diferente a quien causó el daño.-Marco Aurelio.,"ya hubiese querido yo que aquí en el meet nos hubieran dejado saludar a todos, qué depresión","@Sergio_616 Btw si es por BSO me quedo con la de Wonder Woman la verdad, toda una sorpresa."
Mi relacion con yerko es un cague de risa,Aveces siento que me quieren agarrar ataques de pánico,Por cada mifuto de enfado perdamos sesenta segundos de felicidad.,"""Mañana viaje de negocios""  *tengo que ir a poner una alarma a un pueblito que ni sabía que existía*",Ustedes entienden q tenía pelo??? Siento q no soy yo q horror,Ya necesito vacaciones y a penas van los primeros parciales!!! ,-provocar. Tengo que comentar algo al respecto???
@mnjhqvd @halasyriagmail1 @mqgs1 Deseas relajarte. Bien.!!! Practica Yoga. Te ira Súper.!!!,@antenaxxx2 De los creadores de Bendecida y Afortunada llega blindada por mi novio feo pero narco. #Susto,@trepidwarrior esque mi internet esta ripeando ya despues como a las 11 ira bien,@SUR_cultura @cacmalaga @ajavierlopez Pero vamos que es un poco la tesis del cura Perez Pallares de no ofender a nadie.,"@Malejaaaa__ Siendo así tendría que decir ""soy terrible""",Hoy me dispongo a ver el partido para distraerme de la depresión de no haber ido al MAT🙂🙂,@HyliaHale De lo que uno se pierde por no tener instagram 
"Felíz día a todos mis amigos, a los nuevos que me cayeron genial, a los que conozco hace mucho, y a los que alguna vez fueron mis amigos☺",Siento que en cualquier momento voy a valer ,@zaurendrunks @aIrengoaIz @onlyIaurens Cállate señorita venganza,Tengo frío ,"La verdad prefiero a las personas honestas. Las mentiras están llenas de miedo e inseguridad, definitivamente no quiero eso en mi vida.","vivo cansada como que el cansancio ya es parte de mi, me acostumbre",Llovizna en Agosto??? 😨
Ahora se viene la mejor parte de Encantada lpm✨✨✨✨,@robertomendez Consulta q tiene muy nerviosa a la gobernación,@adnradiochile Tienen el tremendo billete... Eso tienen x que abren la boca y queda la escoba,Estoy escabiando desde las 11 de la mañana tipo me desayune una birra y me voy a ir tomando una ,@xFedrxgon quedo parada allí a un lado de la puerta claramente sintiendo aquel repugnante olor a alcohol en sus fosas nasales y aunque -->,No quiero morirme sin ir a un concierto de Luis Miguel antes 😭,No puedo creer como Junior Arias puede ser titular en un cuadro argentino 
@florenciagerez_ Jajajajajaj tomatela cara rota esa sos vos ,No tengo wifi y quiero ver la peli de death note por netflix pero tengo miedo de quedarme sin credito ,@rvenegasq Hoy todo es fake ,me acabo de acordar de que este curso hago selectividad y tengo ,"""Estaba rico"" ( era tremendo verde yazmin que asco)","Estoy viendo fotos de cuando era flaca, por llorar y comiendo un kit kat",@DavidManrique20 @mauropalacio10 @mauricio1143824 @stevenarce Sospechoso el penal que no quisieron pitar en el partido contra millonarios
@sivalenciac @bolivarmvb sólo haz ido sábado y no los otros días 😂 ve los otros días y después dices cuál es mejor,Es peligroso acostumbrarse a alguien,"Me da mucha rabia cuando poneis: ""ay si yo hablara...."" HOLA????? PUES CUENTALOOOOOOOOO",Y si mejor considero todo otra vez... por que esto se está volviendo un ciclo ,q bien va sanidad en Andalucía ❤❤❤❤❤ #ironico,"Es frustrante ver como se aleja tu felicidad en cuestión de segundos. Como si de ello dependiera tu vida, ese incómodo nudo en la garganta",Encontré ropa en mi casa y tiene olor al perfume que usa mi profesora de química 
"la valija podia pesar hasta 23 y pesó 22 con algo, eso es vivir al limite bebé",al final vamos a terminar viviendo cada uno es su burbuja...con el temor de encontrarte con alguien que es distinto a ti...,Está forma tan cobarde de decirnos que no ... ☕️🍃,@mferp98 Ya duérmete ,"@o_solorzano78 @tinunjei @javi1dc Estaba siguiendo el debate y ví que al final te quedaste solo, igual que tu partido. Chao ","qué depresión ver todos los vídeos de las chicas que abrazaron hoy a los chicos, YO QUIERO","...y aquí estoy, mirando la pelea de los bastardos. #GameOfThrones"
@SolDeusebio Chistosa 🙄😑😑😑😑,#todasqueremosajohn por favor salvamos! #Annabelle #terror #monafea #miedito @ktta_f9,@MatiPagliano La concha de tu vieja! Mañana vas a terminar muerto en espalda ,Mis ganas de que ya sea fin de semana son terroríficamente impresionantes,"Leo que a muchos #mothermovie les pareció una película en extremo violenta y perturbadora, a mí no. Ya tengo dañada la sensibilidad mismo ",Que triste querer decirle lo mucho que amo a mi novio pero mi enojo no me lo permite,@albertoperezs90 Ya aguantas más que yo y eso que no fumo 
"Me puse a ver vídeo desde que Hobi debutó, el orgullo y felicidad que es ver todo lo que ha logrado, y que pronto sacara su mixtape no puedo",Soy demasiado ansiosa🤦‍♀️,"@FlavioBuccino gorilaje desesperado. chúpenla! VIVA PERÓN, CARAJO! ✌️",En Maipú hace falta una peluquería ATR ,"Estoy deseando escuchar al Rey ... si lleva 3 días preparando el discurso, seguro que va a ser sublime. #Ironía #MVTProtestasCat",Los dos queremos pero nos mata la cobardía !!!,Como es que a la facu llego una hora después y para el teaser despierto mágicamente sin alarma y justo a tiempo?   #BAMA2017_EXO
"Buenas noches mis princesas, que tengan dulces sueños💕😴 MAÑANA NUEVO VIDEOOOOO estoy muy emocionada ya las extraño 😢❤️ las amo",@bianca43721 Dos tweets seguidos. Vos debes tener ansiedad por el viaje me parece...,"""En RD la gente cree que es por el escudo en la bandera que no entran los huracanes, más no en la misma provincia La Altagracia"" #Ironía",@CarlossMartinn Pa que dices na ,Se multará con hasta 300.000 euros a los que presidan las mesas electorales el día 1-O. Viva la democracia... #ironía #votarem #referèndum,Llorar la perdida de alguien que todavia sigue vivo.,Porque me gustan los judíos porque 
"Mi momento favorito de Cirque Du Soleil fue cuando se escuchó un hermoso ""@sebastianpinera conshetumare"" seguido de aplausos.","@LaPelotaNSM_KO Madre mia, pensar que esto puede ser asi toda la temporada... #miedo","Me dicen ""sin ofender"" y me ofende un vergo",Y ahora fui a verlo y no esta roto ,"Lo pintan tan bonito desde Cataluña, que con los años nos iremos haciendo catalanes para dejar de ser españoles... #ironía #AhíLoDejo",La ironía que amo las plantas y nunca me regalaron ni un ramo de flores cortado de una alguna casa #Tristeza,"¿Que se siente ser orgasmo y verla siempre, y que no pueda esconderse? 📚"
Esta vuelta a Capital tiene gustito a que el 5 vuelvo 😊,MI FUTURO DE TUITERA SE ESTÁ VIENDO AMENAZADO CALL 911,Voy a contener mi rabia contra los que bancan a miss bolivia,"Tienes #insomnio o #depresión post #sismo? Ven a mi casa, te armo un porro. La propuesta es seria.",Terrible lo mio de alunarme por cualquier cosa.,Como será uno ser extra de tu voz estéreo. #tristeza,"Ayer estaba hablando con mi tía del insomnio y me dijo que es de familia, TODOS tenemos el mismo problema "
@Alan_frete13 Igual me respondió hace casi mes pero la felicidad sigue ahi💕💕💕💕,@_AryaStark_ ¡Este es peor! #Miedo,"ESTAS""FANS""NUEVAS QUE HAN SALIDO DE LOS CHICOS SON FALSAS Y VIENEN A INSULTAR AL FANDOM DE 1D PENDEJA NI SIQUIERA HAZ VIVIDO LO QUE FUE ESO",brillito me salvo de un momento de desesperación como la amo,Comer una cucharada de mostaza con miel en ayunas = beber ácido hirviendo.,"Es muy fuerte El otro día estaba escuchando Leave out all the rest, me pone tan melancólica esa canción  Que si la escucho ahora...",una compañera del colegio subió la foto de su bebé y parecía tener una tenaza en vez de pie 
Jajajajajajajajaajjajajaajaj era peligrosa la tecnica,este juego lo había jugado cuando era nene Y ME CAGABA DEL SUSTO,"Debora P Volpin, 50 años, acaba de darse cuenta de la pobreza /conventillos, a pesar de que era conductora, NO PERIODISTA. En A fuego lento","""Practiquen el derecho y la justicia. Libren al oprimido del poder del opresor."" - Jeremias 22:3",Al decano no más ya me falta hacerle una sesión en la Poli ,@Santi_Calderon2 No me hagas llorar men :( encerio?,"@fc_cordon Me has pillado! Somos los caminantes blancos, vamos, lo peor! #Ironía"
❤️✌🏾Ya somos 400 Seguidoresss✌🏾❤️ #gracias #Feliz #FelizLunes #LunesDeGanarSeguidores #SIGUEMEYTESIGO #SiguemeYTeSigoDeVuelta #Rt,No supero mas lo del sábado en él auto de Fer cuando nos agarro la policía ,Arroba Hathor quedé re ofendida.,@WindyGirk me puedes pasar pack sin ofender porfavor,"@YamiDatto Ese resentimiento hno, anda a dor",Que tu primer dia no sea en el cumbres esta muy triste.,Hay una flaca que mira todas mis historias y no me sigue!!! Que onda me busca todos los días en Instagram a ver si subo una historia? 
"@karma_guizmo En lugar de un novio, te brindo un amigo sincero que disfrute la peli que elijas ",@AdamLGNevill @minotaurolibros •Género: #misterio #terror   •Saga: No.  •Traducido por: Manuel Mata.,¡Sólo no me ignores! —otro pisotón. Ya está con el berrinche—.,"Me voy de viaje el domingo y no estoy emocionada, bueno solamente por toda la comida que comeré 🤤",Antena 3 haciendo un reportaje sobre el adoctrinamiento independentista en los colegios y sacan mi colegio. Ahora lo entiendo todo. #ironia,"@JamesChords « sin frenos.  —Va...vamos, James. Córrete para mí —musita ella con la voz ahogada del cansancio.",Yo no se que le ha pasado... que la encuentro pensativa...
Hoy anduve re Chinito esto de la resaca jaj ,"@fernanbecerril cuando voy yo solo no, cuando voy con los crios tengo mas cuidado. sobre todo desde que le atropello una bici a la cria",Que indignación le tengo al chabón que me dijo prostituta por llevar puesto un cancán calado. La puta que te parió. Ni que fuera de red man.,@galancantu Todo está tan mal... que no sé ni por dónde empezar. Pero la foto de sssssssteve parece de un violador en serie. ,"@Hinzulina @niggavm03 Bebe que te he dicho de hablar con gente de color oscuro? Ni la hora se les da, vente.","si yo no te vuelvo a ver, yo me voy a enloquecer, es para mí, la locura automática",Soy mas peligrosa aburrida que enojada ...
"Que lindo desactivar la alarma y dormir hasta cuando yo quiera, asi sí vale arrancar la semana 😄",amelia entró en pánico,Se ponen a vender twits y todavía se indignan ,@MoeR_10 hasta ahora nunca he entrado a una clase de perspectiva ,@Alondra_7250 estas bien fea mija ,Hacia mucho no lloraba gracias ,@clarymaffeis boluda en serio no sabias es como la primer cosa de la q te enterás cuando entras a la secundaria
Búsqueda implacable de conos😂😂😂,Anotación mental a compartir: Tu hija de 3 años SI puede escaparse con tu vehículo si dejas las llaves puestas ,@radiolared @califidalgo @soymarcelobaffa Q pedazo de caripelas ,@AgustinTerrazaa Ya lo sé ,"@0scarChavez @Reforma Que horror!!, las redes son chismógrafos #sarcasmo , así se han construído es su eje",Escuchar musica triste y terminar mas triste que la música,@MiguelStraube 😱😱 5 años ya no lo puedo creer 
@IraidaTravis Hace poco fui a un concierto y apareció Joe de sorpresa cantando ese tema y de ahí que la tengo pegada jaja 💕,EN alguna parte del mundo acabo de temblar bien fuerte ....,@etronvar @MikeJoestar Chicos dejen de tomarse un post en joda tan en serio,"@omar_ADG Lo sé, soy brillante.",Asi cuando le dicen a la orquesta que estará el alcalde de Valencia y de Puerto Cabello..... ojoi ojoi ojoi! xD #Ironico,@LaCarlangas_ch 😞 qué triste todo,Madre mía! El doble de Manuel Bartual saliendo en las TVs. 
alv los old tweets me tienen bien inspirada ,Soñé cosas super raras ,Si van a insultar por chat al menos háganlo con buena ortografía.,"Y el Rey, el preparado, supongo q estará ideando una intervención estelar q nos dejará boquiabiertos a todos los españoles #2Oct #Ironía",@muriodeasco es re gracioso ver saludos de compañeros de la secundaria que si ahora nos vemos agachamos la mirada para no saludarnos,Pa me siento horrible,Siento que pasaron mi snap a algun grupo o algo pq me añadieron como 9 personas 
Últimamente estoy tranquilo. Me asombro. Estoy extrañando pelear. 😂,La silla de Annabelle se mueve sola o la está moviendo? @chekozaun @disparamargot @Horacitu @ximenadelam @szurita @faustoponce  #miedo 😖,Es solo enojo por no por comprenderte u.u,#SabadoJaqueMate juega y juega la free @JaqueMateDisco,"son como Juan Carlos sacando una tirada de engaño tres para envenenar a alguien ""toma este veneno DIGO... ESTA FANTA""",Estoy a tres episodios de acabar Futurama 🙁,"@JosemaNOB PARA porque hoy me mando una foto que decía que era una ""Valentina"". "
"@randymeeks Ay que pena la gente desinformada... Díselo hombre, díselo... Díselo de mis partes!! XDD #Ironía #HumorTesticular","Ella se ve fria, pero no lo es, en realidad es muy dulce y tierna, solo tiene miedo a que la lastimen","@NattyMore @Mum1112 Dije las (coshas) plural,mal pensadas no me gustan las ostras 😡","Misofonia: disgusto provocado por los sonidos que producen los demás, como respirar o masticar.",Les juro que los teragrip ultra cachuos del horror forte noche siguen sabiendo a agua sucia.,"Se me vienen cosas a la cabeza sin sentido que después ocurren,por ej la muerte de alguien o un accidente. ",@globitohuracan Tremendo un avión tirado en el piso
@ElectrikalStorm @pilimbergo Jajaja ,Soy tan fobica a las arañas que ni bien veo una o me las nombran las empiezo a sentir por todo el cuerpo ,@MarioJinset @sergiomaeko @ledicenkar Como discutirle a Yisus?  ,No me puedo dormir ,@camitalaveraa si sos un fracaso ,"Que triste noticia... Mis oraciones estan con el, su familia y fans. RIP Chester Bennington  🙏🏼 😪",Me chamuyaba uno en la trafic y ahora me agregó al facebook 
"""Siempre rie cuando puedas!... Es medicina barata: 👌😜💪  Lord Byron  #Sencillo #Felíz #HayQueReir #ParaNoLLorar","Tal vez Abraham tiene razón y debo hacerlo, pero soy muy cobarde esa es la verdad.","Tremenda bronca, mejor me voy a dormir para no matar a nadie",@D99Radio @enjambremx @enjambremx @D99Radio Samantha Sofía Elizondo Gzz 😊 #SiTePreguntanSoloD99,No consigo recordar si era en #Barcelona donde tuvieron que poner cámaras para evitar violencia desproporcionada de los Mossos #Ironía,Pinta escuchar Numb hasta dormirse de la depresión 💔,Ah y se me abrió todo esto en la cuenta de mi hermano y cuando quise cambiar le perfil veo q el perfil de mi hermano no tiene cara 
"Es increíble la ansiedad que tienen estas minas por salir a kta, las quiero un poquito nomas 😂😂😂","Le dije a Joel que me avise cuando llegue a su casa, hace como dos horas se fue y todavía no le llegan los mensajes.. Preocupación modo on","Me enoja que me agarre imsomnio cuando no dormimos juntos 😠 No tengo a quien abrazar, ni molestar porque no puedo dormir ",@eddiebaeza estoy de acuerdo contigo lamentablemente lo economico esta por encima del deporte me refiero a dos torneos cortos saludos,really paula chaves es una de las mejores modelos de arg con esa walk? lamentable,Estaba granizando me voy a morir,Recién @jlespert recordó que la última vez que vistió a ML fue en noviembre de 2001 
