text,tweet_id,relevancia,emocion,ironia,sentimento,annotator,annotation_id,created_at,updated_at,lead_time
@yescuder #PetroEsPresidente | Le recuerdo que para esta segunda vuelta salió a votar las tribus e indígenas más excluidos en nuestro país.  Indígenas total en nuestro país registrado: 1'905.617 de personas  También le recuerdo  Sigue el Hilo 🧵,1538918509450764290,Si,Si,No,Sorpresa,,,2023-02-13T16:59:28.027303Z,2023-02-13T16:59:28.027308Z,21.854
¿Cuándo un presidente nos había dicho que nos quiere mucho? Y es cierto 🥺. #PetroEsPresidente.,1538916021280681984,Si,Si,No,Alegria,,,2023-02-13T16:59:04.683543Z,2023-02-13T16:59:04.683547Z,7.927
#PetroEsPresidente Boletín 250 y Polo Polo aún no llega al Congreso.  #FelizLunes Chao Marbelle.,1538869877137674242,Si,Si,Si,,,,2023-02-13T16:58:55.392603Z,2023-02-13T16:58:55.392607Z,42.908
Cómo se dice fantasma en colombiano? Espetro  #PetroEsPresidente,1538856594103865345,Si,Si,Si,,,,2023-02-13T16:58:11.037441Z,2023-02-13T16:58:11.037445Z,22.971
Gracias Fecode esto no se habría hecho sin ustedes que llevan muchos años adoctrinando a los niños para ser de izquierda radical! #PetroEsPresidente,1538846127243534336,Si,Si,Si,,,,2023-02-13T16:57:46.749491Z,2023-02-13T16:57:46.749496Z,11.927
Soy el único que no sabe que hacer cuando se gana? #PetroEsPresidente,1538696072872206337,Si,Si,No,Incertidumbre,,,2023-02-13T16:57:33.598303Z,2023-02-13T16:57:33.598309Z,10.262
"¡LLEGO LA HORA DE VIVIR SABROSO, CARAJO! #PetroPresidente #VivirSabroso ❤️❤️❤️",1538655871353372673,Si,Si,No,Alegria,,,2023-02-13T16:57:22.106986Z,2023-02-13T16:57:22.106990Z,12.794
JAJAJJAJAJA Que divertido se puso twitter y los burgueses ardidos.  #PetroPresidente #EleccionesColombia2022,1538652860887482369,Si,Si,Si,,,,2023-02-13T16:57:07.985562Z,2023-02-13T16:57:07.985566Z,6.451
"Tengo la ansiedad al 100, estoy temblando 😣 #EleccionesColombia2022",1538557759268048896,Si,Si,No,Incertidumbre,,,2023-02-13T16:57:00.307045Z,2023-02-13T16:57:00.307049Z,6.03
"La verdad no pensé que viviría para ver el inicio del cambio...gracias por todo colombianos conscientes y pensantes, los amo 😭😭😭 #PetroEsPresidente",1538667002583306245,Si,Si,No,Alegria,,,2023-02-13T16:56:53.003036Z,2023-02-13T16:56:53.003040Z,10.379
"𝗨𝗥𝗚𝗘𝗡𝗧𝗘. 𝗢𝗝𝗢, 𝗨𝗥𝗚𝗘𝗡𝗧𝗘  Gente, hay indicios muy serios, muy serios, de fraude, TODOS activos, la democracia se respeta.  Trine con el ht: #registraduriaresponda.  Por favor, use el ht: #registraduriaresponda .  Rt al tui. Cortesia @Noti_Space  URGENTE.",1538207705919266819,Si,Si,No,Miedo,,,2023-02-13T16:56:41.262805Z,2023-02-13T16:56:41.262808Z,25.105
"Obligan a trabajadores de la registraduria a poner a Rodolfo como ganador en los grupos de chats departamental, Colombia un país gobernado por el narcoparaco. Iliyarismo #RegistraduriaResponda",1538036012089212928,Si,Si,No,Ira,,,2023-02-13T16:56:14.912524Z,2023-02-13T16:56:14.912528Z,42.177
"Entre el #ExGuerrilleroOIngeniero yo, Natalia, me quedo con el ingeniero ¿y usted?   (Copia y pega con tu nombre)",1538235365953265666,Si,No,,,,,2023-02-13T16:55:31.572120Z,2023-02-13T16:55:31.572133Z,11.49
"Si en colombia la revista semana les quiere imponer un "" ingeniero"" solo recuerden como uno acabó con el Perú y comando un golpe de estado #ExguerrilleroOIngeniero #RegistraduríaResponda #PetroPresidenteEnsegunda",1538231462339698688,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T16:55:18.823810Z,2023-02-13T16:55:18.823813Z,24.345
"Manifestaron emoción y agradecieron por esta acción pedagógica, pues les ayuda a decidir  Vamos a ganar con Francia y Petro, x eso necesitamos la mayor cantidad de votos posible #FranciaVicepresidenta #RodolfoCobarde #PetroPresidenteEnsegunda #YoVotoPor #PetroYFranciaSonElCambio",1537880823092760576,Si,Si,No,Agrado,,,2023-02-13T16:54:52.502312Z,2023-02-13T16:54:52.502316Z,46.765
Luego de oír la entrevista con Petro y ver que el Ingeniero le importó cinco participar; he tomado la decisión de cambiar mi voto y voy con Petro.#EsteDomingo,1537795043725127683,Si,Si,No,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-13T16:54:04.409603Z,2023-02-13T16:54:04.409607Z,18.451
"Petro se quedó sin voz de tanta plaza pública, Rodolfo se quedó sin voz de tanto cantar “pepas y agua pa la seca, todo el mundo en pastillas pa la discoteca”.   Son datos y hay que darlos.   #estedomingo #YoVotoPor #petrosky",1537788369052352512,Si,Si,No,Asco,,,2023-02-13T16:53:44.636712Z,2023-02-13T16:53:44.636716Z,438.874
#RodolfoCobarde A VER COLOMBIANOS? LES QUEDA ALGUNA DUDA DE QUE ESTE RODOLFO NO ESTÁ EN CAPACIDAD DE NADA?  SE LE ACEPTARON TODAS SUS ESTÚPIDAS EXIGENCIAS Y NI ASÍ? NO TIENE PRESENTACIÓN QUE ALGUIEN SEA CAPAZ DE VOTAR POR SEMEJANTE COSA !!!,1537599926762356736,Si,Si,No,Asco,,,2023-02-13T16:46:24.465440Z,2023-02-13T16:46:24.465444Z,19.405
"#RHGanador podrá ser muy guapito para los madrazos, los insultos,cachetadas, amenazas, meter miedo a empleados, poner a los pobres a pagar intereses de por vida y limpiarse elculo con la ley. Pero para confrontar a sus adversarios en el marco de las propuestas es #RodolfoCobarde",1537922449903235073,Si,Si,No,Ira,,,2023-02-13T16:46:03.600365Z,2023-02-13T16:46:03.600368Z,28.633
"@petrogustavo Pero si vos con tu grupo de bandidos incendiaste el palacio de justicia, quemaste vivos a los jueces y magistrados. De que me hablas viejo??? #RHGanador",1537883656898764800,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T16:45:33.606836Z,2023-02-13T16:45:33.606840Z,124.234
"#NosHaceFalta que @JuanPabloCalvas  en su programa ""Sigue la W"", haga un programa sobre los lideres sociales asesinados en los últimos 4 años. Hace dos días se emitió un programa analizando un caso, pero faltan muchos mas.",1537413012411273218,Si,Si,No,Otra,,,2023-02-13T16:43:27.991181Z,2023-02-13T16:43:27.991185Z,35.866
"Democracia por tutela.  La particularidad del sistema democrático colombiano, sin la tutela a la ciudadanía no se le cumple ningún derecho. Hasta para un #debate presidencial toca por tutela.",1537452279246336000,Si,Si,No,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-13T16:42:50.781028Z,2023-02-13T16:42:50.781032Z,31.484
"@MirandaBogota #IrrespetuosoEs cobrar el sueldo de senador y no ir ni a un debate en los últimos meses. Eso es, literalmente, robar.  No nos roben más.",1537444287431839751,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T16:42:17.867598Z,2023-02-13T16:42:17.867602Z,14.757
"#EstallidoSocialEs el deber ser de un pueblo, que jamás volverá a tragar entero. Sumisos nunca más.",1536936329778544643,Si,Si,No,Otra,,,2023-02-13T16:42:01.670515Z,2023-02-13T16:42:01.670520Z,49.149
"@GustavoBolivar No es así, más de medio país piensa votar por el verdadero cambio #PresidentePetro #FranciaVicepresidenta",1536869969891401730,Si,Si,No,Confianza,,,2023-02-13T16:41:10.994953Z,2023-02-13T16:41:10.994957Z,15.184
"#LoCorrectoEs que las personas que contestan línea de servicio al cliente del @ICFEScol atendieran de manera efectiva y respetuosa a los usuarios. La atención de (Valentina) fue nefasta, se inventan cualquier cosa para colgar la línea y no solucionar @MonicaOspinaL @Mineducacion",1537089084128206851,No,,,,,,2023-02-13T16:40:54.441602Z,2023-02-13T16:40:54.441606Z,1824.849
@VickyDavilaH #YoBloqueoASemana Es un pasquín es un Bodrio al servicio de los clanes políticos asesinos y incluidos en toda la corrupción de Colombia Ejemplo como taparon pruebas por la Coca del embajador,1537023495842021376,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T16:10:28.198154Z,2023-02-13T16:10:28.198158Z,16.898
#DebateObligadoEs Si Petro fuera el que no quisiera asistir a debates el uribestiario estaría aplaudiendo la decisión del tribunal perooo como el que no quiere ir es el candidato del uribismo están de solidarios los malparidos.,1537044816550412288,Si,Si,No,Ira,,,2023-02-13T16:10:09.881619Z,2023-02-13T16:10:09.881625Z,4.39
#DebateObligadoEs lo mínimo que debe existir para confrontar las propuestas de los candidatos. Aunque en este caso sirve para que el viejito ponga la cara y #PetroPresidente2022 peine al RH,1537037210553401344,Si,Si,No,Agrado,,,2023-02-13T16:01:17.859651Z,2023-02-13T16:01:17.859654Z,42.129
"#NoMeDejaDormir el saber que le espera a Colombia con el estallido social que va a patrocinar el pacto histórico, si llega a ganar Rodolfo Hernandez la presidencia.",1536696174077480960,Si,Si,No,Miedo,,,2023-02-13T16:00:34.399786Z,2023-02-13T16:00:34.399789Z,13.616
Entonces los 'periodistas' pierden credibilidad por desinformar y los hijueputas somos los que nos dimos cuenta de sus sesgos ...???  Ah ... Ya ...  #YoBloqueoASemana,1536841895997063169,Si,Si,No,Desagrado,,,2023-02-13T16:00:19.555276Z,2023-02-13T16:00:19.555280Z,77.986
"Nos ofrece droga gratis ¡que demócrata!. Nos ofrece educación gratis, ¡este señor va a imponer el comunismo!. #NosFalta mucho para salir del subdesarrollo y si elegimos como siempre, faltará muchos más.",1536379561268899840,Si,Si,No,Decepción,,,2023-02-13T15:58:59.991139Z,2023-02-13T15:58:59.991144Z,23.672
"@RevistaSemana ¡No me dejo ofender por unos videos! me ofendo por los 8 mill de desplazados, por los 6.402 falsos positivos, por los 22 mill de pobres, por 70 billones robados, por la continuidad de un gobierno saqueador y genocida alejado de pueblo. #SoyPetroSoyPaz",1535971277881626624,Si,Si,No,Ira,,,2023-02-13T15:58:35.023721Z,2023-02-13T15:58:35.023724Z,29.6
@RoyBarreras @petrogustavo Se tiene q retirar xq quedó en descubierto lo sucios y maquiavélicos q son incluyendo a Petro q de experiencia es un Hampón! Tienen q pagar legalmente x corruptos dan asco!#PetrismoSucio #PetrismoTramposo #PetroEsUnPeligro #PactoDeBandidos,1535682415217233920,Si,Si,,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T15:58:04.198010Z,2023-02-13T15:58:04.198014Z,569.923
@chirivica26 @navarrowolff Ahh y q hace a Petro el demócrata del siglo? Todo bien por las bodegas del #PetrismoSucio  ? Estan como asustados q no escriben bien,1535442087390371840,Si,Si,,Desagrado,,,2023-02-13T15:48:33.128430Z,2023-02-13T15:48:33.128434Z,23.34
"#CampañaSuciaEs De algo estoy seguro. Político que este aliado a @petrogustavo que vea que es lo q hace, porque lo mete preso. él no come de alianzas. Que lo mete preso, lo mete! Ese es mi Gato, cazador de ratas. #PetroYFranciaSonElCambio",1535265200374415360,Si,Si,No,Admiración,,,2023-02-13T15:48:08.519491Z,2023-02-13T15:48:08.519497Z,21.206
"Petrista de corazón que tú inteligencia sea la que tome la decisión, vota inteligente frente al #PetrismoSucio",1535365000117858305,Si,No,No,,,,2023-02-13T15:47:46.042741Z,2023-02-13T15:47:46.042744Z,22.153
@ANIABELLO_R #CampanaSuciaEs lo que hace el #PactoDeBandidos y fue tan cochina que tiene a más de uno convencido como corderos al matadero  #PetrismoSucio,1535262455135408128,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T15:47:22.529606Z,2023-02-13T15:47:22.529612Z,42.183
"#hablamaldecolombia Un Presidente que va con su sonrisa de idiora va a decir ante el mundo que Colombia es un paraíso , y la verdad es  otra; muerte a lideres , narcotráfico , corrupción.que descaro........",1535220468889919489,Si,Si,No,"{""choices"": [""Ira"", ""Desagrado""]}",,,2023-02-13T15:46:38.681611Z,2023-02-13T15:46:38.681615Z,26.512
#ColombiaEspera que vaina q salio de vacaciones reporte coronel pata q la w hable la verdad del pacto histórico,1534873142254092288,No,,,,,,2023-02-13T15:46:10.778604Z,2023-02-13T15:46:10.778610Z,39.775
"#LosPetroVideosSon La política saca de las personas lo peor que tienen, en política  una muestra de lo que un individuo puede hacer contra otro #TodoVale   #ColombiaEspera de los candidatos, el mejor sin marrullas!",1534869839726125060,Si,Si,No,Decepción,,,2023-02-13T15:45:29.322534Z,2023-02-13T15:45:29.322537Z,26.483
"#LosPetroVideosSon una clara muestra de que en Colombia se puede ser machista, xenófobo, aprovechado y hasta corrupto pero no se puede ser estratega político, impresionante",1534920598622769152,Si,Si,No,"{""choices"": [""Decepción"", ""Asco""]}",,,2023-02-13T15:45:01.430953Z,2023-02-13T15:45:01.430957Z,39.358
"#LosPetroVideosSon señor Luis Carlos Velez, la fiebre no está en las sabanas, el delincuente no es el que la filtró, los delincuentes son todos",1534871735966875654,Si,Si,No,"{""choices"": [""Ira"", ""Desagrado""]}",,,2023-02-13T15:44:20.543360Z,2023-02-13T15:44:20.543364Z,23.42
"#NoQuiero que el miedo invada nuevamente a los colombianos. #NoQuiero más comentarios de visionarios incautos, que nos digan que si hacemos esto, pasará aquello.",1534478790121988097,Si,Si,No,Incertidumbre,,,2023-02-13T15:43:55.719327Z,2023-02-13T15:43:55.719332Z,26.28
"#UnaBurlaEs: Intentar infructuosamente comunicarse con ""Líneas de soporte"" del @ICFEScol 🥵  No responden correos electrónicos, en línea telefónica los asesores no tienen ni idea de cómo responder requerimientos del usuario. No saben y cuelgan ☎️ | #UnaVerdadEs ⭕ @Mineducacion",1534515241589039109,No,,,,,,2023-02-13T15:43:27.862433Z,2023-02-13T15:43:27.862439Z,8.857
"#UnaVerdadEs que cuando tomamos una opción, muchas veces nos sentimos obligados a sostenerla frente a otros, nos volvemos esclavos de ella, y terminamos contradiciendo nuestros propios principios, nuestra inteligencia y nuestra decencia.",1534171666028412931,No,,,,,,2023-02-13T15:43:17.447631Z,2023-02-13T15:43:17.447635Z,25.877
@jarizabaletaf @YOIkhouvanjou ESTAMOS ANTE UNA AMENAZA INMINENTE. 🫴🏼#LaCorrupcionPetrista  SALVEMOS A COLOMBIA DE CAER EN LAS GARRAS DE “LA BESTIA COMUNISTA”🫴🏼@petrogustavo  EL ÚNICO CAMINO PARA ANULAR  LAS MACABRAS AMBICIONES DE PETRO ES A TRAVÉS DEL 🗳 POR EL @ingrodolfohdez.  #VotarEnBlancoEsVotarPetro,1533617089637978113,Si,Si,No,Miedo,,,2023-02-13T15:42:50.109293Z,2023-02-13T15:42:50.109297Z,13.337
"@darcyquinnr #VotarEnBlancoEs ahora la única opción que le queda a Petro para contener la gigantesca ola #AntiPetrista que desperto en el país. Pero ya no caemos, yo voto #RodolfoPresidente2022",1533771436149587968,Si,Si,No,Desagrado,,,2023-02-13T15:42:35.527746Z,2023-02-13T15:42:35.527750Z,17.075
"@AABenedetti #LaCorrupcionPetrista los Jóvenes quieren un cambio. No quieren más a politiqueros metiendo sus garras en la plata de los impuestos de los colombianos. A Benedetti, a Roy, a Ernesto Samper, al santismo... hay que derrotarlo. Ud no es el cambio.",1533517924979310594,Si,Si,No,"{""choices"": [""Ira"", ""Desagrado""]}",,,2023-02-13T15:42:16.929701Z,2023-02-13T15:42:16.929705Z,30.271
@DanielSamperO Lo que te gusta a vos. Votar en blanco. Que alivio que esta vez no afecta al país. #YoPactoConPetro,1533077570425704452,Si,Si,No,Desagrado,,,2023-02-13T15:41:45.353532Z,2023-02-13T15:41:45.353535Z,207.035
"#PetroElCambioSeguro Vamos que vamos, los hundimos en primera ,en segunda los exterminamos",1532823983112048647,Si,Si,No,"{""choices"": [""Alegria"", ""Confianza""]}",,,2023-02-13T15:38:16.695832Z,2023-02-13T15:38:16.695835Z,30.005
Mucho se habla de #FraudeElectoral pero el tema está en no dejarse confundir y estudiar los programas y mirar dónde está la posible solución a la mayoría o algunos problemas sociales. SU CONCIENCIA DECIDE,1532389060072951809,Si,Si,No,Confianza,,,2023-02-13T15:37:45.211146Z,2023-02-13T15:37:45.211150Z,22.258
#ColombiaNecesita más honestidad y coherencia. Menos egos en los líderes políticos. Y sobre todo más educación que despierte la conciencia.,1532463961643294721,Si,Si,No,Decepción,,,2023-02-13T15:37:21.456415Z,2023-02-13T15:37:21.456420Z,96.643
#ColombiaNecesita saber que el ingeniero Rodolfo resultó ser mas falso y mentiroso que una película pornografica,1532391794171957253,Si,Si,No,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-13T15:35:42.920646Z,2023-02-13T15:35:42.920650Z,36.704
"@BluRadioCo Ajá como en argentina, chile y peru. Ni que decir de Venezuela, Nicaragua y cuba también eligieron vivir sabroso 🥶 #RodolfoPresidente2022",1531995875471503360,Si,Si,Si,,,,2023-02-13T15:35:04.765259Z,2023-02-13T15:35:04.765264Z,224.064
"#ElVerdaderoCambioEs sin Uribe y sin Petro, ese es Rodolfo Hernandez lo que la mayoría decidió, en Colombia cabemos todos.",1531965621776392202,Si,Si,No,Confianza,,,2023-02-13T15:31:19.109857Z,2023-02-13T15:31:19.109861Z,34.489
#MiCandidatoEs Cualquiera que no sea un tipo como @petrogustavo  que sería una debacle para nuestro pais!,1531616944939466755,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T15:30:43.207092Z,2023-02-13T15:30:43.207099Z,12.595
Espero que todos y todas estemos de acuerdo con que era muchísimo mejor tener en #SegundaVuelta a Fajardo y no a Rodolfo o Fico. Linda noche 😊,1531093498413387776,Si,Si,Si,,,,2023-02-13T15:30:29.090054Z,2023-02-13T15:30:29.090058Z,24.411
"Fico anuncia unirse con Rodolfo Hernandez. Más cantada esa jugada, los del Uribismo no son idiotas… QUE LIBRETEADA #ColombiaDecide #ColombiaVota2022 #ColombiaElige  #ColombiaVota",1531062168824815616,Si,Si,No,Desagrado,,,2023-02-13T15:30:03.048011Z,2023-02-13T15:30:03.048016Z,5.107
"Un viejito grosero, irrespetuoso, machista, que le puede meter la mano a cualquiera y que hace amenazas de muerte con que le va a pegar un tiro a este hptaaaaa. Simplemente el Ingeniero Rodolfo Hernandez #ColombiaDecide",1531049180659056640,Si,Si,No,"{""choices"": [""Asco"", ""Miedo""]}",,,2023-02-13T03:14:53.395805Z,2023-02-13T03:14:53.395808Z,52.421
Una vez más invito a la gente que salgan a votar a conciencia en esta jornada electoral y demuestren como siempre que la participación ciudadana se puede cambiar el país. #EleccionesColombia #ColombiaDecide,1530953982578987011,Si,Si,No,Confianza,,,2023-02-13T03:13:59.656522Z,2023-02-13T03:13:59.656525Z,63.445
"#ColombiaConPetro Hoy los nadies, nos levantamos y vamos por #elcambioenprimera",1531014967956484096,Si,Si,No,Confianza,,,2023-02-13T03:12:54.795949Z,2023-02-13T03:12:54.795952Z,525.063
"El cambio en primera! Por la esperanza, porque quiero vivir bueno. #ColombiaConPetro",1530998884310327296,Si,Si,Si,"{""choices"": [""Alegria"", ""Confianza""]}",,,2023-02-13T03:04:07.653490Z,2023-02-13T03:04:07.653493Z,11.991
"Por que sea posible tener abrigo en la niñez, sueños en la juventud y seguridad en la vejez #VotoPorFicoYLara",1530944866020212737,Si,Si,No,Confianza,,,2023-02-13T03:03:52.253949Z,2023-02-13T03:03:52.253952Z,13.948
