text,labels
"Pues si es re tibio, además como hablas de respeto si ahorita insultaste re paila a Petro, wtf   #DebateElTiempoSemana  #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
Hace preguntas y no le gustan las respuestas. El presidente profesor es Petro. A todos nos enseña!! #ElDebateDefinitivo,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Qué desespero oír a Fico. Es desastroso. Qué nivel de argumentación y de conocimiento tan bajo. #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"En conclusión #ElDebateDefinitivo deja claro que Petro es un peligro. Mentiroso, arrogante, tramposo, encubridor, manipulador, violento, pasivo agresivo, resentido. En resumen, una porquería de ser humano, qué digo humano... un demonio.  Petro es el Pol Pot de Ciénaga de Oro","[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Hey respeten a @sergio_fajardo el tipo ya tiene sueño y estas no son horas para preocuparse por un país JAJAJAJAJAJAJAUAJAJAJAJA  Tibiazo de mierda!!!!! #PetroPresidente  #DebateElTiempoSemana  #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Pobre #Fico me hace recordar mis primeras clases de Cálculo Integral: no sabía ni 💩 , pero de todas formas asistía, para que el profe me viera.  #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"No quería decir grocerias pero que maricada, ni los animadores se respetan la palabra. #PetroGanaDebate #ElDebateDefinitivo","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
"Discursos de odio, promesas pretensiosas, inviables y muchos egos #ElDebateDefinitivo  Que Dios se apiade de COLOMBIA 🙏","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
"#ElDebateDefinitivo @VickyDavilaH Deberían aprender hacer un debate cómo el que realizó la universidad externado, dónde los candidatos hablaban de sus propuestas y no de ataques a otros candidatos. Les quedó grande hacer un buen debate. #PetroGanaDebate @ELTIEMPO @RevistaSemana","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
Petro una vez más dijo que Colombia es igual a Venezuela. A ese señor se le ve la cara de satisfacción cuando inserta mentiras descaradas en los cerebros vulnerables de los petristas.  #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
En #ElDebateDefinitivo el mitómano de Petro negó haber dicho que va expropiar las pensiones de los colombianos en los fondos privados.,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
"#ElDebateDefinitivo  Vicky a Fajardo: Pero es que Maria Angela Holgüin la tiene en la casa. Fajardo: Ella no tiene que estar allá,  ella está donde quiere estar.  Una respuesta hermosa que resalta la importancia de la mujer en la sociedad y que no debe estar en la casa unicamente","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Incendiaron el país por una reforma tributaria mal presentada de 21 billones para que su Mesías diga que quiere una de 50...adivinen de donde los piensa sacar. #ElDebateDefinitivo  @RevistaSemana,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
¿Qué tienen en común Sergio Fajardo y el Manchester United este mes?  Que ambos dieron sueño. #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
@ingrodolfohdez  ¿cual es el miedo de ir a los debates ? Se le acabo el discurso “anti corrupción” o es por la escasez de propuestas 🧐🤔 #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Después de almuerzo soy Fajardo #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Es que @sergio_fajardo,  si hasta @VickyDavilaH que no es santa de mi devoción, le dice que si va a asumir la presidencia tiene que acostrumbrarse a extenderse en el tiempo, como pasó en el debate, amigo, usted está en la olla.  #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Quién no se va a querer ir a dormir oyendo a @petrogustavo con esa voz sexy y ahogada, recitar trabalenguas sin sentido para confundir a sus focas, haciéndoles creer que sabe más de matemáticas que @sergio_fajardo 😂 Que sueño profe! #ElDebateDefinitivo #FajardoPresidente","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Por lo que leo, el odio, la desinformación, los ataques y la polarización fueron protagonistas en el #ElDebateDefinitivo. Propuestas y debate real muy poquito 🤐.","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
"En #ElDebateDefinitivo Fico le refutó a Petro que su exfuncionario Villegas hubiese tenido contactos con la oficina de Envigado, si mal no recuerdo, Villegas reconoció esos contactos en el acuerdo con la Fiscalía. ¿Necesitamos más evidencias del nivel de cinismo del greñaldo?","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"En #ElDebateDefinitivo, Fajardo es el único personaje que se enoja porque tiene publicidad gratuita en TV y redes, pero a la misma vez recoje dinero en Vaki para aparecer en TV de manera no gratuita. Las matemáticas le fallaron al profesor.","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Me da risa que ""intelectuales"" estén pensando en votar por el anciano corrupto cuando éste ni plan de gobierno tiene, jamás se le ha escuchado de su boca más que decretos a dedo y a la fuerza. Quiero ver cómo lo destruyen en los debates q faltan. #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
"#ElDebateDefinitivo  Pensé que Fajardo y Fico traían propuestas pero no. Han copiado las de @petrogustavo pero no saben como implementarlas. Petro en cambio explica el como de sus propuestas, les corrige los cálculos, les explica malentendidos y como resultado los hace ver mal","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Pueden ponerse de cabeza pero @JuanManSantos tuvo tan buen gobierno, que la mayoría de sus exfuncionarios están hoy en todas las campañas:  Prada con #Petro  Henao con #Fico  Cristo con #Fajardo   #ElDebateDefinitivo demostró que Santos unió a distintas corrientes políticas.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Petro en #ElDebateDefinitivo estuvo sencillo y claro. Y decirlo con esa palabrita que le encanta al gobierno uribista de @IvanDuque: CONTUNDENTE.   Su síntesis:   Colombianos, hay tres posturas: i) La del gobierno uribista, defendida acá; más de lo mismo; más uribismo.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#ElDebateDefinitivo En cualquier momento ese Fico comenzaba a dirigirse a los presentes cómo Cucho: ""pero mirándome a losh ojosh Cucho""","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#AColombiaLePreocupa la falta de alimento que se avecina, la seguridad alimentaria está en riesgo. El trigo se escasea y la falta de soluciones por parte del gobierno.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#AColombiaLePreocupa el empleo, la comida, la seguridad, la injusticia.....y poco le preocupa las agresiones entre los candidatos, es más, les aburren esas broncas.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#AColombiaLePreocupa la pérdida de empatia y la polarización.,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
