text,tweet_id,relevancia,emocion,ironia,sentimento,annotator,annotation_id,created_at,updated_at,lead_time,answer
"#ElDebateDefinitivo mi voto es por @FicoGutierrez. Jamás votaré por el que intento asesinar a mi padre, un guerrillero que sólo quiere el poder para perpetuarse. Ciegos los que piensan que @petrogustavo es el mesías.",1528898629708169217,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T16:01:09.950929Z,2023-02-13T16:01:09.950932Z,11.81,
#AColombiaLePreocupa la propuesta de pensiones de Petro. Ayer en #ElDebateDefinitivo quedó nuevamente confirmado que si piensa usar la ahorros de millones para gastárselo en sus promesas de campaña.,1529119564503691264,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T16:00:56.876500Z,2023-02-13T16:00:56.876504Z,987.023,
"#YaEsSuficiente ya es suficiente de @petrogustavo , espero que perdiendo estas elecciones nos deje en paz a los colombianos con su proyecto fracasado comunista. Ya mk ya por favor 🙏🏻",1529466881609957378,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T15:44:28.421758Z,2023-02-13T15:44:28.421763Z,20.035,
"Los únicos que deben de tener miedo a un cambio de Gustavo Petro son los corruptos, narcotraFICO, paramilitares y los vividores del estado que perderán sus privilegios!! #MiVotoEsPetroYFrancia",1528497422695030786,Si,Si,No,"{""choices"": [""Desagrado"", ""Confianza""]}",,,2023-02-13T15:44:07.066911Z,2023-02-13T15:44:07.066914Z,10.549,
Ya no quieroas de los mismo #MiVotoEsPetroYFrancia,1528557117858357249,Si,Si,No,Confianza,,,2023-02-13T15:43:55.130981Z,2023-02-13T15:43:55.130985Z,8.163,
Es claro quien es el presidente y quienes van a quedar rabones ! Petro los peinó tranquilo !  #ElDebateDefinitivo,1529144849441644545,Si,Si,No,Confianza,,,2023-02-13T15:43:05.686221Z,2023-02-13T15:43:05.686227Z,8.606,
Ya convencí  a 10 personas #ConvenceUnoMásPorPetro,1529573334907768832,Si,Si,No,Confianza,,,2023-02-13T15:42:55.775272Z,2023-02-13T15:42:55.775276Z,9.532,
#FicoElGanador y con el gana Colombia.,1529850058417618946,Si,Si,No,Confianza,,,2023-02-13T15:42:44.855563Z,2023-02-13T15:42:44.855568Z,7.237,
#EsMuyImportante que los medios de comunicación no desinformen y fomenten el miedo en la sociedad,1539613306297671681,Si,Si,No,"{""choices"": [""Miedo"", ""Incertidumbre""]}",,,2023-02-13T15:42:36.195598Z,2023-02-13T15:42:36.195603Z,7.242,
"Ahora que #PetroEsPresidente #NuestraPrioridadEs hacerle seguimiento. Apoyarlo con lo bueno, reprocharle lo malo. Marchar cuando sea necesario y así... Será difícil, pero no imposible.   Pero con responsabilidad, no con odio.",1539264520631242753,Si,Si,No,Confianza,,,2023-02-13T15:42:27.539726Z,2023-02-13T15:42:27.539730Z,9.307,
"El odio y el resentimiento, hoy están más que nunca encarnados en Maria Fernanda Cabal. Pobrecita esa mujer. #PetroEsPresidente",1539334416929067011,Si,Si,No,Desagrado,,,2023-02-13T15:42:16.901654Z,2023-02-13T15:42:16.901659Z,14.88,
@yescuder #PetroEsPresidente | Le recuerdo que para esta segunda vuelta salió a votar las tribus e indígenas más excluidos en nuestro país.  Indígenas total en nuestro país registrado: 1'905.617 de personas  También le recuerdo  Sigue el Hilo 🧵,1538918509450764290,Si,No,,,,,2023-02-13T15:42:00.522256Z,2023-02-13T15:42:00.522261Z,12.618,
¿Cuándo un presidente nos había dicho que nos quiere mucho? Y es cierto 🥺. #PetroEsPresidente.,1538916021280681984,Si,Si,No,"{""choices"": [""Alegria"", ""Confianza""]}",,,2023-02-13T15:41:46.623265Z,2023-02-13T15:41:46.623280Z,13.432,
#PetroEsPresidente Boletín 250 y Polo Polo aún no llega al Congreso.  #FelizLunes Chao Marbelle.,1538869877137674242,Si,Si,Si,Desagrado,,,2023-02-13T15:41:32.003061Z,2023-02-13T15:41:32.003064Z,12.651,
Cómo se dice fantasma en colombiano? Espetro  #PetroEsPresidente,1538856594103865345,Si,Si,Si,Desagrado,,,2023-02-13T15:41:18.088087Z,2023-02-13T15:41:18.088092Z,9.093,
Gracias Fecode esto no se habría hecho sin ustedes que llevan muchos años adoctrinando a los niños para ser de izquierda radical! #PetroEsPresidente,1538846127243534336,Si,Si,No,Desagrado,,,2023-02-13T15:41:07.833621Z,2023-02-13T15:41:07.833625Z,11.534,
Soy el único que no sabe que hacer cuando se gana? #PetroEsPresidente,1538696072872206337,Si,Si,No,Alegria,,,2023-02-13T15:40:55.088425Z,2023-02-13T15:40:55.088428Z,8.018,
"¡LLEGO LA HORA DE VIVIR SABROSO, CARAJO! #PetroPresidente #VivirSabroso ❤️❤️❤️",1538655871353372673,Si,Si,No,"{""choices"": [""Alegria"", ""Confianza""]}",,,2023-02-13T15:40:45.799424Z,2023-02-13T15:40:45.799427Z,11.032,
JAJAJJAJAJA Que divertido se puso twitter y los burgueses ardidos.  #PetroPresidente #EleccionesColombia2022,1538652860887482369,Si,Si,Si,Desagrado,,,2023-02-13T15:40:33.414921Z,2023-02-13T15:40:33.414924Z,18.065,
"Tengo la ansiedad al 100, estoy temblando 😣 #EleccionesColombia2022",1538557759268048896,Si,Si,No,Incertidumbre,,,2023-02-13T15:40:14.078369Z,2023-02-13T15:40:14.078373Z,7.266,
"La verdad no pensé que viviría para ver el inicio del cambio...gracias por todo colombianos conscientes y pensantes, los amo 😭😭😭 #PetroEsPresidente",1538667002583306245,Si,Si,No,"{""choices"": [""Alegria"", ""Confianza""]}",,,2023-02-13T15:40:04.956590Z,2023-02-13T15:40:04.956592Z,13.639,
"𝗨𝗥𝗚𝗘𝗡𝗧𝗘. 𝗢𝗝𝗢, 𝗨𝗥𝗚𝗘𝗡𝗧𝗘  Gente, hay indicios muy serios, muy serios, de fraude, TODOS activos, la democracia se respeta.  Trine con el ht: #registraduriaresponda.  Por favor, use el ht: #registraduriaresponda .  Rt al tui. Cortesia @Noti_Space  URGENTE.",1538207705919266819,Si,Si,No,Miedo,,,2023-02-13T15:39:49.797510Z,2023-02-13T15:39:49.797513Z,14.946,
"Obligan a trabajadores de la registraduria a poner a Rodolfo como ganador en los grupos de chats departamental, Colombia un país gobernado por el narcoparaco. Iliyarismo #RegistraduriaResponda",1538036012089212928,Si,Si,No,Desagrado,,,2023-02-13T15:39:33.699018Z,2023-02-13T15:39:33.699021Z,9.124,
"Entre el #ExGuerrilleroOIngeniero yo, Natalia, me quedo con el ingeniero ¿y usted?   (Copia y pega con tu nombre)",1538235365953265666,Si,Si,No,Desagrado,,,2023-02-13T15:39:23.272364Z,2023-02-13T15:39:23.272367Z,9.495,
"Si en colombia la revista semana les quiere imponer un "" ingeniero"" solo recuerden como uno acabó con el Perú y comando un golpe de estado #ExguerrilleroOIngeniero #RegistraduríaResponda #PetroPresidenteEnsegunda",1538231462339698688,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T15:39:12.511315Z,2023-02-13T15:39:12.511318Z,14.317,
"Manifestaron emoción y agradecieron por esta acción pedagógica, pues les ayuda a decidir  Vamos a ganar con Francia y Petro, x eso necesitamos la mayor cantidad de votos posible #FranciaVicepresidenta #RodolfoCobarde #PetroPresidenteEnsegunda #YoVotoPor #PetroYFranciaSonElCambio",1537880823092760576,Si,Si,No,Confianza,,,2023-02-13T15:38:56.907331Z,2023-02-13T15:38:56.907336Z,2310.936,
Luego de oír la entrevista con Petro y ver que el Ingeniero le importó cinco participar; he tomado la decisión de cambiar mi voto y voy con Petro.#EsteDomingo,1537795043725127683,Si,Si,No,Decepción,,,2023-02-13T15:00:24.501073Z,2023-02-13T15:00:24.501076Z,7.885,
"Petro se quedó sin voz de tanta plaza pública, Rodolfo se quedó sin voz de tanto cantar “pepas y agua pa la seca, todo el mundo en pastillas pa la discoteca”.   Son datos y hay que darlos.   #estedomingo #YoVotoPor #petrosky",1537788369052352512,Si,Si,Si,"{""choices"": [""Desagrado"", ""Confianza""]}",,,2023-02-13T15:00:14.776399Z,2023-02-13T15:00:14.776402Z,22.819,
#RodolfoCobarde A VER COLOMBIANOS? LES QUEDA ALGUNA DUDA DE QUE ESTE RODOLFO NO ESTÁ EN CAPACIDAD DE NADA?  SE LE ACEPTARON TODAS SUS ESTÚPIDAS EXIGENCIAS Y NI ASÍ? NO TIENE PRESENTACIÓN QUE ALGUIEN SEA CAPAZ DE VOTAR POR SEMEJANTE COSA !!!,1537599926762356736,Si,Si,No,Asco,,,2023-02-13T14:59:50.752296Z,2023-02-13T14:59:50.752300Z,15.681,
"#RHGanador podrá ser muy guapito para los madrazos, los insultos,cachetadas, amenazas, meter miedo a empleados, poner a los pobres a pagar intereses de por vida y limpiarse elculo con la ley. Pero para confrontar a sus adversarios en el marco de las propuestas es #RodolfoCobarde",1537922449903235073,Si,Si,No,Asco,,,2023-02-13T14:59:33.871526Z,2023-02-13T14:59:33.871529Z,16.193,
"@petrogustavo Pero si vos con tu grupo de bandidos incendiaste el palacio de justicia, quemaste vivos a los jueces y magistrados. De que me hablas viejo??? #RHGanador",1537883656898764800,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T14:59:16.390435Z,2023-02-13T14:59:16.390439Z,17.411,
"#NosHaceFalta que @JuanPabloCalvas  en su programa ""Sigue la W"", haga un programa sobre los lideres sociales asesinados en los últimos 4 años. Hace dos días se emitió un programa analizando un caso, pero faltan muchos mas.",1537413012411273218,Si,No,No,,,,2023-02-13T14:58:57.671340Z,2023-02-13T14:58:57.671343Z,14.749,
"Democracia por tutela.  La particularidad del sistema democrático colombiano, sin la tutela a la ciudadanía no se le cumple ningún derecho. Hasta para un #debate presidencial toca por tutela.",1537452279246336000,Si,Si,No,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-13T14:58:41.669567Z,2023-02-13T14:58:41.669572Z,17.686,
"@MirandaBogota #IrrespetuosoEs cobrar el sueldo de senador y no ir ni a un debate en los últimos meses. Eso es, literalmente, robar.  No nos roben más.",1537444287431839751,Si,Si,No,Desagrado,,,2023-02-13T14:58:22.674434Z,2023-02-13T14:58:22.674437Z,14.321,
"#EstallidoSocialEs el deber ser de un pueblo, que jamás volverá a tragar entero. Sumisos nunca más.",1536936329778544643,Si,Si,No,Confianza,,,2023-02-13T14:58:06.976819Z,2023-02-13T14:58:06.976822Z,12.29,
"@GustavoBolivar No es así, más de medio país piensa votar por el verdadero cambio #PresidentePetro #FranciaVicepresidenta",1536869969891401730,Si,Si,No,Confianza,,,2023-02-13T14:57:53.411703Z,2023-02-13T14:57:53.411706Z,7.184,
"#LoCorrectoEs que las personas que contestan línea de servicio al cliente del @ICFEScol atendieran de manera efectiva y respetuosa a los usuarios. La atención de (Valentina) fue nefasta, se inventan cualquier cosa para colgar la línea y no solucionar @MonicaOspinaL @Mineducacion",1537089084128206851,No,,,,,,2023-02-13T14:57:44.884088Z,2023-02-13T14:57:44.884091Z,17.119,
@VickyDavilaH #YoBloqueoASemana Es un pasquín es un Bodrio al servicio de los clanes políticos asesinos y incluidos en toda la corrupción de Colombia Ejemplo como taparon pruebas por la Coca del embajador,1537023495842021376,Si,Si,No,Desagrado,,,2023-02-13T14:57:26.462368Z,2023-02-13T14:57:26.462371Z,10.748,
#DebateObligadoEs Si Petro fuera el que no quisiera asistir a debates el uribestiario estaría aplaudiendo la decisión del tribunal perooo como el que no quiere ir es el candidato del uribismo están de solidarios los malparidos.,1537044816550412288,Si,Si,No,Asco,,,2023-02-13T14:57:14.369265Z,2023-02-13T14:57:14.369268Z,15.928,
#DebateObligadoEs lo mínimo que debe existir para confrontar las propuestas de los candidatos. Aunque en este caso sirve para que el viejito ponga la cara y #PetroPresidente2022 peine al RH,1537037210553401344,Si,Si,No,"{""choices"": [""Desagrado"", ""Confianza""]}",,,2023-02-13T14:56:48.637453Z,2023-02-13T14:56:48.637456Z,15.788,
"#NoMeDejaDormir el saber que le espera a Colombia con el estallido social que va a patrocinar el pacto histórico, si llega a ganar Rodolfo Hernandez la presidencia.",1536696174077480960,Si,Si,No,"{""choices"": [""Miedo"", ""Incertidumbre""]}",,,2023-02-13T14:56:31.515210Z,2023-02-13T14:56:31.515213Z,13.839,
Entonces los 'periodistas' pierden credibilidad por desinformar y los hijueputas somos los que nos dimos cuenta de sus sesgos ...???  Ah ... Ya ...  #YoBloqueoASemana,1536841895997063169,Si,Si,No,Desagrado,,,2023-02-13T14:56:16.380977Z,2023-02-13T14:56:16.380980Z,15.878,
"Nos ofrece droga gratis ¡que demócrata!. Nos ofrece educación gratis, ¡este señor va a imponer el comunismo!. #NosFalta mucho para salir del subdesarrollo y si elegimos como siempre, faltará muchos más.",1536379561268899840,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo"", ""Incertidumbre""]}",,,2023-02-13T14:55:59.005826Z,2023-02-13T14:55:59.005829Z,13.367,
"@RevistaSemana ¡No me dejo ofender por unos videos! me ofendo por los 8 mill de desplazados, por los 6.402 falsos positivos, por los 22 mill de pobres, por 70 billones robados, por la continuidad de un gobierno saqueador y genocida alejado de pueblo. #SoyPetroSoyPaz",1535971277881626624,Si,Si,No,"{""choices"": [""Ira"", ""Desagrado""]}",,,2023-02-13T14:55:44.370450Z,2023-02-13T14:55:44.370453Z,13.735,
@RoyBarreras @petrogustavo Se tiene q retirar xq quedó en descubierto lo sucios y maquiavélicos q son incluyendo a Petro q de experiencia es un Hampón! Tienen q pagar legalmente x corruptos dan asco!#PetrismoSucio #PetrismoTramposo #PetroEsUnPeligro #PactoDeBandidos,1535682415217233920,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T14:55:29.154767Z,2023-02-13T14:55:29.154770Z,13.974,
@chirivica26 @navarrowolff Ahh y q hace a Petro el demócrata del siglo? Todo bien por las bodegas del #PetrismoSucio  ? Estan como asustados q no escriben bien,1535442087390371840,Si,Si,Si,Desagrado,,,2023-02-13T14:55:13.976061Z,2023-02-13T14:55:13.976064Z,25.199,
"#CampañaSuciaEs De algo estoy seguro. Político que este aliado a @petrogustavo que vea que es lo q hace, porque lo mete preso. él no come de alianzas. Que lo mete preso, lo mete! Ese es mi Gato, cazador de ratas. #PetroYFranciaSonElCambio",1535265200374415360,Si,Si,No,Desagrado,,,2023-02-13T14:54:47.496645Z,2023-02-13T14:54:47.496648Z,21.568,
"Petrista de corazón que tú inteligencia sea la que tome la decisión, vota inteligente frente al #PetrismoSucio",1535365000117858305,Si,Si,No,Desagrado,,,2023-02-13T14:54:24.686098Z,2023-02-13T14:54:24.686101Z,13.301,
@ANIABELLO_R #CampanaSuciaEs lo que hace el #PactoDeBandidos y fue tan cochina que tiene a más de uno convencido como corderos al matadero  #PetrismoSucio,1535262455135408128,Si,Si,No,Asco,,,2023-02-13T14:54:10.138268Z,2023-02-13T14:54:10.138271Z,12.538,
"#hablamaldecolombia Un Presidente que va con su sonrisa de idiora va a decir ante el mundo que Colombia es un paraíso , y la verdad es  otra; muerte a lideres , narcotráfico , corrupción.que descaro........",1535220468889919489,Si,Si,No,"{""choices"": [""Decepción"", ""Desagrado"", ""Miedo""]}",,,2023-02-13T14:53:56.312673Z,2023-02-13T14:53:56.312677Z,24.014,
#ColombiaEspera que vaina q salio de vacaciones reporte coronel pata q la w hable la verdad del pacto histórico,1534873142254092288,No,,,,,,2023-02-13T14:53:31.090659Z,2023-02-13T14:53:31.090663Z,204.274,No se entiende
"#LosPetroVideosSon La política saca de las personas lo peor que tienen, en política  una muestra de lo que un individuo puede hacer contra otro #TodoVale   #ColombiaEspera de los candidatos, el mejor sin marrullas!",1534869839726125060,Si,Si,No,Decepción,,,2023-02-13T14:50:05.525265Z,2023-02-13T14:50:05.525268Z,20.433,
"#LosPetroVideosSon una clara muestra de que en Colombia se puede ser machista, xenófobo, aprovechado y hasta corrupto pero no se puede ser estratega político, impresionante",1534920598622769152,Si,Si,No,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-13T14:49:43.785994Z,2023-02-13T14:49:43.785998Z,12.856,
"#LosPetroVideosSon señor Luis Carlos Velez, la fiebre no está en las sabanas, el delincuente no es el que la filtró, los delincuentes son todos",1534871735966875654,Si,Si,No,Desagrado,,,2023-02-13T14:49:29.201276Z,2023-02-13T14:49:29.201279Z,20.737,
"#NoQuiero que el miedo invada nuevamente a los colombianos. #NoQuiero más comentarios de visionarios incautos, que nos digan que si hacemos esto, pasará aquello.",1534478790121988097,Si,Si,No,"{""choices"": [""Miedo"", ""Incertidumbre""]}",,,2023-02-13T14:49:07.320903Z,2023-02-13T14:49:07.320906Z,13.715,
"#UnaBurlaEs: Intentar infructuosamente comunicarse con ""Líneas de soporte"" del @ICFEScol 🥵  No responden correos electrónicos, en línea telefónica los asesores no tienen ni idea de cómo responder requerimientos del usuario. No saben y cuelgan ☎️ | #UnaVerdadEs ⭕ @Mineducacion",1534515241589039109,No,,,,,,2023-02-13T14:48:52.343753Z,2023-02-13T14:48:52.343757Z,6.239,
"#UnaVerdadEs que cuando tomamos una opción, muchas veces nos sentimos obligados a sostenerla frente a otros, nos volvemos esclavos de ella, y terminamos contradiciendo nuestros propios principios, nuestra inteligencia y nuestra decencia.",1534171666028412931,No,No,,,,,2023-02-13T14:48:44.948848Z,2023-02-13T14:48:44.948851Z,26.23,
@jarizabaletaf @YOIkhouvanjou ESTAMOS ANTE UNA AMENAZA INMINENTE. 🫴🏼#LaCorrupcionPetrista  SALVEMOS A COLOMBIA DE CAER EN LAS GARRAS DE “LA BESTIA COMUNISTA”🫴🏼@petrogustavo  EL ÚNICO CAMINO PARA ANULAR  LAS MACABRAS AMBICIONES DE PETRO ES A TRAVÉS DEL 🗳 POR EL @ingrodolfohdez.  #VotarEnBlancoEsVotarPetro,1533617089637978113,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T14:48:17.280390Z,2023-02-13T14:48:17.280393Z,22.336,
"@darcyquinnr #VotarEnBlancoEs ahora la única opción que le queda a Petro para contener la gigantesca ola #AntiPetrista que desperto en el país. Pero ya no caemos, yo voto #RodolfoPresidente2022",1533771436149587968,Si,Si,No,Desagrado,,,2023-02-13T14:47:53.614667Z,2023-02-13T14:47:53.614670Z,19.845,
"@AABenedetti #LaCorrupcionPetrista los Jóvenes quieren un cambio. No quieren más a politiqueros metiendo sus garras en la plata de los impuestos de los colombianos. A Benedetti, a Roy, a Ernesto Samper, al santismo... hay que derrotarlo. Ud no es el cambio.",1533517924979310594,Si,Si,No,Desagrado,,,2023-02-13T14:47:32.522503Z,2023-02-13T14:47:32.522506Z,19.134,
@DanielSamperO Lo que te gusta a vos. Votar en blanco. Que alivio que esta vez no afecta al país. #YoPactoConPetro,1533077570425704452,Si,Si,No,Desagrado,,,2023-02-13T14:47:11.731524Z,2023-02-13T14:47:11.731527Z,12.437,
"#PetroElCambioSeguro Vamos que vamos, los hundimos en primera ,en segunda los exterminamos",1532823983112048647,Si,Si,No,Confianza,,,2023-02-13T14:46:58.002444Z,2023-02-13T14:46:58.002447Z,7.768,
Mucho se habla de #FraudeElectoral pero el tema está en no dejarse confundir y estudiar los programas y mirar dónde está la posible solución a la mayoría o algunos problemas sociales. SU CONCIENCIA DECIDE,1532389060072951809,Si,No,No,,,,2023-02-13T14:46:48.657081Z,2023-02-13T14:46:48.657084Z,13.121,
#ColombiaNecesita más honestidad y coherencia. Menos egos en los líderes políticos. Y sobre todo más educación que despierte la conciencia.,1532463961643294721,Si,No,No,,,,2023-02-13T14:46:34.190626Z,2023-02-13T14:46:34.190629Z,22.362,
#ColombiaNecesita saber que el ingeniero Rodolfo resultó ser mas falso y mentiroso que una película pornografica,1532391794171957253,Si,Si,No,Asco,,,2023-02-13T14:46:10.595358Z,2023-02-13T14:46:10.595361Z,29.096,
"@BluRadioCo Ajá como en argentina, chile y peru. Ni que decir de Venezuela, Nicaragua y cuba también eligieron vivir sabroso 🥶 #RodolfoPresidente2022",1531995875471503360,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T14:45:40.181657Z,2023-02-13T14:45:40.181660Z,19.793,
"#ElVerdaderoCambioEs sin Uribe y sin Petro, ese es Rodolfo Hernandez lo que la mayoría decidió, en Colombia cabemos todos.",1531965621776392202,Si,Si,No,Confianza,,,2023-02-13T14:45:18.858809Z,2023-02-13T14:45:18.858814Z,9.349,
#MiCandidatoEs Cualquiera que no sea un tipo como @petrogustavo  que sería una debacle para nuestro pais!,1531616944939466755,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T14:45:08.224966Z,2023-02-13T14:45:08.224969Z,11.603,
Espero que todos y todas estemos de acuerdo con que era muchísimo mejor tener en #SegundaVuelta a Fajardo y no a Rodolfo o Fico. Linda noche 😊,1531093498413387776,Si,Si,No,Decepción,,,2023-02-13T14:44:55.269156Z,2023-02-13T14:44:55.269159Z,11.582,
"Fico anuncia unirse con Rodolfo Hernandez. Más cantada esa jugada, los del Uribismo no son idiotas… QUE LIBRETEADA #ColombiaDecide #ColombiaVota2022 #ColombiaElige  #ColombiaVota",1531062168824815616,Si,Si,No,Desagrado,,,2023-02-13T14:44:42.451118Z,2023-02-13T14:44:42.451122Z,18.809,
"Un viejito grosero, irrespetuoso, machista, que le puede meter la mano a cualquiera y que hace amenazas de muerte con que le va a pegar un tiro a este hptaaaaa. Simplemente el Ingeniero Rodolfo Hernandez #ColombiaDecide",1531049180659056640,Si,Si,No,Asco,,,2023-02-13T14:44:22.445837Z,2023-02-13T14:44:22.445840Z,18.977,
