text,tweet_id,relevancia,emocion,sentimento,answer,annotator,annotation_id,created_at,updated_at,lead_time
"@RICHENAO @Rodrigo3edu @petrogustavo #NoEsCapazDeGobernarLaNación el eterno mitómano que jamás será presidente de los Colombianos.  #FicoPresidente2022  #ElDebateDefinitivo  Si Petro tuviese palabra hace tiempo hubiera dejado la política, porque es el N`1 ofreciéndose el desistimiento pero jamás cumple",1529454820427501568,Si,Si,Asco,,,,2023-01-27T15:57:52.359627Z,2023-01-27T15:57:52.359632Z,19.961
@RICHENAO De hecho solo lo harían unas pocas familias a las que ud les lame el culo.  #ElDebateDefinitivo  #ElCambioEnPrimera.,1529351840772546565,Si,Si,Asco,,,,2023-01-27T15:57:30.678816Z,2023-01-27T15:57:30.678820Z,15.076
"Quiero enviar un saludo a todos los ciclistas del país, que sigan haciendo deporte y que por favor sean prudentes a la hora de manejar por las vias de Colombia.  Lo digo porque Egan Bernal se dio un golpe muy fuerte en la cabeza y aún no se recupera.  #YaEsSuficiente",1529602483055640577,No,,,,,,2023-01-27T15:57:14.293831Z,2023-01-27T15:57:14.293834Z,10.429
Será que esos #pseudoPeriodistas que están tan pendientes de @QuinteroCalle no se pronuncian rechazando lo que le hacen algunos padres de Colegio Alemán a su familia? @lafm 🧐   #YaEsSuficiente,1529557684554452992,Si,Si,Asco,,,,2023-01-27T15:57:02.518962Z,2023-01-27T15:57:02.518968Z,402.865
"#YaEsSuficiente ya es suficiente de @petrogustavo , espero que perdiendo estas elecciones nos deje en paz a los colombianos con su proyecto fracasado comunista. Ya mk ya por favor 🙏🏻",1529466881609957378,Si,Si,"{""choices"": [""Desagrado"", ""Miedo""]}",,,,2023-01-27T15:50:17.936578Z,2023-01-27T15:50:17.936581Z,14.757
"#YaEsSuficiente de campañas sucias, con engaños, insultos, calumnias.",1529419200221138944,Si,Si,Asco,,,,2023-01-27T15:50:01.495482Z,2023-01-27T15:50:01.495485Z,8.345
#VotoPor Sergio Fajardo. Un presidente decente y que no divida es lo que necesita Colombia,1529613037866459136,Si,Si,Agrado,,,,2023-01-27T15:49:51.702671Z,2023-01-27T15:49:51.702675Z,155.879
"#VotoPor #RodolfoHernandez hombre sabio, sagaz y visionario que transformará el país en potencia mundial, del atraso a ejemplo de desarrollo y crecimiento económico  #RodolfoPresidente  A los haters les digo, #RodolfoPresidente y si van a decir algo con argumentos no inventos",1529572795633414144,Si,Si,"{""choices"": [""Alegria"", ""Confianza""]}",,,,2023-01-27T15:47:14.346852Z,2023-01-27T15:47:14.346854Z,43.774
#VotoPor quien respete y promueva la Libertad Religiosa,1529443152259694592,Si,No,,,,,2023-01-27T15:46:29.232869Z,2023-01-27T15:46:29.232875Z,310.964
#VotoPor el único candidato REAL de estas elecciones. @petrogustavo ❤️,1529442514637299712,Si,Si,Confianza,,,,2023-01-27T15:41:17.036743Z,2023-01-27T15:41:17.036746Z,13.981
"#VotoPor @petrogustavo este 29 de mayo, y sus contendores sucios NO PODRAN CON NOSOTROS, SOMOS UNA NACIÓN VIVA QUE YA NO CREE EN MIEDOS https://t.co/2fQZrUL0r0",1529432551286349824,Si,Si,Expectativa,,,,2023-01-27T15:41:01.754314Z,2023-01-27T15:41:01.754317Z,37.387
"#VotoPor un ingeniero jóven, decente, sin procesos por corrupción, que une y sabe administrar. #FicoUneAColombia",1529410737231351808,Si,Si,Confianza,,,,2023-01-27T15:40:22.739234Z,2023-01-27T15:40:22.739237Z,25.006
#GrandezaEs que Uribe se retire de la vida política y pública.,1529174627972521987,Si,Si,Desagrado,,,,2023-01-27T15:39:56.436977Z,2023-01-27T15:39:56.436982Z,11.045
#GrandezaEs vivir un día a la vez y dejar a un lado el temor,1529160306944905216,No,,,,,,2023-01-27T15:39:44.096549Z,2023-01-27T15:39:44.096555Z,5.304
"#LeApuestoA las instituciones. Nunca he creído en el mesianismo. #LeApuestoA al debate y pensamiento crítico para construir en la diferencia, sin mojigatería, ni límites absurdos sobre el deber ser.",1529097150923214849,Si,Si,Confianza,,,,2023-01-27T15:39:37.418167Z,2023-01-27T15:39:37.418172Z,898.252
@darcyquinnr #LeApuestoA Dios a la fe a la esperanza a la vida a la coherencia,1529060822269448194,No,,,,,,2023-01-27T15:24:38.276948Z,2023-01-27T15:24:38.276951Z,13.292
#AColombiaLePreocupa la propuesta de pensiones de Petro. Ayer en #ElDebateDefinitivo quedó nuevamente confirmado que si piensa usar la ahorros de millones para gastárselo en sus promesas de campaña.,1529119564503691264,Si,Si,"{""choices"": [""Ira"", ""Miedo""]}",,,,2023-01-27T15:24:23.668849Z,2023-01-27T15:24:23.668854Z,25.025
#AColombiaLePreocupa que después de una pandemia salimos llenos de rencor,1529096515356176385,Si,Si,Decepción,,,,2023-01-27T15:23:57.333468Z,2023-01-27T15:23:57.333473Z,6.477
"#AColombiaLePreocupa el abandono de las regiones! Fortalecer la seguridad alimentaria, salud, educación, vivienda, vías decentes el fortalecimiento del agro en su conjunto!",1529089553923026946,Si,Si,"{""choices"": [""Expectativa"", ""Incertidumbre""]}",,,,2023-01-27T15:23:49.464702Z,2023-01-27T15:23:49.464705Z,28.457
"#AColombiaLePreocupa Cómo los 4000 ricos del país, Van a seguir evadiendo Impuestos e invertir en Publicidad con Desprestigiar la Economía q propone @petrogustavo para Ahora si Pagar lo que Pagamos Todos, Ayudando a Pagar la deuda con la q se hacen Ricos, Y decir Como q Dividir? https://t.co/y3OyH5lvZM",1529081340926345216,Si,Si,"{""choices"": [""Ira"", ""Asco""]}",,,,2023-01-27T03:27:14.332231Z,2023-01-27T03:27:14.332235Z,26.239
La Silicon Valley Latinoamericana aún no tiene software para las votaciones. #AColombiaLePreocupa,1529070396087185409,Si,Si,Decepción,,,,2023-01-27T03:26:46.692995Z,2023-01-27T03:26:46.692999Z,9.62
Es claro quien es el presidente y quienes van a quedar rabones ! Petro los peinó tranquilo !  #ElDebateDefinitivo,1529144849441644545,Si,Si,Otra,Ambiguo,,,2023-01-27T03:26:35.917646Z,2023-01-27T03:26:35.917650Z,33.586
#ElDebateDefinitivo ya empezaron los que “no dividen ni atacan” JAJAJAJAJAJAJ igual nada quita que #PetroGanaDebate https://t.co/yEIqmdKnK0,1528949742968967168,Si,Si,Asco,,,,2023-01-27T03:26:00.818087Z,2023-01-27T03:26:00.818092Z,12.894
"Petro entiende muy bien que Fico tiene más votos que él, no hizo más que coquetear con Fajardo que lo ha rechazado una y otra vez. Si hubiera ido Rodolfo le chupa trompa.  #ElDebateDefinitivo",1528946887629451265,Si,Si,Asco,,,,2023-01-27T03:25:46.641687Z,2023-01-27T03:25:46.641691Z,11.362
Dos almas heridas de orgullos quedaron muy lastimadas después que Petro expuso un sólido y robusto plan de gobierno. DIOS LO BENDIGA   #PetroPresidenteEnPrimera #ElDebateDefinitivo,1528948234051280896,Si,Si,Admiración,,,,2023-01-27T03:25:34.042982Z,2023-01-27T03:25:34.042985Z,15.081
#ElDebateDefinitivo…¿por qué no fue John Mitón?,1528945271186591744,Si,No,,,,,2023-01-27T03:25:17.752570Z,2023-01-27T03:25:17.752574Z,5.54
"Vicky: Fico que piensa cuando ve la campaña de ""NarcotraFICO"" Fico: Es culpa de Petro  Petro Be like  #ElDebateDefinitivo https://t.co/BPr4Y9eH3E",1528938152810930176,Si,No,,,,,2023-01-27T03:25:10.413713Z,2023-01-27T03:25:10.413721Z,15.48
Fajardo responda algo: YO Federico: cuando yo fui alcalde #ElDebateDefinitivo,1528938148822241280,Si,Si,Otra,ironia,,,2023-01-27T03:24:53.447282Z,2023-01-27T03:24:53.447286Z,22.018
"Fajardo tiene la misma propuesta de petro en pensiones, y ni el mismo lo sabe. Petro se lo tuvo que explicar. #ElDebateDefinitivo",1528936500745973760,Si,Si,Desagrado,,,,2023-01-27T03:24:30.084373Z,2023-01-27T03:24:30.084378Z,17.418
Cómo serán los cálculos del equipo de Fajardo... Y lo que más me sorprende es que ni él entiende su propuesta pensional 🙄 #ElDebateDefinitivo,1528937928751304704,Si,Si,"{""choices"": [""Decepción"", ""Sorpresa""]}",,,,2023-01-27T03:24:11.324136Z,2023-01-27T03:24:11.324141Z,23.642
"@petrogustavo R/ (Piedad y Roy) Los dos primeros son parlamentarios elegidos, son y serán senadores. Fajardo: ¿Roy Barreras es parlamentario elegido? ¿Fajardo dónde vive 🤣? #ElDebateDefinitivo",1528937621501661184,Si,Si,Otra,ironia,,,2023-01-27T03:23:46.496161Z,2023-01-27T03:23:46.496165Z,31.506
Será que los petristas sí entenderán lo que significa una buena peinada?   #ElDebateDefinitivo https://t.co/i73z9ISb0P,1528934962463907842,Si,Si,Otra,,,,2023-01-27T03:23:13.798107Z,2023-01-27T03:23:13.798112Z,22.679
Y a este mk quien lo invito? #ElDebateDefinitivo,1528932196949663745,Si,No,,,,,2023-01-27T03:22:49.729629Z,2023-01-27T03:22:49.729634Z,20.853
Fico en el medio cuando Petro y Fajardo se encendieron por el tema de la financiacion de las pensiones  #ElDebateDefinitivo https://t.co/h3Syap7obf,1528931365177147392,Si,Si,Otra,,,,2023-01-27T03:22:27.701366Z,2023-01-27T03:22:27.701370Z,29.869
"Fico acaba de demostrar que no sirve ni para hacer una pregunta, le dan la oportunidad de hacerle una pregunta a Fajardo y va y le pregunta por el tema que se ha pasado hablando durante todo el debate.. #ElDebateDefinitivo",1528929360719355904,Si,Si,Desagrado,,,,2023-01-27T03:21:56.512506Z,2023-01-27T03:21:56.512510Z,41.43
"#ElDebateDefinitivo Cómo es que a uno le preguntan si Ajiaco o bandeja paisa, pero si es muy difícil esa entonces que escoja entre Bogotá y Medellín jajaja pero al otro candidato si se le encara con que si pondrá o no impuestos a las Iglesias.",1528924229692956673,Si,Si,Ira,,,,2023-01-27T03:21:13.800769Z,2023-01-27T03:21:13.800775Z,32.92
"#ElDebateDefinitivo le falta a Federico Gutiérrez decir que ""vamos a vivir sabroso"" y ya se termina de robar todo el discurso de Petro.  Consejo. Si alguien se le roba la idea al otro. No vayan por el que se roba la idea, vayan por el que es el original.",1528921475553669128,Si,Si,"{""choices"": [""Asombro"", ""Asco""]}",,,,2023-01-27T03:20:39.664373Z,2023-01-27T03:20:39.664378Z,20.946
Lo mejor de #ElDebateDefinitivo es mi cuñado pensando que el moderador era Rodolfo.,1528921538090655744,Si,Si,Decepción,,,,2023-01-27T03:20:17.500222Z,2023-01-27T03:20:17.500227Z,12.409
"Federico: bueno dos cosas • Cuando fui alcalde de Medellín • Los consejos que mi papá me daba  Fin, gracias por su atención que gran debate   #ElDebateDefinitivo",1528919115775238144,Si,Si,Decepción,,,,2023-01-27T03:20:03.734245Z,2023-01-27T03:20:03.734252Z,12.672
#ElDebateDefinitivo conclusión: @sergio_fajardo es un completo idiota...de verdad que si no pierde votos hoy...la gente es muy tonta!.,1528918181888270337,Si,Si,Desagrado,,,,2023-01-27T03:19:49.653518Z,2023-01-27T03:19:49.653522Z,12.751
"No hay nada definido, votemos con libertad por la persona que tiene las mejores propuestas, con @sergio_fajardo   Colombia cambiará, no dejarse llevar por las encuestas, a votar el domingo #ElDebateDefinitivo #YoVotoPorFajardo por la colombia que queremos!!!!! https://t.co/cCFQPRpRtQ",1528917531565731840,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,,2023-01-27T03:19:35.662082Z,2023-01-27T03:19:35.662086Z,22.436
"Fico y su micrófono escondido en su sede de campaña, hmmmmmya jajajaja  #ElDebateDefinitivo",1528914947845021696,Si,Si,Desagrado,,,,2023-01-27T03:19:11.943329Z,2023-01-27T03:19:11.943333Z,14.578
"#DebateElTiempoSemana  @sergio_fajardo tiene toda la razón cuando dice :” yo no inspiro nada”, sus posturas siguen siendo respuestas que buscan no molestar a nadie y mostrarse éticamente correcto, pero son eso, nada  #ElDebateDefinitivo  #Colombia",1528915145300353025,Si,Si,Decepción,,,,2023-01-27T03:18:56.024318Z,2023-01-27T03:18:56.024321Z,13.25
"#EldebateDefinitivo en Chile no ha pasado nada...antes se aumento el salario mínimo en %mas alto de la historia,la gente va a votar por una nueva Constitución, Boric fue elegido dentro de los 100 más influyentes del mundo en Forbes",1528915216079065088,Si,Si,Confianza,,,,2023-01-27T03:18:41.480138Z,2023-01-27T03:18:41.480144Z,13.64
Fico se enfanga con lo del perdón social. Ya lo verán. Petro si ha estudiado el tema. #ElDebateDefinitivo,1528915471323521026,Si,Si,Confianza,,,,2023-01-27T03:18:25.349128Z,2023-01-27T03:18:25.349133Z,45.241
"#ElDebateDefinitivo ha sido de lejos el peor que se ha hecho, los moderadores no tienen nada de autoridad y no se entiende el orden en lo absoluto.   @RevistaSemana nada de seriedad, que horror.",1528911745108123650,Si,Si,Decepción,,,,2023-01-27T03:17:38.434238Z,2023-01-27T03:17:38.434243Z,18.754
"Me da miedo que el gamín de Fico le de un puño a Petro en la cara. Dios mío, es que lo tiene al lado. #ElDebateDefinitivo",1528907645544972288,Si,Si,Miedo,,,,2023-01-27T03:17:18.048171Z,2023-01-27T03:17:18.048175Z,7.761
#ElDebateDefinitivo fico es aguevado...creia que petro iba a caer en la trampa. Es obvio que tiene que extraditar jajajaj,1528908094675333124,Si,Si,Otra,sarcasmo,,,2023-01-27T03:17:07.954625Z,2023-01-27T03:17:07.954629Z,41.209
#ElDebateDefinitivo  ¿Ya están diciendo que el cafre Petro los peinó a todos?,1528903851981553666,Si,Si,Desagrado,,,,2023-01-27T03:16:25.218709Z,2023-01-27T03:16:25.218716Z,6.415
"Fajardo comienza el debate mostrando como las agresiones y señalamientos entre Fico y Petro generan una afectación a la población colombiana, afectación en la cual él no quiere participar #YoVotoPorFajardo  #ElDebateDefinitivo #DebateElTiempoSemana",1528905779373391872,Si,Si,Aceptación,,,,2023-01-27T02:28:06.179411Z,2023-01-27T02:28:06.179416Z,46.73
#ElDebateDefinitivo viendo a Fico sin una palabra significativa. #YoVotoPorFajardo por sus palabras sensatas y posturas claras. El único sin lugares comunes!,1528903235209150465,No,Si,Agrado,,,,2023-01-27T02:27:18.131633Z,2023-01-27T02:27:18.131639Z,37.967
"#ElDebateDefinitivo mi voto es por @FicoGutierrez. Jamás votaré por el que intento asesinar a mi padre, un guerrillero que sólo quiere el poder para perpetuarse. Ciegos los que piensan que @petrogustavo es el mesías.",1528898629708169217,Si,Si,"{""choices"": [""Miedo"", ""Odio""]}",,,,2023-01-27T02:26:38.694913Z,2023-01-27T02:26:38.694918Z,11.163
Para quienes han migrado de internet fijo de @Tigo_Colombia a @MovistarCo en Medellín en los últimos días/meses... ¿Qué tal les ha ido? #MeInquieta,1528806026643968002,No,,,,,,2023-01-27T02:26:26.270052Z,2023-01-27T02:26:26.270058Z,6.005
#MeInquieta que @AndresPastrana_ esté generando miedo e inquietud y... posible violencia el día de elecciones si no queda el candidato que cada uno quiere. Y @FiscaliaCol @PoliciaColombia @PGN_COL no dicen nada.  Estos últimos son corresponsables de lo que pueda pasar el donimgo,1528704766028697601,Si,Si,Miedo,,,,2023-01-27T02:26:18.972634Z,2023-01-27T02:26:18.972638Z,11.67
"#MeInquieta ver como en Colombia solo se recuerdan los campesinos en las regiones apartadas, cuando sucede algo que genera morbo violencia o tristeza.",1528679668345360385,Si,Si,Decepción,,,,2023-01-27T02:26:06.024046Z,2023-01-27T02:26:06.024055Z,13.601
"#FedericoEsColombia pero no será presidente, el país se mamo de estos falsos profetas paisas disfrazados de buena gente que tuvieron la oportunidad de dejar huella pero que solo han dejando desolación, hambre, pobreza y sangre por donde caminan",1528701830447960064,Si,Si,"{""choices"": [""Ira"", ""Odio""]}",,,,2023-01-27T02:25:50.917750Z,2023-01-27T02:25:50.917756Z,44.35
#FedericoEsColombia corrupta y llena de clanes,1528545198409662468,Si,Si,"{""choices"": [""Ira"", ""Asco""]}",,,,2023-01-27T02:25:05.170347Z,2023-01-27T02:25:05.170352Z,6.944
@darcyquinnr #UnTramposoEs los periodistas que tiene una posición imparcial y utiliza el periodismo para hacer propaganda política.,1528857198503284736,Si,Si,"{""choices"": [""Decepción"", ""Asco""]}",,,,2023-01-27T02:24:56.900860Z,2023-01-27T02:24:56.900866Z,10.12
#UnTramposoEs el uribismo en todas sus presentaciones,1528812189678972928,Si,Si,Asco,,,,2023-01-27T02:24:45.419587Z,2023-01-27T02:24:45.419592Z,5.138
"#UnTramposoEs el ExPresidiario con sus múltiples Cartas bajo la manga, por eso  #MiVotoEsPetroYFrancia Ojo con el Voto. https://t.co/U8VgRz8VuR",1528787526718201860,Si,Si,Asco,,,,2023-01-27T02:24:38.547610Z,2023-01-27T02:24:38.547615Z,880.88
#UnTramposoEs quien con noticias falsas se queire tomar el poder @darcyquinnr,1528695959907180547,Si,Si,"{""choices"": [""Asco"", ""Miedo""]}",,,,2023-01-27T02:09:55.402147Z,2023-01-27T02:09:55.402152Z,7.103
"@darcyquinnr #UnTramposoEs el que se vale de su posición como ""periodista"" para servir como lavaperros, terminan haciendo cochinadas con los socios del esposo mientras lo de ”periodista"" ni siquiera lo había terminado. Bandidos finalmente.",1528687395423629312,Si,Si,"{""choices"": [""Ira"", ""Asco""]}",,,,2023-01-27T02:09:47.006876Z,2023-01-27T02:09:47.006881Z,14.559
#UnTramposoEs el que inventa aplazar las elecciones para incendiar el País El pánico en la campaña del @PactoHistorico y @petrogustavo  es evidente Cortinas de humo pues #PetroNuncaSeráPresidente,1528688067267149824,Si,Si,"{""choices"": [""Ira"", ""Asco""]}",,,,2023-01-27T02:09:31.311653Z,2023-01-27T02:09:31.311658Z,30.14
"@emiliolagos1 #MiVotoEsPetroYFrancia Quiero llegar a los 1.000 seguidores. Estamos a puertas de un cambio histórico #ProgresistaSigueProgresista Devolveré el follow a cada uno, vamos a crecer en comunidad, así le hacemos frente a la desinformación entre todos.  ME AYUDAN!! 🔄",1528849330932695040,Si,Si,Expectativa,,,,2023-01-27T02:08:59.803145Z,2023-01-27T02:08:59.803150Z,31.226
Por que Colombia necesita cambio #MiVotoEsPetroYFrancia,1528584113933934593,Si,Si,Confianza,,,,2023-01-27T02:08:27.302412Z,2023-01-27T02:08:27.302417Z,21.484
Ya no quieroas de los mismo #MiVotoEsPetroYFrancia,1528557117858357249,Si,Si,Decepción,,,,2023-01-27T02:08:04.430289Z,2023-01-27T02:08:04.430298Z,11.756
#MiVotoEsPetroYFrancia y nadie lo puede negar,1528552249265467394,Si,Si,Confianza,,,,2023-01-27T02:07:51.208048Z,2023-01-27T02:07:51.208053Z,8.3
"Isssss @petrogustavo llamará a la ONU para que investigue la corrupción, se va a caer toda la estantería de la corrupción en Colombia. #MiVotoEsPetroYFrancia",1528543164067459072,Si,Si,"{""choices"": [""Expectativa"", ""Agrado""]}",,,,2023-01-27T02:07:41.601110Z,2023-01-27T02:07:41.601114Z,17.318
"Papi, Fiquito, en tu tierra somos muchos lo que no te comemos cuento. Antioquia no es de Uribe, Antioquia se respeta.   #MiVotoEsPetroYFrancia",1528511395746152449,Si,Si,Desagrado,,,,2023-01-27T02:07:22.755610Z,2023-01-27T02:07:22.755614Z,9.091
"AVANZA EL PLAN GOLPE A LA DEMOCRACIA, EL NARCOESTADO PARAMILITAR Y SU MAFIA CORRUPTA NO DESEAN PERDER EL PODER #MiVotoEsPetroYFrancia https://t.co/riWZi2IP4G",1528510805007900672,Si,Si,"{""choices"": [""Ira"", ""Miedo""]}",,,,2023-01-27T02:07:12.305692Z,2023-01-27T02:07:12.305697Z,19.673
"Hay que parar la guerra que desangra nuestra Nación y garantizar la materialización de los derechos fundamentales para todos los colombianos con el fin de vivir dignamente, vivir sabroso. #MiVotoEsPetroYFrancia",1528508445569306628,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,,2023-01-27T02:06:51.163922Z,2023-01-27T02:06:51.163926Z,83.455
Admiro mucho el trabajo y talento de @sergiobarbosach en la campaña de Petro. Gracias por hacer parte del cambio y estar del lado correcto de la historia. #MiVotoEsPetroYFrancia,1528501595012534273,Si,Si,Admiración,,,,2023-01-27T02:05:26.300542Z,2023-01-27T02:05:26.300547Z,10.912
"Los únicos que deben de tener miedo a un cambio de Gustavo Petro son los corruptos, narcotraFICO, paramilitares y los vividores del estado que perderán sus privilegios!! #MiVotoEsPetroYFrancia",1528497422695030786,Si,Si,Odio,,,,2023-01-27T02:05:14.102780Z,2023-01-27T02:05:14.102784Z,1199.28
"Por un cambio, por la esperanza de un mejor país, por la vida de líderes jóvenes y líderes sociales, #MiVotoEsPetroYFrancia",1528473443271835653,Si,Si,Confianza,,,,2023-01-27T01:45:13.342487Z,2023-01-27T01:45:13.342490Z,21.789
#LoPeorDeEstasElecciones que no vayan a los debates,1528379195545501696,Si,Si,Decepción,,,,2023-01-27T01:44:50.152954Z,2023-01-27T01:44:50.152957Z,6.951
"#LoPeorDeEstasElecciones la falta de ética del periodismo, todos haciendo campaña por Petro 🤥 o por Fico Trataron de invisibilizar al Profesor y la gente del común indignada, va a terminar eligiendo al ingeniero. Chupen de su cocinado medios mediocres de comunicación de Colombia",1528362842734436352,Si,Si,Asco,,,,2023-01-27T01:44:41.886524Z,2023-01-27T01:44:41.886526Z,37.799
"#FedericoEsColombia  ¡Gracias Medellin! 🙏🏻  Gracias por tanto apoyo, por ratificar  que Fico Gutiérrez es el cambio, pero el cambio para mejorar, para lograr que las regiones crezcan y sean centro de desarrollo.   #FicoUneAcolombia #FicoPresidente https://t.co/QMpqttqWXO",1528517416652873728,Si,Si,Alegria,,,,2023-01-27T01:44:02.810449Z,2023-01-27T01:44:02.810454Z,16.002
Patria Honor lealtad !!  #FedericoEsColombia,1528503220875714560,Si,Si,Agrado,,,,2023-01-27T01:43:45.621174Z,2023-01-27T01:43:45.621177Z,15.354
#FedericoEsColombia este 29 de Mayo salgamos todos a votar por la democracia y la libertad de colombia unidos por nuestro país #FedericoImparable #FedericoEsColombia #FicoPresidente2022,1528415123450343432,Si,Si,Confianza,,,,2023-01-27T01:43:29.115425Z,2023-01-27T01:43:29.115458Z,1327.403
"@RollingStoneCol @FranciaMarquezM Que va,  es la candidata  de Las Farc ,  del Eln.  Comunismo puro .   #FedericoEsColombia",1528401859635040256,Si,Si,"{""choices"": [""Miedo"", ""Odio""]}",,,,2023-01-27T01:21:19.669527Z,2023-01-27T01:21:19.669530Z,163.814
Fico va a hacer énfasis en la educación! Mi voto es por él este 29 de mayo #FedericoEsColombia https://t.co/uBK5QwhXx2,1528376868986044416,Si,Si,Confianza,,,,2023-01-27T01:18:34.297235Z,2023-01-27T01:18:34.297238Z,26.918
"#FedericoEsColombia Todos vamos a defender la democracia con FEDERICO.  Vota sí a la democracia, vota FEDERICO GUTIÉRREZ.",1528366244113547264,Si,Si,Confianza,,,,2023-01-27T01:18:06.095800Z,2023-01-27T01:18:06.095803Z,151.41
@Ximena62005874 Con FICO me identifico   Con LARA la tengo clara.  #FedericoEsColombia,1528363136348262403,Si,No,,,,,2023-01-27T01:15:33.301274Z,2023-01-27T01:15:33.301277Z,32.444
"Karma. Es un aviso. Pero es tan descarado el KKs que culpará de esto a las Black Eagles, al continuismo, la oligarquía, a Uribe.  Se le desmorona su campaña, levantada a punta de mentiras, fake news, promesas falsas e incumplibles.  #FedericoEsColombia  #PetroNuncaSeráPresidente https://t.co/JKPFmgaGwU",1528360303347515393,Si,Si,Asco,,,,2023-01-27T01:14:59.543696Z,2023-01-27T01:14:59.543699Z,39.025
