sentimento	created_at	emocion	annotator	lead_time	relevancia	updated_at	annotation_id	text	tweet_id	ironia	id
	2023-03-29T21:09:19.972913Z		1	104.196	No	2023-03-29T21:09:30.037839Z	518	#PetroPresidenteEnPrimera y dejo enlace de prueba gratis a mi página 🔥en un comentario !! 🇨🇴	1530969262088761347		4011
	2023-03-29T21:09:44.730346Z	No	1	8.549	Si	2023-03-29T21:09:44.730406Z	519	Gente, el cambio es ...   #PetroPresidenteEnPrimera	1530979188815060993		4012
Confianza	2023-03-29T21:09:55.342648Z	Si	1	9.958	Si	2023-03-29T21:09:55.342779Z	520	HOY empieza el verdadero cambio en Colombia! #PetroPresidenteEnPrimera  #ColombiaConPetro	1531007994091212801	No	4013
Miedo	2023-03-29T21:10:08.286658Z	Si	1	12.391	Si	2023-03-29T21:10:08.286715Z	521	¡Que nervios! A 30 minutos que se vaya la luz en todo el país, se apaguen las emisoras y amanezcamos con una contundente victoria de @FicoGutierrez   #EleccionesColombia  #Elecciones2022  #EleccionesColombia2022  #EleccionesPresidenciales   #PetroPresidenteEnPrimera	1531012834251145216	No	4014
Alegria	2023-03-29T21:10:33.273748Z	Si	1	24.58	Si	2023-03-29T21:10:33.273834Z	522	@FisicoImpuro @MonoGutierrezl Que emoción!! Vamos en el 5 boletín y ya se me aguán los ojos!! #PetroPresidenteEnPrimera ya tengo la botella de vino lista y a las 6pm voy a poner el Himno Nacional!!	1531026612631773185	No	4015
Confianza	2023-03-29T21:10:45.547073Z	Si	1	11.803	Si	2023-03-29T21:10:45.547131Z	523	Ya vamos cogiendo ventaja gracias a Dios. #PetroPresidenteEnPrimera	1531028825550749699	No	4016
{"choices": ["Ira", "Desagrado"]}	2023-03-29T21:11:13.648372Z	Si	1	27.472	Si	2023-03-29T21:11:13.648410Z	524	Hoy es el día, todos a cumplir nuestra obligación histórica por el país que queremos.  Sabemos que el narcotraFICO en pleno ha inundado de dinero, presiones y artimañas estas elecciones para continuar la matanza  Hoy digo NO MAS‼️  #PetroPresidente2022 #PetroPresidenteEnPrimera	1530904938410393600	No	4017
Ira	2023-03-29T21:11:33.424764Z	Si	1	19.411	Si	2023-03-29T21:11:33.424836Z	525	@VickyDavilaH Cuál hueco. En el que hemos estado durante 20 años! #PetroPresidente2022	1530904857447628800	No	4018
Confianza	2023-03-29T21:11:44.471135Z	Si	1	10.669	Si	2023-03-29T21:11:44.471243Z	526	Logré convencer a mi familia y a los amigos de mi hermana. Todos votamos #PetroPresidente2022  🫶🏼🫶🏼	1530973204638052352	No	4019
Confianza	2023-03-29T21:12:00.274222Z	Si	1	15.395	Si	2023-03-29T21:12:00.274296Z	527	Listo @petrogustavo, yo ya hice lo mío, ahora es tu turno de sacar adelante tu magnífico programa de gobierno con un extraordinario equipo de colaboradores y un pueblo que te apoya y espera de ti lo mejor, uniendo nuestro esfuerzo al tuyo. #PetroPresidente2022 #ColombiaConPetro	1530993760108175361	No	4020
Confianza	2023-03-29T21:12:06.485993Z	Si	1	5.798	Si	2023-03-29T21:12:06.486030Z	528	Que orgullo, mis hijos mi mamá mis 4 hermanos, mi cuñada y yo ya votamos todos por el cambio!! Vamos por Petro #PetroPresidente2022 #PetroPresidenteEnPrimera	1531004254902579200	No	4021
Alegria	2023-03-29T21:12:15.162211Z	Si	1	8.27	Si	2023-03-29T21:12:15.162249Z	529	Hoy me tocó ser jurado de votación, y en mi mesa ganó Petro con más de la mitad de los votantes 🥳 #PetroPresidente2022	1531032833829089280	No	4022
Miedo	2023-03-29T21:12:25.328696Z	Si	1	9.769	Si	2023-03-29T21:12:25.328742Z	530	No puede ser que el miedo y la ignorancia se impongan, ganaremos en segunda vuelta !!! #PetroPresidente2022	1531048643385597958	No	4023
Confianza	2023-03-29T21:12:39.951400Z	Si	1	14.164	Si	2023-03-29T21:12:39.951472Z	531	Qué dicha ese 40% pero viene lo teso y es volver a dar toda en segunda vuelta. Ahora sí es más claro que solo hay UNA fórmula que tiene un plan de gobierno razonable y ese es Gustavo Petro con Francia Márquez. #PetroPresidente2022	1531057669267759105	No	4024
Ira	2023-03-29T21:13:00.079078Z	Si	1	19.568	Si	2023-03-29T21:13:00.079138Z	532	Colombia está tan amañada con la corrupción que pasó a 2da vuelta @ingrodolfohdez quién deberá pagar 5 días de cárcel o una multa por desacato, un candidato condenado no debería presentarse a elecciones #PetroPresidente2022 #PetroYFranciaSonElCambio	1531058677704269824	No	4025
Agrado	2023-03-29T21:13:12.038111Z	Si	1	11.397	Si	2023-03-29T21:13:12.038155Z	533	De la resistencia al poder, que vengan los que nunca han sido.  @petrogustavo @FranciaMarquezM  #ElCambioEnPrimera	1530713426938535937	No	4026
Confianza	2023-03-29T21:13:20.371308Z	Si	1	7.946	Si	2023-03-29T21:13:20.371381Z	534	@FNAraujoR Gracias por sus deseos, por eso el pueblo apoya a Petro #ElCambioEnPrimera	1530726720533409792	No	4027
Alegria	2023-03-29T21:14:03.520257Z	Si	1	42.747	Si	2023-03-29T21:14:03.520296Z	535	Estoy orgulloso y ante las adversidades que muy pocos conocen voy a poder volver a andar más tranquilo en mi ciudad Cali. Más que pude hacer entender a 30 personas con argumentos y con hechos contundentes el votar por @petrogustavo #ElCambioEnPrimera	1530772862679896064	No	4028
{"choices": ["Ira", "Tristeza"]}	2023-03-29T21:14:24.407909Z	Si	1	20.513	Si	2023-03-29T21:14:24.407961Z	536	No se le teme al cambio cuando la normalidad es un estado continuo de sufrimiento, miseria, desigualdad y falta de oportunidades, no queremos volver a la normalidad.  #ElCambioEnPrimera	1530882466277376000	No	4029
{"choices": ["Ira", "Confianza"]}	2023-03-29T21:14:46.049853Z	Si	1	21.25	Si	2023-03-29T21:14:46.049899Z	537	para que ellos no tengan que vivir la crueldad de la guerra , para que tengan derecho a la vida , a la educación, al agua  y a la paz.  Hasta que la dignidad se vuelva costumbre!!!! 🥑🐝✊ #PetroPresidente #FranciaVicepresidenta #ElCambioEnPrimera #MiVotoEsSecretosky	1530889198324129792	No	4030
Desagrado	2023-03-29T21:14:56.046140Z	Si	1	9.591	Si	2023-03-29T21:14:56.046182Z	538	@lcvelez Que pobreza de creatividad publicitaria... Jajaja... Cómo se nota que su cargo no lo obtuvo por su nivel intelectual...Que desespero velez.. #ElCambioEnPrimera...	1530895325447208962	Si	4031
Decepción	2023-03-29T21:15:15.587686Z	Si	1	19.125	Si	2023-03-29T21:15:15.587734Z	539	Hoy necesito toda la paciencia del mundo para escuchar a mi familia hablando mal de Petro y hasta deseándole la muerte 🙄🙄🙄🙄 #ElCambioEnPrimera	1530934798583226369	No	4032
Alegria	2023-03-29T21:15:32.786895Z	Si	1	16.789	Si	2023-03-29T21:15:32.786939Z	540	Ya vote e identiFICO lo preocupado que están #ElCambioEnPrimera #MiVotoEsSecretosky	1530950237631676416	Si	4033
Desagrado	2023-03-29T21:15:46.941534Z	Si	1	13.744	Si	2023-03-29T21:15:46.941598Z	541	✊🏽🇨🇴 Petro VS el plan A, plan B y plan C de uribe #ElCambioEnPrimera #PetroPresidenteEnPrimera	1530949826292195328	No	4034
	2023-03-29T21:16:10.575582Z	No	1	23.248	Si	2023-03-29T21:16:10.575640Z	542	Si no ha salido a votar, hágalo rápidamente, no corra a última hora. #ElCambioEnPrimera	1530955356708524044		4035
Alegria	2023-03-29T21:16:32.175497Z	Si	1	21.204	Si	2023-03-29T21:16:32.175566Z	543	Que salgo de la casa y se larga a llover, pero eso no impedirá que salga a votar, #ElCambioEnPrimera	1530959274054193153	No	4036
Confianza	2023-03-29T21:16:45.649324Z	Si	1	13.089	Si	2023-03-29T21:16:45.649378Z	544	Ya ejercí mi derecho al voto y puede que me equivoque, como puede que no (espero que no) Pero hoy voté porque no quiero nada regalado. Solo quiero que todo lo que trabaje y todo el esfuerzo que haga sea suficiente para vivir sabroso en mi país. 🇨🇴💪 #ElCambioEnPrimera	1530969311480795138	No	4037
Confianza	2023-03-29T21:20:14.932121Z	Si	1	208.867	Si	2023-03-29T21:20:14.932189Z	545	Esto es por ti, por mi y por quienes ya no están.  #ElCambioEnPrimera #PetroPresidenteEnPrimera #FranciaMarquezVicepresidenta	1530979112382345218	No	4038
{"choices": ["Incertidumbre", "Confianza"]}	2023-03-29T21:20:32.075762Z	Si	1	16.751	Si	2023-03-29T21:20:32.075800Z	546	Sería muy chimba vivir en un país en el que no debemos sentir miedo por un posible fraude en elecciones. Pero eso lo vamos a cambiar hoy ✊🏼🔥 #ColombiaConPetro #ElCambioEnPrimera	1530997233365225474	No	4039
Incertidumbre	2023-03-29T21:20:44.516630Z	Si	1	12.066	Si	2023-03-29T21:20:44.516674Z	547	Seguimos siendo los mismo 8 millones, necesitamos crecer en segunda vuelta! 🙏 #ElCambioEnPrimera	1531043234264358912	No	4040
Ira	2023-03-29T21:21:08.184985Z	Si	1	23.271	Si	2023-03-29T21:21:08.185020Z	548	Para reconstruir nuestro espíritu: por décadas nos enseñaron a odiar lo público, los pobres, las oportunidades... ¡No más, como pueblo merecemos recuperar nuestra dignidad!  #GanaPetroGanaColombia #ElCambioEnPrimera #PetroPresidenteEnPrimeraVuelta #MiVotoEsSecretosky	1530748956904398849	No	4041
Alegria	2023-03-29T21:21:18.188710Z	Si	1	9.638	Si	2023-03-29T21:21:18.188755Z	549	Se llegó la hora vamos todos a tomar las banderas y a elegir a nuestro presidente #MiVotoEsSecretosky	1530889744539955201	No	4042
Alegria	2023-03-29T21:21:35.143893Z	Si	1	16.547	Si	2023-03-29T21:21:35.143932Z	550	Llegó el día. Hoy, el cambio es en primera. Hasta que la dignidad se haga costumbre✊  #MiVotoEsSecretosky	1530922281299582977	No	4043
Alegria	2023-03-29T21:21:43.169747Z	Si	1	7.64	Si	2023-03-29T21:21:43.169788Z	551	A bañarme pq está linda ciudadana tiene q ir a votar por el cambio de este país #MiVotoEsSecretosky	1530930548910301186	No	4044
{"choices": ["Desagrado", "Miedo"]}	2023-03-29T21:24:33.632676Z	Si	1	170.08	Si	2023-03-29T21:24:33.632720Z	552	#VotoPorFicoYLara Las Bodegas Petristas andan modo ataque de una forma descomunal, están asustados porque saben que Fico está arrasando en todo el país. FICO PRESIDENTE 🇨🇴🇨🇴 #FicoElGanador #FicoPresidente #FicoPresidenteEnPrimeraVuelta	1530945647578386432	No	4045
	2023-03-29T21:24:50.392128Z	No	1	16.344	Si	2023-03-29T21:24:50.392177Z	553	@Legarda77443474 Ojalá sea la misma gente que vota hoy mismo por #VotoPorFicoYLara	1530946068946554883		4046
	2023-03-29T21:24:57.607142Z	No	1	6.74	Si	2023-03-29T21:24:57.607191Z	554	#VotoPorFicoYLara porque con ellos me identiFICO y la tengo cLARA	1530951754128531457		4047
Confianza	2023-03-29T21:25:05.790322Z	Si	1	7.805	Si	2023-03-29T21:25:05.790362Z	555	Listo mi voto por los que van a ganar hoy!! Yo me identiFICO #VotoPorFicoYLara	1531006901475069954	No	4048
Ira	2023-03-29T21:25:25.706201Z	Si	1	19.515	Si	2023-03-29T21:25:25.706241Z	556	@diamaov Así es, EL GENOCIDA ESTA ENTERRADO!!! #PetroNuncaSeráPresidente una vez más los Uribistas pondremos Presidente. Todos menos Petro	1531051828414226432	No	4049
Decepción	2023-03-29T21:25:35.479243Z	Si	1	9.391	Si	2023-03-29T21:25:35.479316Z	557	@PaoHerreraC En serio, hubo más de 8 millones de ignorantes que votaron por Petro. #PetroNuncaSeraPresidente	1531053646821171206	No	4050
Confianza	2023-03-29T21:25:55.023121Z	Si	1	19.15	Si	2023-03-29T21:25:55.023161Z	558	Logré convencer a 3 familiares y 4 amigos más para votar por Petroo 💜💚✊🔥 llamen a sus amigos y familia! Hagamos la tareaa #ColombiaConPetro   #YoVotoPetroPresidente	1530886469916696577	No	4051
	2023-03-29T21:26:07.316053Z	No	1	11.902	Si	2023-03-29T21:26:07.316094Z	559	VOTE ᵖᵉᵗʳᵒ POR ᵖᵉᵗʳᵒ QUIENᵖᵉᵗʳᵒ QUIERA ᵖᵉᵗʳᵒ  🤓   #ColombiaConPetro	1530897991975981056		4052
{"choices": ["Decepción", "Confianza"]}	2023-03-29T21:26:31.998373Z	Si	1	24.3	Si	2023-03-29T21:26:31.998418Z	560	#ColombiaConPetro Colombia entera Hoy se va a liberar de la narcohegemonia Colombia ya no se conocerá como el país de Pablo Escobar como el mayor productor de cocaína del mundo se conocerá como la mayor productora de Amor,Paz y vida de América Latina y del MUNDO #ColombiaConPetro	1530903606307835904	No	4053
{"choices": ["Ira", "Confianza"]}	2023-03-29T21:26:47.196643Z	Si	1	14.804	Si	2023-03-29T21:26:47.196679Z	561	Hoy Colombia 🇨🇴 por fin puede ganar unas elecciones, las veces pasadas las han ganado unas ratas que tienen en la miseria a millones de compatriotas, pensemos en todos los que habitan este territorio!! #ColombiaConPetro	1530914916458184705	No	4054
Confianza	2023-03-29T21:26:56.875642Z	Si	1	9.293	Si	2023-03-29T21:26:56.875698Z	562	Me estoy a listando para poder ir a votar . (Primera vez)... Vamos colombianos por la patria. #ColombiaConPetro	1530928813651140608	No	4055
Confianza	2023-03-29T21:27:45.175543Z	Si	1	47.904	Si	2023-03-29T21:27:45.175583Z	563	#MiVotoEsSecretosky  Te amo Colombia 🇨🇴 y por eso voy a votar Por #PetroPresidenteEnPrimera #ColombiaConPetro	1530945802377564163	No	4056
Alegria	2023-03-29T21:27:58.658643Z	Si	1	13.119	Si	2023-03-29T21:27:58.658683Z	564	Soy paisa, y que orgullo me dio ver tanta juventud, todos con ganas de cambio, no lo pronunciaban, pero sus ojos lo gritaban!!  #ColombiaConPetro	1530957114788696064	No	4057
Confianza	2023-03-29T21:28:08.160732Z	Si	1	9.089	Si	2023-03-29T21:28:08.160773Z	565	Cumplido el deber,  Voté !!  La cita con la democracia se cumplió! #ColombiaConPetro	1530977972009803776	No	4058
Confianza	2023-03-29T21:28:18.871938Z	Si	1	10.316	Si	2023-03-29T21:28:18.871983Z	566	Deber cumplido Por el cambio en primera  #GustavoPetro espero este sea el comienzo de nuevas oportunidades para los Jóvenes de combatir la corrupción. #ColombiaConPetro  #YoVotoPetroPresidente  #CambioEnPrimera  #Secretosky	1530979451969871874	No	4059
Asco	2023-03-29T21:28:29.425227Z	Si	1	10.169	Si	2023-03-29T21:28:29.425303Z	567	#ColombiaConPetro Para que se vaya la gorda asquerosa de Marbelle.	1530987130100625409	No	4060
Decepción	2023-03-29T21:28:49.049424Z	Si	1	19.224	Si	2023-03-29T21:28:49.049510Z	568	#ColombiaConPetro Mientras Duque necesita una alfombra roja y un montón de protocolos para ir a votar por Fico, Petro sale fresco a la calle como cualquier ciudadano. Recordemos que se suponía que el gobierno de Duque sería austero, ahí la austeridad.	1530997302856384513	No	4061
Asco	2023-03-29T21:29:00.621251Z	Si	1	11.181	Si	2023-03-29T21:29:00.621337Z	569	Desde muy temprano apoyando a Marbelle en su sueño de irse del país. 😌😌 #ColombiaConPetro #PetroPresidenteEnPrimera	1531001063435816960	Si	4062
	2023-03-29T21:29:07.938886Z	No	1	6.91	Si	2023-03-29T21:29:07.938929Z	570	#ColombiaConPetro, PETRO Y FRANCIA ME REPRESENTAN.	1531007722786783234		4063
Incertidumbre	2023-03-29T21:29:19.994523Z	Si	1	11.681	Si	2023-03-29T21:29:19.994562Z	571	Apenas se cerraron las votaciones, y la verdad, es que no recuerdo tener esta sensación de incertidumbre ante los resultados de una elección. Solo confío en que @petrogustavo ganará ampliamente y deseo que no haya una 2ª vuelta. #ColombiaConPetro #YoVotoPetroPresidente	1531018219875622912	No	4064
Incertidumbre	2023-03-29T21:29:27.519849Z	Si	1	7.141	Si	2023-03-29T21:29:27.519903Z	572	#ColombiaConPetro ya va de primero Petro #alejoygioelecciones me estoy comiendo las uñas	1531024736309977093	No	4065
Alegria	2023-03-29T21:29:50.507692Z	Si	1	22.58	Si	2023-03-29T21:29:50.507734Z	573	#ColombiaConPetro que paso con los de fico que ya están de terceros en votaciones y por Twitter como que ya tampoco aparecen 🤣🥺	1531029105700913153	Si	4066
Desagrado	2023-03-29T21:30:22.757363Z	Si	1	31.855	Si	2023-03-29T21:30:22.757410Z	574	Entender que un voto transciende tu "representatividad INDIVIDUAL" y que se trata de un asunto de país, de la vida de 50 millones de personas es entender que votar en blanco es un acto egoísta. #ColombiaDecide	1530710647834660864	No	4067
Sorpresa	2023-03-29T21:30:34.208701Z	Si	1	11.048	Si	2023-03-29T21:30:34.208736Z	575	#ColombiaDecide 10 años en Australia y nunca había visto tanta gente votando.	1530763570446991361	No	4068
	2023-03-29T21:30:49.346669Z	No	1	14.767	Si	2023-03-29T21:30:49.346709Z	576	Hay 6402 personas que hoy no podría ejercer su derecho al voto, así que, usted que si puede tome una buena decisión. #ColombiaDecide  #ColombiaElige  #ColombiaVota2022	1530886629573165059		4069
Incertidumbre	2023-03-29T21:31:03.463616Z	Si	1	13.712	Si	2023-03-29T21:31:03.463661Z	577	Llegó el día de votar, voten que está en juego el futuro del país 🇨🇴 #ColombiaDecide	1530909023926616064	No	4070
{"choices": ["Desagrado", "Incertidumbre"]}	2023-03-29T21:31:29.005064Z	Si	1	25.128	Si	2023-03-29T21:31:29.005118Z	578	Todos los ciudadanos deben garantizar la transparencia electoral. En Marymount, fue descubierta una persona con tarjetones marcados por el Pacto Histórico!!!! TODOS PENDIENTES 👀👀👀👀👀 #ColombiaDecide	1530940421064499204	No	4071
{"choices": ["Desagrado", "Miedo"]}	2023-03-29T21:31:41.011603Z	Si	1	11.624	Si	2023-03-29T21:31:41.011644Z	579	#Colombia Nunca olvides q @petrogustavo  fue asesor de Chávez quien llevó a la ruina a Venezuela  Dios los bendiga y no caigan en brazos de la miseria y muerte q es el socialismo  #ColombiaDecide  #EleccionesColombia2022  #ColombiaVota	1530951425987325952	No	4072
{"choices": ["Ira", "Desagrado"]}	2023-03-29T21:31:53.046821Z	Si	1	11.643	Si	2023-03-29T21:31:53.046859Z	580	Muchos analistas políticos de Colombia, no aceptan que Petro sea el próximo presidente.   #ColombiaDecide	1530951317736374273	No	4073
Confianza	2023-03-29T21:32:21.497856Z	Si	1	28.006	Si	2023-03-29T21:32:21.497893Z	581	Señores de #Barranquilla el sol no derrite, necesitamos que salgan de manera masiva y demuestren en las urnas el acompañamiento que vi hacia @petrogustavo  #ColombiaDecide #PetroPresidenteEnPrimera	1530957375364120579	No	4074
	2023-03-29T21:32:32.668296Z	No	1	10.747	Si	2023-03-29T21:32:32.668359Z	582	Los que salgan a votar, salgan ya, por lo menos en el puesto d Niza, localidad Suba, hay filas larguísimas!!! #ColombiaDecide	1530959855967776771		4075
Alegria	2023-03-29T21:32:42.736979Z	Si	1	9.678	Si	2023-03-29T21:32:42.737026Z	583	¡Esta es mi primera vez votando en elecciones presidencialeeeees, AHHHHHHH! #ColombiaVota2022 #ColombiaDecide	1530994544887705600	No	4076
Confianza	2023-03-29T21:32:53.057356Z	Si	1	9.938	Si	2023-03-29T21:32:53.057394Z	584	A votar por Colombia, por la paz y la justicia social, #ColombiaDecide	1530997162196205569	No	4077
{"choices": ["Ira", "Asco"]}	2023-03-29T21:33:12.536039Z	Si	1	19.064	Si	2023-03-29T21:33:12.536125Z	585	Primer reporte y va ganando maleFICO, hijueputa, hijueputa y mil veces HIJUEPUTA #votacionescolombia2022 #ColombiaDecide #Colombia	1531021794576146433	No	4078
Asco	2023-03-29T21:33:24.119861Z	Si	1	11.025	Si	2023-03-29T21:33:24.119959Z	586	Ya se puede decir que sacaron a Fico de la 2 vuelta? #ColombiaDecide	1531028318975295488	Si	4079
Alegria	2023-03-29T21:33:33.992915Z	Si	1	9.307	Si	2023-03-29T21:33:33.992969Z	587	Lo que realmente me emociona es, que Marbelle esta más cerca de irse del país 🤩  #EleccionesColombia #alejoygioelecciones #ColombiaDecide #Elecciones2022 es	1531039476360806402	Si	4080
{"choices": ["Desagrado", "Miedo"]}	2023-03-29T21:33:57.785019Z	Si	1	23.402	Si	2023-03-29T21:33:57.785074Z	588	Lo que hizo fue tener 2 opciones y mientras atacaban al de derecha, Rodolfo Hernandez calladito fue llegando. Lo ha hecho otra vez el uribismo no ha muerto. Puede que hoy no tengan un candidato abiertamente uribista pero solo Petro puede enterrarlos. #ColombiaDecide	1531039918612434946	No	4081
Decepción	2023-03-29T21:34:03.554602Z	Si	1	5.372	Si	2023-03-29T21:34:03.554687Z	589	Me declaro en tusa electoral 😔 #ColombiaDecide	1531045157231017984	No	4082
	2023-03-29T21:34:12.676778Z	No	1	8.707	Si	2023-03-29T21:34:12.676913Z	590	Quién votó por Ingrid y Luis Pérez ombeeeee #EleccionesColombia2022 #ColombiaDecide	1531045846321618948		4083
Tristeza	2023-03-29T21:34:21.526442Z	Si	1	8.47	Si	2023-03-29T21:34:21.526484Z	591	Q tristeza los q llevaron a Rodolfo. Segunda vuelta q pueblo tan ignorante #ASegundaPasan #ColombiaDecide	1531051155341680642	No	4084
	2023-03-29T21:34:36.752784Z	No	1	14.811	Si	2023-03-29T21:34:36.752866Z	592	Una vez más el electorado en América Latina se pronuncia en las comicios #ColombiaDecide:castigo a los partidos tradicionales especialmente los de centro,los propios políticos critican a los políticos como recurso de campaña y,se polariza la segunda vuelta con #Hernández y #Petro	1531053942473474049		4085
Desagrado	2023-03-29T21:34:47.070708Z	Si	1	9.917	Si	2023-03-29T21:34:47.070752Z	593	#ColombiaDecide que se le note lo Petrista a @juanrobertovarg jajajajjaja	1531055327298347011	Si	4086
Miedo	2023-03-29T21:35:15.395158Z	Si	1	27.904	Si	2023-03-29T21:35:15.395208Z	594	@JulietaUribeMar @AvilaJoul @luispradaq @CholoValderrama Claro, fue una valiente prócer q murio por la libertad, pero eso pertenece a otra situacion histórica.    Hoy nos jugamos una estabilidad economica, un fragil equilibrio entre progresar o un estancamiento que traiga hambre a nuestras casas!  #HoyGana la union! #PetroEsUnPeligro	1530936148821958659	No	4087
Alegria	2023-03-29T21:35:27.996377Z	Si	1	12.217	Si	2023-03-29T21:35:27.996414Z	595	#hoygana las madres de soacha, los soñadores, los trabajadores, hoy gana colombia	1531014742743072769	No	4088
{"choices": ["Ira", "Desagrado"]}	2023-03-29T21:35:49.050002Z	Si	1	20.647	Si	2023-03-29T21:35:49.050054Z	596	@vanedelatorre @CastilloMarelen Habla de su orgullo por la representación de la mujer, pero de @FranciaMarquezM ni una mención hace. acaso ella no merece más mérito por su trabajo y tenacidad real #hoyganapetro #HoyGana #EleccionesColombia2022 #FranciaMarquezVicepresidenta	1531051774207004673	No	4089
{"choices": ["Ira", "Desagrado"]}	2023-03-29T21:36:04.443152Z	Si	1	14.977	Si	2023-03-29T21:36:04.443421Z	597	@ser_irreverente Estamos igual #PetroYFranciaSonElCambio  no podemos dejar que la mafia nos gobierne más	1530858754832572416	No	4090
Decepción	2023-03-29T21:36:26.193392Z	Si	1	21.324	Si	2023-03-29T21:36:26.193451Z	598	Muchas personas se inscribieron para ser testigos electorales, hoy llegamos pocos y estamos escasos para cubrir el escrutinio, falta más compromiso de la gente. #ElCambioEnPrimera #PetroPresidenteEnPrimera #PetroYFranciaSonElCambio, el cambio también nos toca hacerlo a nosotros.	1530970424217059329	No	4091
Tristeza	2023-03-29T21:36:33.706530Z	Si	1	7.115	Si	2023-03-29T21:36:33.706566Z	599	Esto me está doliendo más que cuando mi ex me puso los cuernos 😥😭💔 #PetroYFranciaSonElCambio	1531044072432992256	No	4092
Asco	2023-03-29T21:36:50.926410Z	Si	1	16.818	Si	2023-03-29T21:36:50.926449Z	600	@intiasprilla Y #PetroNuncaSeraPresidente indultado, empuño armas, tiene manchadas las manos de sangre, Uribe no es candidato chirrete.	1530873903928729600	No	4093
