text,tweet_id,relevancia,emocion,sentimento,annotator,annotation_id,created_at,updated_at,lead_time,answer
"#ElMejorCandidatoEs el que le apuesta por la paz, la justicia social y un gobierno para todos.",1529768426037821443,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-02-01T02:33:43.827223Z,2023-02-01T02:33:43.827227Z,11.429,
"#MiVotoEsPorFICO  #SantandereanosConFICO porq conectará el campo triplicando la inversión en vías terciarias para que nuestros campesinos puedan sacar sus productos a los mercados #FicoElGanador Nuevo simulador de votación,eligiendo a @FicoGutierrez 📲🗳️🇨🇴 https://t.co/jAa3MQv9Iy https://t.co/rLlb9TsFLJ https://t.co/vPBR3MbJKE",1529933656093081636,Si,Si,Confianza,,,2023-02-01T02:33:22.764852Z,2023-02-01T02:33:22.764855Z,9.147,
"#FicoElGanador ""El éxito no es definitivo, el fracaso no es fatídico. Lo que cuenta es el valor para continuar"".  Winston Churchill  @FicoGutierrez el Presidente de la Gente... https://t.co/Kb1BeY7gtH",1529918294223900693,Si,Si,Confianza,,,2023-02-01T02:33:06.203015Z,2023-02-01T02:33:06.203019Z,10.074,
#FicoElGanador y con el gana Colombia.,1529850058417618946,Si,Si,Confianza,,,2023-02-01T02:32:50.355583Z,2023-02-01T02:32:50.355586Z,6.39,
"Además, crear más y mejores vías que brinden garantías al campo Colombiano, que den mayor alcance a los productos que allí son producidos. #FicoElGanador @PartidoMIRA https://t.co/NjWcpGQRYw",1529806709652340736,Si,Si,Confianza,,,2023-02-01T02:32:38.178701Z,2023-02-01T02:32:38.178705Z,76.167,
@FicoGutierrez @Rodrigo_LaraS le apuestan a:  📍 Créditos blandos para campesinos 📍 Incremento en vías terciarías 📍 Fortalecimiento de la industria nacional de insumos y fertilizante. 📍 Apoyo económico a las empresas #FicoElGanador @PartidoMIRA https://t.co/EupN1Kz04x,1529802418598334465,Si,Si,"{""choices"": [""Admiración"", ""Confianza""]}",,,2023-02-01T02:31:15.847200Z,2023-02-01T02:31:15.847203Z,14.466,
Ya convencí  a 10 personas #ConvenceUnoMásPorPetro,1529573334907768832,Si,Si,Confianza,,,2023-02-01T02:30:55.720918Z,2023-02-01T02:30:55.720921Z,15.857,
#VanessaPregunteleAFico quién era el secretario de seguridad de Medellín...y porqué dice que no está condenado... https://t.co/tPdPVabgDf,1529555382594682882,Si,No,,,,2023-02-01T02:30:35.858633Z,2023-02-01T02:30:35.858637Z,11.613,
"@RICHENAO @Rodrigo3edu @petrogustavo #NoEsCapazDeGobernarLaNación el eterno mitómano que jamás será presidente de los Colombianos.  #FicoPresidente2022  #ElDebateDefinitivo  Si Petro tuviese palabra hace tiempo hubiera dejado la política, porque es el N`1 ofreciéndose el desistimiento pero jamás cumple",1529454820427501568,Si,Si,Asco,,,2023-02-01T02:30:22.304816Z,2023-02-01T02:30:22.304820Z,22.417,
@RICHENAO De hecho solo lo harían unas pocas familias a las que ud les lame el culo.  #ElDebateDefinitivo  #ElCambioEnPrimera.,1529351840772546565,No,,,,,2023-02-01T02:29:58.033361Z,2023-02-01T02:29:58.033365Z,33.723,
"Quiero enviar un saludo a todos los ciclistas del país, que sigan haciendo deporte y que por favor sean prudentes a la hora de manejar por las vias de Colombia.  Lo digo porque Egan Bernal se dio un golpe muy fuerte en la cabeza y aún no se recupera.  #YaEsSuficiente",1529602483055640577,No,,,,,2023-02-01T02:29:22.881719Z,2023-02-01T02:29:22.881724Z,5.866,
Será que esos #pseudoPeriodistas que están tan pendientes de @QuinteroCalle no se pronuncian rechazando lo que le hacen algunos padres de Colegio Alemán a su familia? @lafm 🧐   #YaEsSuficiente,1529557684554452992,Si,No,,,,2023-02-01T02:29:12.080749Z,2023-02-01T02:29:12.080752Z,19.594,
"#YaEsSuficiente ya es suficiente de @petrogustavo , espero que perdiendo estas elecciones nos deje en paz a los colombianos con su proyecto fracasado comunista. Ya mk ya por favor 🙏🏻",1529466881609957378,Si,Si,"{""choices"": [""Desagrado"", ""Odio""]}",,,2023-02-01T02:28:47.092241Z,2023-02-01T02:28:47.092244Z,21.863,
"#YaEsSuficiente de campañas sucias, con engaños, insultos, calumnias.",1529419200221138944,Si,Si,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-01T02:28:21.544203Z,2023-02-01T02:28:21.544207Z,19.683,
#VotoPor Sergio Fajardo. Un presidente decente y que no divida es lo que necesita Colombia,1529613037866459136,Si,Si,Admiración,,,2023-02-01T02:27:57.815796Z,2023-02-01T02:27:57.815800Z,8.16,
"#VotoPor #RodolfoHernandez hombre sabio, sagaz y visionario que transformará el país en potencia mundial, del atraso a ejemplo de desarrollo y crecimiento económico  #RodolfoPresidente  A los haters les digo, #RodolfoPresidente y si van a decir algo con argumentos no inventos",1529572795633414144,Si,Si,Admiración,,,2023-02-01T02:27:47.415666Z,2023-02-01T02:27:47.415669Z,10.575,
#VotoPor quien respete y promueva la Libertad Religiosa,1529443152259694592,Si,No,,,,2023-02-01T02:27:35.124276Z,2023-02-01T02:27:35.124279Z,6.768,
#VotoPor el único candidato REAL de estas elecciones. @petrogustavo ❤️,1529442514637299712,Si,Si,Admiración,,,2023-02-01T02:27:24.476890Z,2023-02-01T02:27:24.476894Z,8.826,
"#VotoPor @petrogustavo este 29 de mayo, y sus contendores sucios NO PODRAN CON NOSOTROS, SOMOS UNA NACIÓN VIVA QUE YA NO CREE EN MIEDOS https://t.co/2fQZrUL0r0",1529432551286349824,Si,Si,"{""choices"": [""Expectativa"", ""Asco"", ""Confianza""]}",,,2023-02-01T02:27:09.118778Z,2023-02-01T02:27:09.118782Z,37.977,
"#VotoPor un ingeniero jóven, decente, sin procesos por corrupción, que une y sabe administrar. #FicoUneAColombia",1529410737231351808,Si,Si,"{""choices"": [""Admiración"", ""Confianza""]}",,,2023-02-01T02:26:29.405822Z,2023-02-01T02:26:29.405826Z,9.384,
#GrandezaEs que Uribe se retire de la vida política y pública.,1529174627972521987,Si,Si,Desagrado,,,2023-02-01T02:26:17.818009Z,2023-02-01T02:26:17.818012Z,19.267,
"#LeApuestoA las instituciones. Nunca he creído en el mesianismo. #LeApuestoA al debate y pensamiento crítico para construir en la diferencia, sin mojigatería, ni límites absurdos sobre el deber ser.",1529097150923214849,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-02-01T02:25:40.750108Z,2023-02-01T02:25:40.750111Z,175.802,
@darcyquinnr #LeApuestoA Dios a la fe a la esperanza a la vida a la coherencia,1529060822269448194,Si,Si,"{""choices"": [""Calma"", ""Confianza""]}",,,2023-02-01T02:22:39.328480Z,2023-02-01T02:22:39.328505Z,50.284,
#AColombiaLePreocupa la propuesta de pensiones de Petro. Ayer en #ElDebateDefinitivo quedó nuevamente confirmado que si piensa usar la ahorros de millones para gastárselo en sus promesas de campaña.,1529119564503691264,Si,Si,Incertidumbre,,,2023-02-01T02:21:45.058379Z,2023-02-01T02:21:45.058382Z,13.727,
#AColombiaLePreocupa que después de una pandemia salimos llenos de rencor,1529096515356176385,Si,Si,Incertidumbre,,,2023-02-01T02:21:30.069742Z,2023-02-01T02:21:30.069745Z,12.738,
"#AColombiaLePreocupa el abandono de las regiones! Fortalecer la seguridad alimentaria, salud, educación, vivienda, vías decentes el fortalecimiento del agro en su conjunto!",1529089553923026946,Si,Si,Expectativa,,,2023-02-01T02:21:15.883412Z,2023-02-01T02:21:15.883415Z,33.525,
"#AColombiaLePreocupa Cómo los 4000 ricos del país, Van a seguir evadiendo Impuestos e invertir en Publicidad con Desprestigiar la Economía q propone @petrogustavo para Ahora si Pagar lo que Pagamos Todos, Ayudando a Pagar la deuda con la q se hacen Ricos, Y decir Como q Dividir? https://t.co/y3OyH5lvZM",1529081340926345216,Si,No,,,,2023-02-01T02:20:40.801252Z,2023-02-01T02:20:40.801255Z,16.789,
La Silicon Valley Latinoamericana aún no tiene software para las votaciones. #AColombiaLePreocupa,1529070396087185409,Si,Si,Incertidumbre,,,2023-02-01T02:20:22.008051Z,2023-02-01T02:20:22.008054Z,15.328,
Es claro quien es el presidente y quienes van a quedar rabones ! Petro los peinó tranquilo !  #ElDebateDefinitivo,1529144849441644545,Si,Si,Admiración,,,2023-02-01T02:20:05.051592Z,2023-02-01T02:20:05.051595Z,11.787,
#ElDebateDefinitivo ya empezaron los que “no dividen ni atacan” JAJAJAJAJAJAJ igual nada quita que #PetroGanaDebate https://t.co/yEIqmdKnK0,1528949742968967168,Si,No,,,,2023-02-01T02:19:51.332649Z,2023-02-01T02:19:51.332652Z,6.698,
"Petro entiende muy bien que Fico tiene más votos que él, no hizo más que coquetear con Fajardo que lo ha rechazado una y otra vez. Si hubiera ido Rodolfo le chupa trompa.  #ElDebateDefinitivo",1528946887629451265,Si,No,,,,2023-02-01T02:19:42.705672Z,2023-02-01T02:19:42.705676Z,38.844,
Dos almas heridas de orgullos quedaron muy lastimadas después que Petro expuso un sólido y robusto plan de gobierno. DIOS LO BENDIGA   #PetroPresidenteEnPrimera #ElDebateDefinitivo,1528948234051280896,Si,Si,"{""choices"": [""Admiración"", ""Confianza""]}",,,2023-02-01T02:19:01.995987Z,2023-02-01T02:19:01.995990Z,11.273,
#ElDebateDefinitivo…¿por qué no fue John Mitón?,1528945271186591744,Si,No,,,,2023-02-01T02:18:49.352812Z,2023-02-01T02:18:49.352816Z,6.955,
"Vicky: Fico que piensa cuando ve la campaña de ""NarcotraFICO"" Fico: Es culpa de Petro  Petro Be like  #ElDebateDefinitivo https://t.co/BPr4Y9eH3E",1528938152810930176,Si,No,,,,2023-02-01T02:18:40.988082Z,2023-02-01T02:18:40.988085Z,61.417,
Fajardo responda algo: YO Federico: cuando yo fui alcalde #ElDebateDefinitivo,1528938148822241280,Si,No,,,,2023-02-01T02:17:37.023364Z,2023-02-01T02:17:37.023367Z,12.191,
"Fajardo tiene la misma propuesta de petro en pensiones, y ni el mismo lo sabe. Petro se lo tuvo que explicar. #ElDebateDefinitivo",1528936500745973760,Si,Si,"{""choices"": [""Decepción"", ""Sorpresa""]}",,,2023-02-01T02:17:22.831583Z,2023-02-01T02:17:22.831586Z,21.083,
"@petrogustavo R/ (Piedad y Roy) Los dos primeros son parlamentarios elegidos, son y serán senadores. Fajardo: ¿Roy Barreras es parlamentario elegido? ¿Fajardo dónde vive 🤣? #ElDebateDefinitivo",1528937621501661184,Si,No,,,,2023-02-01T02:16:36.681183Z,2023-02-01T02:16:36.681187Z,25.265,"No me queda claro de nuevo en estas ""burlas"""
Será que los petristas sí entenderán lo que significa una buena peinada?   #ElDebateDefinitivo https://t.co/i73z9ISb0P,1528934962463907842,Si,No,,,,2023-02-01T02:13:36.023419Z,2023-02-01T02:13:36.023423Z,11.482,
Y a este mk quien lo invito? #ElDebateDefinitivo,1528932196949663745,Si,Si,"{""choices"": [""Asco"", ""Desagrado"", ""Odio""]}",,,2023-02-01T02:13:21.710839Z,2023-02-01T02:13:21.710843Z,802.782,
Fico en el medio cuando Petro y Fajardo se encendieron por el tema de la financiacion de las pensiones  #ElDebateDefinitivo https://t.co/h3Syap7obf,1528931365177147392,Si,No,,,,2023-02-01T01:59:54.655906Z,2023-02-01T01:59:54.655911Z,15.131,
"Fico acaba de demostrar que no sirve ni para hacer una pregunta, le dan la oportunidad de hacerle una pregunta a Fajardo y va y le pregunta por el tema que se ha pasado hablando durante todo el debate.. #ElDebateDefinitivo",1528929360719355904,Si,Si,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-01T01:59:36.281836Z,2023-02-01T01:59:36.281838Z,36.452,
"#ElDebateDefinitivo Cómo es que a uno le preguntan si Ajiaco o bandeja paisa, pero si es muy difícil esa entonces que escoja entre Bogotá y Medellín jajaja pero al otro candidato si se le encara con que si pondrá o no impuestos a las Iglesias.",1528924229692956673,Si,No,,,,2023-02-01T01:58:58.073578Z,2023-02-01T01:58:58.073581Z,214.929,
"#ElDebateDefinitivo le falta a Federico Gutiérrez decir que ""vamos a vivir sabroso"" y ya se termina de robar todo el discurso de Petro.  Consejo. Si alguien se le roba la idea al otro. No vayan por el que se roba la idea, vayan por el que es el original.",1528921475553669128,Si,Si,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-01T01:55:20.817659Z,2023-02-01T01:55:20.817663Z,30.862,
Lo mejor de #ElDebateDefinitivo es mi cuñado pensando que el moderador era Rodolfo.,1528921538090655744,Si,No,,,,2023-02-01T01:54:48.000578Z,2023-02-01T01:54:48.000582Z,8.646,
"Federico: bueno dos cosas • Cuando fui alcalde de Medellín • Los consejos que mi papá me daba  Fin, gracias por su atención que gran debate   #ElDebateDefinitivo",1528919115775238144,Si,Si,Desagrado,,,2023-02-01T01:54:36.996645Z,2023-02-01T01:54:36.996649Z,16.875,
"No hay nada definido, votemos con libertad por la persona que tiene las mejores propuestas, con @sergio_fajardo   Colombia cambiará, no dejarse llevar por las encuestas, a votar el domingo #ElDebateDefinitivo #YoVotoPorFajardo por la colombia que queremos!!!!! https://t.co/cCFQPRpRtQ",1528917531565731840,Si,Si,"{""choices"": [""Admiración"", ""Confianza""]}",,,2023-02-01T01:54:01.331283Z,2023-02-01T01:54:01.331286Z,13.388,
"Fico y su micrófono escondido en su sede de campaña, hmmmmmya jajajaja  #ElDebateDefinitivo",1528914947845021696,Si,No,,,,2023-02-01T01:53:45.433252Z,2023-02-01T01:53:45.433255Z,23.182,Dejo acá comentario: qué hacemos con las burlas?
"#DebateElTiempoSemana  @sergio_fajardo tiene toda la razón cuando dice :” yo no inspiro nada”, sus posturas siguen siendo respuestas que buscan no molestar a nadie y mostrarse éticamente correcto, pero son eso, nada  #ElDebateDefinitivo  #Colombia",1528915145300353025,Si,Si,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-01T01:53:19.174893Z,2023-02-01T01:53:19.174898Z,25.004,
"#EldebateDefinitivo en Chile no ha pasado nada...antes se aumento el salario mínimo en %mas alto de la historia,la gente va a votar por una nueva Constitución, Boric fue elegido dentro de los 100 más influyentes del mundo en Forbes",1528915216079065088,Si,No,,,,2023-02-01T01:52:52.490950Z,2023-02-01T01:52:52.490954Z,18.082,
Fico se enfanga con lo del perdón social. Ya lo verán. Petro si ha estudiado el tema. #ElDebateDefinitivo,1528915471323521026,Si,No,,,,2023-02-01T01:52:32.695322Z,2023-02-01T01:52:32.695327Z,11.722,
"#ElDebateDefinitivo ha sido de lejos el peor que se ha hecho, los moderadores no tienen nada de autoridad y no se entiende el orden en lo absoluto.   @RevistaSemana nada de seriedad, que horror.",1528911745108123650,Si,Si,Decepción,,,2023-02-01T01:52:18.692291Z,2023-02-01T01:52:18.692295Z,13.278,
"Me da miedo que el gamín de Fico le de un puño a Petro en la cara. Dios mío, es que lo tiene al lado. #ElDebateDefinitivo",1528907645544972288,Si,No,,,,2023-02-01T01:52:03.177222Z,2023-02-01T01:52:03.177225Z,12.49,
#ElDebateDefinitivo fico es aguevado...creia que petro iba a caer en la trampa. Es obvio que tiene que extraditar jajajaj,1528908094675333124,Si,Si,Desagrado,,,2023-02-01T01:51:48.776164Z,2023-02-01T01:51:48.776168Z,51.241,
#ElDebateDefinitivo  ¿Ya están diciendo que el cafre Petro los peinó a todos?,1528903851981553666,Si,Si,Admiración,,,2023-02-01T01:50:55.703060Z,2023-02-01T01:50:55.703064Z,37.052,
"Fajardo comienza el debate mostrando como las agresiones y señalamientos entre Fico y Petro generan una afectación a la población colombiana, afectación en la cual él no quiere participar #YoVotoPorFajardo  #ElDebateDefinitivo #DebateElTiempoSemana",1528905779373391872,Si,Si,Admiración,,,2023-02-01T01:50:17.223535Z,2023-02-01T01:50:17.223538Z,68.329,
#ElDebateDefinitivo viendo a Fico sin una palabra significativa. #YoVotoPorFajardo por sus palabras sensatas y posturas claras. El único sin lugares comunes!,1528903235209150465,Si,,"{""choices"": [""Admiración"", ""Sorpresa""]}",,,2023-02-01T01:49:05.201921Z,2023-02-01T01:49:05.201926Z,44.657,
"#ElDebateDefinitivo mi voto es por @FicoGutierrez. Jamás votaré por el que intento asesinar a mi padre, un guerrillero que sólo quiere el poder para perpetuarse. Ciegos los que piensan que @petrogustavo es el mesías.",1528898629708169217,Si,Si,Desagrado,,,2023-02-01T01:48:17.271595Z,2023-02-01T01:48:17.271599Z,24.051,
Para quienes han migrado de internet fijo de @Tigo_Colombia a @MovistarCo en Medellín en los últimos días/meses... ¿Qué tal les ha ido? #MeInquieta,1528806026643968002,No,,,,,2023-01-27T15:22:40.067804Z,2023-01-27T15:22:40.067811Z,21.544,
#MeInquieta que @AndresPastrana_ esté generando miedo e inquietud y... posible violencia el día de elecciones si no queda el candidato que cada uno quiere. Y @FiscaliaCol @PoliciaColombia @PGN_COL no dicen nada.  Estos últimos son corresponsables de lo que pueda pasar el donimgo,1528704766028697601,Si,Si,"{""choices"": [""Expectativa"", ""Desagrado"", ""Incertidumbre""]}",,,2023-01-27T15:22:16.812345Z,2023-01-27T15:22:16.812351Z,35.977,
"#MeInquieta ver como en Colombia solo se recuerdan los campesinos en las regiones apartadas, cuando sucede algo que genera morbo violencia o tristeza.",1528679668345360385,Si,Si,"{""choices"": [""Decepción"", ""Tristeza""]}",,,2023-01-27T15:21:39.005943Z,2023-01-27T15:21:39.005949Z,15.048,
"#FedericoEsColombia pero no será presidente, el país se mamo de estos falsos profetas paisas disfrazados de buena gente que tuvieron la oportunidad de dejar huella pero que solo han dejando desolación, hambre, pobreza y sangre por donde caminan",1528701830447960064,Si,Si,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-01-27T15:21:22.427861Z,2023-01-27T15:21:22.427866Z,134.192,
#FedericoEsColombia corrupta y llena de clanes,1528545198409662468,Si,Si,Desagrado,,,2023-01-27T15:19:06.328735Z,2023-01-27T15:19:06.328741Z,9.041,
@darcyquinnr #UnTramposoEs los periodistas que tiene una posición imparcial y utiliza el periodismo para hacer propaganda política.,1528857198503284736,Si,Si,Desagrado,,,2023-01-27T15:18:55.665345Z,2023-01-27T15:18:55.665352Z,15.871,
#UnTramposoEs el uribismo en todas sus presentaciones,1528812189678972928,Si,Si,Desagrado,,,2023-01-27T15:18:38.075056Z,2023-01-27T15:18:38.075062Z,8.433,
"#UnTramposoEs el ExPresidiario con sus múltiples Cartas bajo la manga, por eso  #MiVotoEsPetroYFrancia Ojo con el Voto. https://t.co/U8VgRz8VuR",1528787526718201860,Si,Si,Desagrado,,,2023-01-27T15:18:28.006170Z,2023-01-27T15:18:28.006176Z,23.542,
#UnTramposoEs quien con noticias falsas se queire tomar el poder @darcyquinnr,1528695959907180547,,,Desagrado,,,2023-01-27T15:18:02.815977Z,2023-01-27T15:18:02.815985Z,11.641,
"@darcyquinnr #UnTramposoEs el que se vale de su posición como ""periodista"" para servir como lavaperros, terminan haciendo cochinadas con los socios del esposo mientras lo de ”periodista"" ni siquiera lo había terminado. Bandidos finalmente.",1528687395423629312,Si,Si,Desagrado,,,2023-01-27T15:17:49.670588Z,2023-01-27T15:17:49.670596Z,31.102,
#UnTramposoEs el que inventa aplazar las elecciones para incendiar el País El pánico en la campaña del @PactoHistorico y @petrogustavo  es evidente Cortinas de humo pues #PetroNuncaSeráPresidente,1528688067267149824,Si,Si,Desagrado,,,2023-01-27T15:17:17.109202Z,2023-01-27T15:17:17.109208Z,287.657,
"@emiliolagos1 #MiVotoEsPetroYFrancia Quiero llegar a los 1.000 seguidores. Estamos a puertas de un cambio histórico #ProgresistaSigueProgresista Devolveré el follow a cada uno, vamos a crecer en comunidad, así le hacemos frente a la desinformación entre todos.  ME AYUDAN!! 🔄",1528849330932695040,No,,,,,2023-01-27T15:12:27.484884Z,2023-01-27T15:12:27.484890Z,38.492,
Por que Colombia necesita cambio #MiVotoEsPetroYFrancia,1528584113933934593,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-01-27T15:11:47.359357Z,2023-01-27T15:11:47.359363Z,21.715,
Ya no quieroas de los mismo #MiVotoEsPetroYFrancia,1528557117858357249,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-01-27T15:11:23.609748Z,2023-01-27T15:11:23.609754Z,10.803,
#MiVotoEsPetroYFrancia y nadie lo puede negar,1528552249265467394,Si,No,,,,2023-01-27T15:11:11.207949Z,2023-01-27T15:11:11.207959Z,8.724,
"Isssss @petrogustavo llamará a la ONU para que investigue la corrupción, se va a caer toda la estantería de la corrupción en Colombia. #MiVotoEsPetroYFrancia",1528543164067459072,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-01-27T15:11:00.899476Z,2023-01-27T15:11:00.899482Z,733.56,
"Papi, Fiquito, en tu tierra somos muchos lo que no te comemos cuento. Antioquia no es de Uribe, Antioquia se respeta.   #MiVotoEsPetroYFrancia",1528511395746152449,Si,Si,Desagrado,,,2023-01-27T14:58:44.907124Z,2023-01-27T14:58:44.907130Z,16.648,
"AVANZA EL PLAN GOLPE A LA DEMOCRACIA, EL NARCOESTADO PARAMILITAR Y SU MAFIA CORRUPTA NO DESEAN PERDER EL PODER #MiVotoEsPetroYFrancia https://t.co/riWZi2IP4G",1528510805007900672,Si,Si,"{""choices"": [""Desagrado"", ""Miedo"", ""Incertidumbre""]}",,,2023-01-27T14:58:26.476309Z,2023-01-27T14:58:26.476315Z,46.164,
"Hay que parar la guerra que desangra nuestra Nación y garantizar la materialización de los derechos fundamentales para todos los colombianos con el fin de vivir dignamente, vivir sabroso. #MiVotoEsPetroYFrancia",1528508445569306628,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-01-27T14:57:38.765073Z,2023-01-27T14:57:38.765079Z,13.468,
Admiro mucho el trabajo y talento de @sergiobarbosach en la campaña de Petro. Gracias por hacer parte del cambio y estar del lado correcto de la historia. #MiVotoEsPetroYFrancia,1528501595012534273,Si,Si,Admiración,,,2023-01-27T14:57:23.553793Z,2023-01-27T14:57:23.553798Z,14.663,
"Los únicos que deben de tener miedo a un cambio de Gustavo Petro son los corruptos, narcotraFICO, paramilitares y los vividores del estado que perderán sus privilegios!! #MiVotoEsPetroYFrancia",1528497422695030786,Si,Si,"{""choices"": [""Expectativa"", ""Desagrado"", ""Confianza""]}",,,2023-01-27T14:57:07.310377Z,2023-01-27T14:57:07.310382Z,29.219,
"Por un cambio, por la esperanza de un mejor país, por la vida de líderes jóvenes y líderes sociales, #MiVotoEsPetroYFrancia",1528473443271835653,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-01-27T14:56:36.460805Z,2023-01-27T14:56:36.460810Z,33.347,
#LoPeorDeEstasElecciones que no vayan a los debates,1528379195545501696,Si,Si,Decepción,,,2023-01-27T14:56:01.415709Z,2023-01-27T14:56:01.415714Z,21.481,
"#LoPeorDeEstasElecciones la falta de ética del periodismo, todos haciendo campaña por Petro 🤥 o por Fico Trataron de invisibilizar al Profesor y la gente del común indignada, va a terminar eligiendo al ingeniero. Chupen de su cocinado medios mediocres de comunicación de Colombia",1528362842734436352,Si,Si,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-01-27T14:55:38.381454Z,2023-01-27T14:55:38.381459Z,32.58,
"#FedericoEsColombia  ¡Gracias Medellin! 🙏🏻  Gracias por tanto apoyo, por ratificar  que Fico Gutiérrez es el cambio, pero el cambio para mejorar, para lograr que las regiones crezcan y sean centro de desarrollo.   #FicoUneAcolombia #FicoPresidente https://t.co/QMpqttqWXO",1528517416652873728,Si,Si,"{""choices"": [""Admiración"", ""Expectativa"", ""Confianza""]}",,,2023-01-27T14:55:03.891536Z,2023-01-27T14:55:03.891541Z,29.295,
Patria Honor lealtad !!  #FedericoEsColombia,1528503220875714560,No,,,,,2023-01-27T14:54:32.959806Z,2023-01-27T14:54:32.959811Z,18.778,
#FedericoEsColombia este 29 de Mayo salgamos todos a votar por la democracia y la libertad de colombia unidos por nuestro país #FedericoImparable #FedericoEsColombia #FicoPresidente2022,1528415123450343432,Si,Si,"{""choices"": [""Expectativa"", ""Confianza""]}",,,2023-01-27T14:54:11.538219Z,2023-01-27T14:54:11.538224Z,17.13,
"@RollingStoneCol @FranciaMarquezM Que va,  es la candidata  de Las Farc ,  del Eln.  Comunismo puro .   #FedericoEsColombia",1528401859635040256,Si,Si,Desagrado,,,2023-01-27T14:53:52.858344Z,2023-01-27T14:53:52.858350Z,15.609,
Fico va a hacer énfasis en la educación! Mi voto es por él este 29 de mayo #FedericoEsColombia https://t.co/uBK5QwhXx2,1528376868986044416,Si,Si,Confianza,,,2023-01-27T14:53:35.751096Z,2023-01-27T14:53:35.751102Z,24.289,
"#FedericoEsColombia Todos vamos a defender la democracia con FEDERICO.  Vota sí a la democracia, vota FEDERICO GUTIÉRREZ.",1528366244113547264,Si,Si,Confianza,,,2023-01-27T14:53:10.096377Z,2023-01-27T14:53:10.096382Z,36.781,
