text,tweet_id,sentiment_juanjo,sentiment_juanma,Confianza_juanma,Confianza_juanjo,miedo_juanma,miedo_juanjo,sorpresa_juanma,sorpresa_juanjo,tristeza_juanma,tristeza_juanjo,asco_juanma,asco_juanjo,ira_juanma,ira_juanjo,expectativa_juanma,expectativa_juanjo,alegria_juanma,alegria_juanjo,otra_juanma,otra_juanjo
Será que esos #pseudoPeriodistas que están tan pendientes de @QuinteroCalle no se pronuncian rechazando lo que le hacen algunos padres de Colegio Alemán a su familia? @lafm 🧐   #YaEsSuficiente,1529557684554452992,Asco,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"#YaEsSuficiente ya es suficiente de @petrogustavo , espero que perdiendo estas elecciones nos deje en paz a los colombianos con su proyecto fracasado comunista. Ya mk ya por favor 🙏🏻",1529466881609957378,"{""choices"": [""Desagrado"", ""Miedo""]}","{""choices"": [""Desagrado"", ""Odio""]}",False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"#YaEsSuficiente de campañas sucias, con engaños, insultos, calumnias.",1529419200221138944,Asco,"{""choices"": [""Decepción"", ""Desagrado""]}",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
#VotoPor Sergio Fajardo. Un presidente decente y que no divida es lo que necesita Colombia,1529613037866459136,Agrado,Admiración,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"#VotoPor #RodolfoHernandez hombre sabio, sagaz y visionario que transformará el país en potencia mundial, del atraso a ejemplo de desarrollo y crecimiento económico  #RodolfoPresidente  A los haters les digo, #RodolfoPresidente y si van a decir algo con argumentos no inventos",1529572795633414144,"{""choices"": [""Alegria"", ""Confianza""]}",Admiración,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
#VotoPor quien respete y promueva la Libertad Religiosa,1529443152259694592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#VotoPor el único candidato REAL de estas elecciones. @petrogustavo ❤️,1529442514637299712,Confianza,Admiración,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"#VotoPor @petrogustavo este 29 de mayo, y sus contendores sucios NO PODRAN CON NOSOTROS, SOMOS UNA NACIÓN VIVA QUE YA NO CREE EN MIEDOS https://t.co/2fQZrUL0r0",1529432551286349824,Expectativa,"{""choices"": [""Expectativa"", ""Asco"", ""Confianza""]}",True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
"#VotoPor un ingeniero jóven, decente, sin procesos por corrupción, que une y sabe administrar. #FicoUneAColombia",1529410737231351808,Confianza,"{""choices"": [""Admiración"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#GrandezaEs que Uribe se retire de la vida política y pública.,1529174627972521987,Desagrado,Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"#LeApuestoA las instituciones. Nunca he creído en el mesianismo. #LeApuestoA al debate y pensamiento crítico para construir en la diferencia, sin mojigatería, ni límites absurdos sobre el deber ser.",1529097150923214849,Confianza,"{""choices"": [""Expectativa"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
@darcyquinnr #LeApuestoA Dios a la fe a la esperanza a la vida a la coherencia,1529060822269448194,False,"{""choices"": [""Calma"", ""Confianza""]}",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
#AColombiaLePreocupa la propuesta de pensiones de Petro. Ayer en #ElDebateDefinitivo quedó nuevamente confirmado que si piensa usar la ahorros de millones para gastárselo en sus promesas de campaña.,1529119564503691264,"{""choices"": [""Ira"", ""Miedo""]}",Incertidumbre,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
#AColombiaLePreocupa que después de una pandemia salimos llenos de rencor,1529096515356176385,Decepción,Incertidumbre,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
"#AColombiaLePreocupa el abandono de las regiones! Fortalecer la seguridad alimentaria, salud, educación, vivienda, vías decentes el fortalecimiento del agro en su conjunto!",1529089553923026946,"{""choices"": [""Expectativa"", ""Incertidumbre""]}",Expectativa,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
"#AColombiaLePreocupa Cómo los 4000 ricos del país, Van a seguir evadiendo Impuestos e invertir en Publicidad con Desprestigiar la Economía q propone @petrogustavo para Ahora si Pagar lo que Pagamos Todos, Ayudando a Pagar la deuda con la q se hacen Ricos, Y decir Como q Dividir? https://t.co/y3OyH5lvZM",1529081340926345216,"{""choices"": [""Ira"", ""Asco""]}",False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
La Silicon Valley Latinoamericana aún no tiene software para las votaciones. #AColombiaLePreocupa,1529070396087185409,Decepción,Incertidumbre,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Es claro quien es el presidente y quienes van a quedar rabones ! Petro los peinó tranquilo !  #ElDebateDefinitivo,1529144849441644545,Otra,Admiración,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
#ElDebateDefinitivo ya empezaron los que “no dividen ni atacan” JAJAJAJAJAJAJ igual nada quita que #PetroGanaDebate https://t.co/yEIqmdKnK0,1528949742968967168,Asco,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Petro entiende muy bien que Fico tiene más votos que él, no hizo más que coquetear con Fajardo que lo ha rechazado una y otra vez. Si hubiera ido Rodolfo le chupa trompa.  #ElDebateDefinitivo",1528946887629451265,Asco,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Dos almas heridas de orgullos quedaron muy lastimadas después que Petro expuso un sólido y robusto plan de gobierno. DIOS LO BENDIGA   #PetroPresidenteEnPrimera #ElDebateDefinitivo,1528948234051280896,Admiración,"{""choices"": [""Admiración"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#ElDebateDefinitivo…¿por qué no fue John Mitón?,1528945271186591744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Vicky: Fico que piensa cuando ve la campaña de ""NarcotraFICO"" Fico: Es culpa de Petro  Petro Be like  #ElDebateDefinitivo https://t.co/BPr4Y9eH3E",1528938152810930176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fajardo responda algo: YO Federico: cuando yo fui alcalde #ElDebateDefinitivo,1528938148822241280,Otra,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"Fajardo tiene la misma propuesta de petro en pensiones, y ni el mismo lo sabe. Petro se lo tuvo que explicar. #ElDebateDefinitivo",1528936500745973760,Desagrado,"{""choices"": [""Decepción"", ""Sorpresa""]}",False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False
Cómo serán los cálculos del equipo de Fajardo... Y lo que más me sorprende es que ni él entiende su propuesta pensional 🙄 #ElDebateDefinitivo,1528937928751304704,"{""choices"": [""Decepción"", ""Sorpresa""]}","{""choices"": [""Decepción"", ""Sorpresa""]}",False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
"@petrogustavo R/ (Piedad y Roy) Los dos primeros son parlamentarios elegidos, son y serán senadores. Fajardo: ¿Roy Barreras es parlamentario elegido? ¿Fajardo dónde vive 🤣? #ElDebateDefinitivo",1528937621501661184,Otra,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Será que los petristas sí entenderán lo que significa una buena peinada?   #ElDebateDefinitivo https://t.co/i73z9ISb0P,1528934962463907842,Otra,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Y a este mk quien lo invito? #ElDebateDefinitivo,1528932196949663745,False,"{""choices"": [""Asco"", ""Desagrado"", ""Odio""]}",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Fico en el medio cuando Petro y Fajardo se encendieron por el tema de la financiacion de las pensiones  #ElDebateDefinitivo https://t.co/h3Syap7obf,1528931365177147392,Otra,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"Fico acaba de demostrar que no sirve ni para hacer una pregunta, le dan la oportunidad de hacerle una pregunta a Fajardo y va y le pregunta por el tema que se ha pasado hablando durante todo el debate.. #ElDebateDefinitivo",1528929360719355904,Desagrado,"{""choices"": [""Decepción"", ""Desagrado""]}",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"#ElDebateDefinitivo Cómo es que a uno le preguntan si Ajiaco o bandeja paisa, pero si es muy difícil esa entonces que escoja entre Bogotá y Medellín jajaja pero al otro candidato si se le encara con que si pondrá o no impuestos a las Iglesias.",1528924229692956673,Ira,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
"#ElDebateDefinitivo le falta a Federico Gutiérrez decir que ""vamos a vivir sabroso"" y ya se termina de robar todo el discurso de Petro.  Consejo. Si alguien se le roba la idea al otro. No vayan por el que se roba la idea, vayan por el que es el original.",1528921475553669128,"{""choices"": [""Asombro"", ""Asco""]}","{""choices"": [""Decepción"", ""Desagrado""]}",False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False
Lo mejor de #ElDebateDefinitivo es mi cuñado pensando que el moderador era Rodolfo.,1528921538090655744,Decepción,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Federico: bueno dos cosas • Cuando fui alcalde de Medellín • Los consejos que mi papá me daba  Fin, gracias por su atención que gran debate   #ElDebateDefinitivo",1528919115775238144,Decepción,Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
#ElDebateDefinitivo conclusión: @sergio_fajardo es un completo idiota...de verdad que si no pierde votos hoy...la gente es muy tonta!.,1528918181888270337,Desagrado,Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"No hay nada definido, votemos con libertad por la persona que tiene las mejores propuestas, con @sergio_fajardo   Colombia cambiará, no dejarse llevar por las encuestas, a votar el domingo #ElDebateDefinitivo #YoVotoPorFajardo por la colombia que queremos!!!!! https://t.co/cCFQPRpRtQ",1528917531565731840,"{""choices"": [""Expectativa"", ""Confianza""]}","{""choices"": [""Admiración"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Fico y su micrófono escondido en su sede de campaña, hmmmmmya jajajaja  #ElDebateDefinitivo",1528914947845021696,Desagrado,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"#DebateElTiempoSemana  @sergio_fajardo tiene toda la razón cuando dice :” yo no inspiro nada”, sus posturas siguen siendo respuestas que buscan no molestar a nadie y mostrarse éticamente correcto, pero son eso, nada  #ElDebateDefinitivo  #Colombia",1528915145300353025,Decepción,"{""choices"": [""Decepción"", ""Desagrado""]}",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"#EldebateDefinitivo en Chile no ha pasado nada...antes se aumento el salario mínimo en %mas alto de la historia,la gente va a votar por una nueva Constitución, Boric fue elegido dentro de los 100 más influyentes del mundo en Forbes",1528915216079065088,Confianza,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fico se enfanga con lo del perdón social. Ya lo verán. Petro si ha estudiado el tema. #ElDebateDefinitivo,1528915471323521026,Confianza,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"#ElDebateDefinitivo ha sido de lejos el peor que se ha hecho, los moderadores no tienen nada de autoridad y no se entiende el orden en lo absoluto.   @RevistaSemana nada de seriedad, que horror.",1528911745108123650,Decepción,Decepción,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"Me da miedo que el gamín de Fico le de un puño a Petro en la cara. Dios mío, es que lo tiene al lado. #ElDebateDefinitivo",1528907645544972288,Miedo,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#ElDebateDefinitivo fico es aguevado...creia que petro iba a caer en la trampa. Es obvio que tiene que extraditar jajajaj,1528908094675333124,Otra,Desagrado,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
#ElDebateDefinitivo  ¿Ya están diciendo que el cafre Petro los peinó a todos?,1528903851981553666,Desagrado,Admiración,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Fajardo comienza el debate mostrando como las agresiones y señalamientos entre Fico y Petro generan una afectación a la población colombiana, afectación en la cual él no quiere participar #YoVotoPorFajardo  #ElDebateDefinitivo #DebateElTiempoSemana",1528905779373391872,Aceptación,Admiración,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#ElDebateDefinitivo viendo a Fico sin una palabra significativa. #YoVotoPorFajardo por sus palabras sensatas y posturas claras. El único sin lugares comunes!,1528903235209150465,Agrado,"{""choices"": [""Admiración"", ""Sorpresa""]}",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"#ElDebateDefinitivo mi voto es por @FicoGutierrez. Jamás votaré por el que intento asesinar a mi padre, un guerrillero que sólo quiere el poder para perpetuarse. Ciegos los que piensan que @petrogustavo es el mesías.",1528898629708169217,"{""choices"": [""Miedo"", ""Odio""]}",Desagrado,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Para quienes han migrado de internet fijo de @Tigo_Colombia a @MovistarCo en Medellín en los últimos días/meses... ¿Qué tal les ha ido? #MeInquieta,1528806026643968002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#MeInquieta que @AndresPastrana_ esté generando miedo e inquietud y... posible violencia el día de elecciones si no queda el candidato que cada uno quiere. Y @FiscaliaCol @PoliciaColombia @PGN_COL no dicen nada.  Estos últimos son corresponsables de lo que pueda pasar el donimgo,1528704766028697601,Miedo,"{""choices"": [""Expectativa"", ""Desagrado"", ""Incertidumbre""]}",False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False
"#MeInquieta ver como en Colombia solo se recuerdan los campesinos en las regiones apartadas, cuando sucede algo que genera morbo violencia o tristeza.",1528679668345360385,Decepción,"{""choices"": [""Decepción"", ""Tristeza""]}",False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
"#FedericoEsColombia pero no será presidente, el país se mamo de estos falsos profetas paisas disfrazados de buena gente que tuvieron la oportunidad de dejar huella pero que solo han dejando desolación, hambre, pobreza y sangre por donde caminan",1528701830447960064,"{""choices"": [""Ira"", ""Odio""]}","{""choices"": [""Decepción"", ""Desagrado""]}",False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
#FedericoEsColombia corrupta y llena de clanes,1528545198409662468,"{""choices"": [""Ira"", ""Asco""]}",Desagrado,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
@darcyquinnr #UnTramposoEs los periodistas que tiene una posición imparcial y utiliza el periodismo para hacer propaganda política.,1528857198503284736,"{""choices"": [""Decepción"", ""Asco""]}",Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
#UnTramposoEs el uribismo en todas sus presentaciones,1528812189678972928,Asco,Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"#UnTramposoEs el ExPresidiario con sus múltiples Cartas bajo la manga, por eso  #MiVotoEsPetroYFrancia Ojo con el Voto. https://t.co/U8VgRz8VuR",1528787526718201860,Asco,Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
#UnTramposoEs quien con noticias falsas se queire tomar el poder @darcyquinnr,1528695959907180547,"{""choices"": [""Asco"", ""Miedo""]}",Desagrado,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"@darcyquinnr #UnTramposoEs el que se vale de su posición como ""periodista"" para servir como lavaperros, terminan haciendo cochinadas con los socios del esposo mientras lo de ”periodista"" ni siquiera lo había terminado. Bandidos finalmente.",1528687395423629312,"{""choices"": [""Ira"", ""Asco""]}",Desagrado,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
#UnTramposoEs el que inventa aplazar las elecciones para incendiar el País El pánico en la campaña del @PactoHistorico y @petrogustavo  es evidente Cortinas de humo pues #PetroNuncaSeráPresidente,1528688067267149824,"{""choices"": [""Ira"", ""Asco""]}",Desagrado,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
"@emiliolagos1 #MiVotoEsPetroYFrancia Quiero llegar a los 1.000 seguidores. Estamos a puertas de un cambio histórico #ProgresistaSigueProgresista Devolveré el follow a cada uno, vamos a crecer en comunidad, así le hacemos frente a la desinformación entre todos.  ME AYUDAN!! 🔄",1528849330932695040,Expectativa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Por que Colombia necesita cambio #MiVotoEsPetroYFrancia,1528584113933934593,Confianza,"{""choices"": [""Expectativa"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Ya no quieroas de los mismo #MiVotoEsPetroYFrancia,1528557117858357249,Decepción,"{""choices"": [""Expectativa"", ""Confianza""]}",True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
#MiVotoEsPetroYFrancia y nadie lo puede negar,1528552249265467394,Confianza,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Isssss @petrogustavo llamará a la ONU para que investigue la corrupción, se va a caer toda la estantería de la corrupción en Colombia. #MiVotoEsPetroYFrancia",1528543164067459072,"{""choices"": [""Expectativa"", ""Agrado""]}","{""choices"": [""Expectativa"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
"Papi, Fiquito, en tu tierra somos muchos lo que no te comemos cuento. Antioquia no es de Uribe, Antioquia se respeta.   #MiVotoEsPetroYFrancia",1528511395746152449,Desagrado,Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"AVANZA EL PLAN GOLPE A LA DEMOCRACIA, EL NARCOESTADO PARAMILITAR Y SU MAFIA CORRUPTA NO DESEAN PERDER EL PODER #MiVotoEsPetroYFrancia https://t.co/riWZi2IP4G",1528510805007900672,"{""choices"": [""Ira"", ""Miedo""]}","{""choices"": [""Desagrado"", ""Miedo"", ""Incertidumbre""]}",False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False
"Hay que parar la guerra que desangra nuestra Nación y garantizar la materialización de los derechos fundamentales para todos los colombianos con el fin de vivir dignamente, vivir sabroso. #MiVotoEsPetroYFrancia",1528508445569306628,"{""choices"": [""Expectativa"", ""Confianza""]}","{""choices"": [""Expectativa"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Admiro mucho el trabajo y talento de @sergiobarbosach en la campaña de Petro. Gracias por hacer parte del cambio y estar del lado correcto de la historia. #MiVotoEsPetroYFrancia,1528501595012534273,Admiración,Admiración,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Los únicos que deben de tener miedo a un cambio de Gustavo Petro son los corruptos, narcotraFICO, paramilitares y los vividores del estado que perderán sus privilegios!! #MiVotoEsPetroYFrancia",1528497422695030786,Odio,"{""choices"": [""Expectativa"", ""Desagrado"", ""Confianza""]}",True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
"Por un cambio, por la esperanza de un mejor país, por la vida de líderes jóvenes y líderes sociales, #MiVotoEsPetroYFrancia",1528473443271835653,Confianza,"{""choices"": [""Expectativa"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
#LoPeorDeEstasElecciones que no vayan a los debates,1528379195545501696,Decepción,Decepción,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"#LoPeorDeEstasElecciones la falta de ética del periodismo, todos haciendo campaña por Petro 🤥 o por Fico Trataron de invisibilizar al Profesor y la gente del común indignada, va a terminar eligiendo al ingeniero. Chupen de su cocinado medios mediocres de comunicación de Colombia",1528362842734436352,Asco,"{""choices"": [""Decepción"", ""Desagrado""]}",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
"#FedericoEsColombia  ¡Gracias Medellin! 🙏🏻  Gracias por tanto apoyo, por ratificar  que Fico Gutiérrez es el cambio, pero el cambio para mejorar, para lograr que las regiones crezcan y sean centro de desarrollo.   #FicoUneAcolombia #FicoPresidente https://t.co/QMpqttqWXO",1528517416652873728,Alegria,"{""choices"": [""Admiración"", ""Expectativa"", ""Confianza""]}",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Patria Honor lealtad !!  #FedericoEsColombia,1528503220875714560,Agrado,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#FedericoEsColombia este 29 de Mayo salgamos todos a votar por la democracia y la libertad de colombia unidos por nuestro país #FedericoImparable #FedericoEsColombia #FicoPresidente2022,1528415123450343432,Confianza,"{""choices"": [""Expectativa"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"@RollingStoneCol @FranciaMarquezM Que va,  es la candidata  de Las Farc ,  del Eln.  Comunismo puro .   #FedericoEsColombia",1528401859635040256,"{""choices"": [""Miedo"", ""Odio""]}",Desagrado,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
Fico va a hacer énfasis en la educación! Mi voto es por él este 29 de mayo #FedericoEsColombia https://t.co/uBK5QwhXx2,1528376868986044416,Confianza,Confianza,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"#FedericoEsColombia Todos vamos a defender la democracia con FEDERICO.  Vota sí a la democracia, vota FEDERICO GUTIÉRREZ.",1528366244113547264,Confianza,Confianza,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
@Ximena62005874 Con FICO me identifico   Con LARA la tengo clara.  #FedericoEsColombia,1528363136348262403,False,Confianza,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Karma. Es un aviso. Pero es tan descarado el KKs que culpará de esto a las Black Eagles, al continuismo, la oligarquía, a Uribe.  Se le desmorona su campaña, levantada a punta de mentiras, fake news, promesas falsas e incumplibles.  #FedericoEsColombia  #PetroNuncaSeráPresidente https://t.co/JKPFmgaGwU",1528360303347515393,Asco,Desagrado,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
