annotator	created_at	tweet_id	sentimento	text	answer	id	ironia	emocion	annotation_id	updated_at	relevancia	lead_time
1	2023-02-14T21:47:46.928228Z	1528486101031215104	{"choices": ["Alegria", "Confianza"]}	Hermoso ver el festival por el Cambio en total lleno la Plaza de Bolívar en Bogotá. #MiVotoEsPetroYFrancia 💛💙❤️💚💜		28	No	Si	28	2023-02-14T21:47:46.928276Z	Si	8.033
1	2023-02-14T21:48:05.933395Z	1528496806346334209	Confianza	@Uriasv @Noti_Space #MiVotoEsPetroYFrancia  #MiVotoEsPetroYFrancia   Para nunca más los padres tengan que enterrar a sus hijos  Para que la humanidad difnifique a todos sin estratos sociales  Para terminar el servicio Militar obligatorio   Para que la Salud Educación vivienda sea para todos		29	No	Si	29	2023-02-14T21:48:05.933433Z	Si	18.662
1	2023-02-14T21:48:16.045460Z	1528518344894291968	Confianza	si no es ahora no es nunca por eso #MiVotoEsPetroYFrancia		30	No	Si	30	2023-02-14T21:48:16.045511Z	Si	9.791
1	2023-02-14T21:48:20.277415Z	1528556739259514881	Confianza	#MiVotoEsPetroYFrancia En primera vuelta, el cambio en primera .		31	No	Si	31	2023-02-14T21:48:20.277524Z	Si	3.874
1	2023-02-14T21:48:28.745037Z	1528567752721674241	Confianza	Entonces, ya no es "amor eficaz", sino "amor político". Bueno, al fin y al cabo amor es amor.  #MiVotoEsPetroYFrancia		32	No	Si	32	2023-02-14T21:48:28.745154Z	Si	8.087
1	2023-02-14T21:48:43.535387Z	1528573411873767424	Desagrado	@alexapo74206987 @GustavoBolivar En esto se fue la plata que se robaron cuando tumbaron la ley de garantías. #MiVotoEsPetroYFrancia		33	No	Si	33	2023-02-14T21:48:43.535459Z	Si	14.455
1	2023-02-14T21:48:50.836290Z	1528600820840898561	Confianza	#MiVotoEsPetroYFrancia siiiiiii llegó el momento de hacer Historia, Colombia va a cambiar!! Seremos potencia mundial de la Vida y el progreso!! Salud, estudio, trabajo digno. #ElCambioEnPrimera #PetroPresidenteEnPrimeraVuelta		34	No	Si	34	2023-02-14T21:48:50.836341Z	Si	6.971
1	2023-02-14T21:49:16.786224Z	1528736735999451137	Confianza	#MiVotoEsPetroYFrancia mi voto es por la vida, por la libertad,por la paz🕊️ Mi voto es por el cambio.Dios permita llegue @petrogustavo y @FranciaMarquezM a la presidencia y vicepresidencia.Ansiosa de que llegue 29 de mayo para salir a votar #elcambioesenprimera #PetroPresidente		35	No	Si	35	2023-02-14T21:49:16.786273Z	Si	25.602
1	2023-02-14T21:49:39.105556Z	1528738793003573248	Desagrado	@darcyquinnr Esta desesperada. Jajajajaj que no se le note tanto el miedo. #MiVotoEsPetroYFrancia		36	No	Si	36	2023-02-14T21:49:39.105600Z	Si	21.986
1	2023-02-14T21:49:57.212062Z	1528750006269882368	{"choices": ["Admiración", "Confianza"]}	#MiVotoEsPetroYFrancia   Son los únicos que demuestran las competncias para gobernar este país; estan lejos de la corrupción, luchan por nuestros derechos y tienen propuestas claras.		37	No	Si	37	2023-02-14T21:49:57.212126Z	Si	17.766
1	2023-02-14T21:50:08.673058Z	1528763021769703424	{"choices": ["Admiración", "Confianza"]}	#MiVotoEsPetroYFrancia porque son los únicos que encarnan el verdadero cambio que necesitamos la mayoría de los colombianos.		38	No	Si	38	2023-02-14T21:50:08.673101Z	Si	11.107
1	2023-02-14T21:50:17.262105Z	1528839517926457346	Confianza	#MiVotoEsPetroYFrancia Colombia 🇨🇴 adolorida, quiere un cambio. Hoy esta imagen lo evidencia.		39	No	Si	39	2023-02-14T21:50:17.262154Z	Si	8.138
1	2023-02-14T21:50:23.889768Z	1528874251331448832	Confianza	Ya me coloque al día con todos los progresistas que me siguen, y vamos todos con #CambioEnPrimera #ProgresistaSigueProgresista #MiVotoEsPetroYFrancia		40	No	Si	40	2023-02-14T21:50:23.889811Z	Si	6.161
1	2023-02-14T21:50:27.776093Z	1528879175779635200	Confianza	#MiVotoEsPetroYFrancia y el de la mayoría de mi familia también. El cambio en primera.		41	No	Si	41	2023-02-14T21:50:27.776177Z	Si	3.405
1	2023-02-14T21:50:42.407766Z	1528709193053749248	Desagrado	#UnTramposoEs todos los que juntas en un Pacto para apoderarsen de un país próspero y que Lucha día a día por salir adelante #PetroNuncaSeráPresidente		42	No	Si	42	2023-02-14T21:50:42.407806Z	Si	14.189
1	2023-02-14T21:50:51.513134Z	1528728384674713601	Desagrado	@lcvelez #UnTramposoEs un periodista que manipula sus preguntas a favor de su candidato preferido.		43	No	Si	43	2023-02-14T21:50:51.513182Z	Si	8.587
1	2023-02-14T21:51:18.367884Z	1528753300392263680	Asco	@ELTIEMPO @IvanDuque @bbcmundo El pobre infeliz creció escuchando que todo lo que hacía, lo hacía bien. Hasta las cagadas se las aplaudieron. Y miren, hicieron de él un idiota empoderado, sin un atisbo de sensatez ni vergüenza. Definitivamente, la mediocridad y el conformismo imperan.  #UnTramposoEs		44	No	Si	44	2023-02-14T21:51:18.367936Z	Si	26.378
1	2023-02-14T21:51:27.677384Z	1528756358622982144	Desagrado	#UnTramposoEs    Rodolfo  Hernández    disque a luchar contra la corrupción   y el es  un  corrupto		45	No	Si	45	2023-02-14T21:51:27.677426Z	Si	8.852
1	2023-02-14T21:51:46.607609Z	1528798890744504327		Si duque se pudiera reelegir ud como votaría si fueran las elecciones #UnTramposoEs		46		No	46	2023-02-14T21:51:46.607706Z	Si	18.428
1	2023-02-14T21:54:33.750769Z	1528813507847901188	Desagrado	#UnTramposoEs El que se hace llamar anticorrupción y espera juicio por corrupto Vitalogic @ingrodolfohdez		47	No	Si	47	2023-02-14T21:54:33.750808Z	Si	166.654
1	2023-02-14T21:54:49.444276Z	1528828477813792772		@GatoMota @Compensar_info @Audifarma_SA @Supersalud Y si uno pide las cajas completas @Audifarma_SA dice: que por ser a mano la fórmula no se puede y @Compensar_info que no se puede porque así está estipulado MENTIROSOS! MAÑOSOS! #UnTramposoEs		48			48	2023-02-14T21:54:49.444321Z	No	15.339
1	2023-02-14T21:55:00.504613Z	1528838295043690499	Decepción	#UnTramposoEs quien uno menos imagina! ☹️		49	No	Si	49	2023-02-14T21:55:00.504705Z	Si	10.695
1	2023-02-14T21:55:06.215949Z	1528548733973143552	Confianza	#FedericoEsColombia y el pueblo lo sabe.		50	No	Si	50	2023-02-14T21:55:06.216032Z	Si	5.367
1	2023-02-14T21:55:22.777449Z	1528560498639241221	Confianza	@andresguerraho @Saramilena69 @AlvaroUribeVel Uribe No está Presente fisicam/ pero esta en Nuestros Corazones, lo demostramos cuando #FedericoEsColombia Agradeció el Apoyo y Acompañamiento del @CeDemocratico la Ovación fue ensordecedora. NO tenemos como Agradecerle al Presi Uribe todo lo que hace y sigue haciendo por C/bia.		51	No	Si	51	2023-02-14T21:55:22.777499Z	Si	16.215
1	2023-02-14T21:56:19.618400Z	1528571715667648513	Agrado	Gran manifestación en Medellín.  #FedericoEsColombia		52	No	Si	52	2023-02-14T21:56:19.618445Z	Si	56.482
1	2023-02-14T21:56:26.289721Z	1528575115541217280	Confianza	#FedericoEsColombia Me uno Federico Gutiérrez es Colombia.		53	No	Si	53	2023-02-14T21:56:26.289774Z	Si	6.323
1	2023-02-14T21:56:43.060750Z	1528673828582350850	Asco	#FedericoEsColombia Patán ignorante, es el continuismo del narco uribismo, Duque 2.0,Uribe 3.0. Narcotra-FICO.		54	No	Si	54	2023-02-14T21:56:43.060838Z	Si	16.26
1	2023-02-14T21:57:50.793463Z	1528807640217882624	{"choices": ["Admiración", "Confianza"]}	He leído el plan de gobierno de FICO y no existen dudas que será el mejor presidente en la historia de este país 🇨🇴 #FedericoEsColombia #SantandereanosConFico @FicoGutierrez		55	No	Si	55	2023-02-14T21:57:50.793550Z	Si	67.247
1	2023-02-14T21:58:05.512144Z	1528682326233952257	{"choices": ["Decepción", "Miedo"]}	#MeInquieta que la w no crea en la cancelación de elecciones, les recuerdo que tampoco creímos la jugadita con la ley de garantías. En este país todo puede pasar.		56	No	Si	56	2023-02-14T21:58:05.512224Z	Si	14.232
1	2023-02-14T21:58:32.174800Z	1528685416567693313	Miedo	Que Duque haga una jugadita con Notarios, proc uraduria, fiscalia y vicepresidente para robar elecciones #MeInquieta		57	No	Si	57	2023-02-14T21:58:32.174841Z	Si	26.195
1	2023-02-14T21:58:56.243341Z	1528696091981631490	{"choices": ["Desagrado", "Miedo"]}	#MeInquieta Que la w no pueda advertir la probabilidad de aplazamiento de elecciones en un gobierno tan corrupto y lleno de jugaditas.		58	No	Si	58	2023-02-14T21:58:56.243391Z	Si	23.597
1	2023-02-14T21:59:04.252962Z	1528706337315725312	Desagrado	#MeInquieta Andres Pastrana.  EL  EX   MAS TOXICO		59	No	Si	59	2023-02-14T21:59:04.253003Z	Si	7.675
1	2023-02-14T21:59:16.189987Z	1528718181308809216	Decepción	#MeInquieta la polarización y la miseria profesional que demuestran muchos representantes  del cuarto poder..se perdió la imparcialidad..la objetividad..la dignidad y el respeto por dejar actuar a los que exponwn intereses personales por encima de la etica...		60	No	Si	60	2023-02-14T21:59:16.190052Z	Si	11.569
1	2023-02-14T21:59:23.910343Z	1528750889967800320		#MeInquieta la historia de kathleen en Australia, felicitaciones por esa entrevista, estoy enganchado con ustedes desde la entrevista de Charles Manson		61			61	2023-02-14T21:59:23.910390Z	No	7.372
1	2023-02-14T21:59:32.387536Z	1528808141797957632		@Vida_Senior_ #MeInquieta que sepan que tambien mantiene activo nuestro sistema nervioso y la mente, muy importante		62			62	2023-02-14T21:59:32.387587Z	No	8.117
1	2023-02-14T21:59:51.329265Z	1528888946440085504		#ElDebateDefinitivo Para Petro: es inviable comprar paneles solares para tres millones de hogares. No existe suficiente oferta de estos en Colombia. Importarlos sale más caro. Igualmente su instalación Fabricarlos requiere minería para silicio No producen suficiente electricidad		63		No	63	2023-02-14T21:59:51.329311Z	Si	18.516
1	2023-02-14T22:00:05.257184Z	1528894030704443392	Confianza	#ElDebateDefinitivo Compadre PETRO, ¿Ira usted al debate? En caso de ser positivo: Alerta Máxima con los rayos láser de Vicky Dávila.  Que Dios le acompañe con su espalda e ilumine, para enfrentar esa jauría de Lobos.		64	No	Si	64	2023-02-14T22:00:05.257227Z	Si	13.555
1	2023-02-14T22:00:24.081200Z	1528905984453787649	{"choices": ["Decepción", "Desagrado"]}	En #ElDebateDefinitivo todos los candidatos metiendoles los dedos en la boca, diciendo que acabarán con la corrupción. Señores, es más fácil acabar con las drogas que con la corrupción. Maduren. 🤦🏻🤡		65	No	Si	65	2023-02-14T22:00:24.081259Z	Si	18.483
1	2023-02-14T22:00:32.355245Z	1528907109320036356	Admiración	Me perdonan pero a @petrogustavo nadie le gana en conocimiento de este país.   Pum, Pam! Toma! Cepillo! Petro a todos.   #ElDebateDefinitivo		66	No	Si	66	2023-02-14T22:00:32.355326Z	Si	7.894
1	2023-02-14T22:00:44.003018Z	1528907867344060422	Admiración	JAKALSHSKAKALS se re mato pensando la pregunta y el Petro fue re   Siks 👍🏻  #ElDebateDefinitivo  #DebateElTiempoSemana		67	No	Si	67	2023-02-14T22:00:44.003077Z	Si	11.295
1	2023-02-14T22:00:56.862653Z	1528907950743597056	Desagrado	Petro :”Uribe Uribe Uribe”  criticando el proceso de paz con los paramilitares que por debían ir a la justicia y no negociación con el gobierno…. Curioso que con los crimínales de lesa humanidad como son las FARC si es condescendiente #EldebateDefinitivo #PetroGanaDebate		68	No	Si	68	2023-02-14T22:00:56.862708Z	Si	12.511
1	2023-02-14T22:01:16.421766Z	1528911106865041411	Desagrado	#ElDebateDefinitivo El modelo petrista ha sido probado en muchos países y, en todos ellos, ha aumentado la miseria y el sufrimiento de la gente. Fracasó en la Unión Soviética, en la China de MAO, en Cuba y VeneZuela, entre otros		69	No	Si	69	2023-02-14T22:01:16.421816Z	Si	19.164
1	2023-02-14T22:01:31.251114Z	1528909547569659906	Desagrado	Alguien que le diga a @sergio_fajardo qué el debate es con datos, cifras y tanto calificativo y adjetivo de su propuesta. ¡Ya la sabemos! Que cuente algo novedoso #ElDebateDefinitivo		70	No	Si	70	2023-02-14T22:01:31.251175Z	Si	14.449
1	2023-02-14T22:01:36.692878Z	1528909634634924033	Confianza	En #ElDebateDefinitivo queda claro que @sergio_fajardo es el que puede unir a Colombia.		71	No	Si	71	2023-02-14T22:01:36.692967Z	Si	5.087
1	2023-02-14T22:01:54.383831Z	1528908981628022786	Desagrado	Super gracioso que entre Petro y Fajardo se hacen preguntas de nivel técnico y ambos entienden lo que proponen, pero Petro como Fajardo cuando se dirigen a Fico tienen que explicarle las cosas como si fuese un niño...  ¿En serio ese señor es así de tonto?. #ElDebateDefinitivo		72	No	Si	72	2023-02-14T22:01:54.383899Z	Si	17.3
1	2023-02-14T22:02:05.306162Z	1528910000416079872	{"choices": ["Decepción", "Desagrado"]}	Cómo putas llegó fico a una candidatura presidencial? Ese man no dice nada ! #ElDebateDefinitivo		73	No	Si	73	2023-02-14T22:02:05.306212Z	Si	10.567
1	2023-02-14T22:02:12.097028Z	1528910277126803457	Desagrado	#ElDebateDefinitivo El guerrillero Petro NO tiene nada que ver con la Constitución del 91. Se quiere ganar indulgencias con Avemarías ajenas		74	No	Si	74	2023-02-14T22:02:12.097071Z	Si	6.33
1	2023-02-14T22:02:18.417143Z	1528911538102353920		Hay que leer  Hay que leer   #ElDebateDefinitivo		75		No	75	2023-02-14T22:02:18.417185Z	Si	5.859
1	2023-02-14T22:02:43.873806Z	1528913179488681985	Desagrado	Parce ese Fico es muy nea, que pena con las neas que son todo bien todo copas, pero este se da garra. #ElDebateDefinitivo		76	No	Si	76	2023-02-14T22:02:43.873845Z	Si	25.006
1	2023-02-14T22:02:55.264480Z	1528915125964529665		Dice @sergio_fajardo: "No está definida aún esta campaña, hay que trabajar hasta el último minuto. No al llamado voto útil movido por medios de comunicación" #YoVotoPorFajardo #ElDebateDefinitivo		77		No	77	2023-02-14T22:02:55.264531Z	Si	10.941
1	2023-02-14T22:03:04.911384Z	1528913878016573441		#ElDebateDefinitivo : creo en propuestas, no encuestas		78		No	78	2023-02-14T22:03:04.911422Z	Si	9.21
1	2023-02-14T22:03:14.929328Z	1528917567254974465	Confianza	Haremos un Pacto Histórico Nacional alrededor de las reformas fundamentales que necesita la sociedad para convivir en paz, para que esté unida en la diversidad y la diferencia.    #ElDebateDefinitivo  #PetroGanaDebate		79	No	Si	79	2023-02-14T22:03:14.929382Z	Si	9.583
1	2023-02-14T22:03:48.067425Z	1528918255418626052	Desagrado	Fico: ¿puedo rematar? Petro: terminar, puede terminar.  La costumbre 😜  #ElDebateDefinitivo		80	Si	Si	80	2023-02-14T22:03:48.067498Z	Si	32.68
1	2023-02-14T22:03:58.165569Z	1528917494458683392	Confianza	#ElDebateDefinitivo el dialogo es definitivo: Petro		81	No	Si	81	2023-02-14T22:03:58.165621Z	Si	9.634
1	2023-02-14T22:04:14.579384Z	1528919281618001921	{"choices": ["Admiración", "Decepción"]}	El debate de hoy: flojo, flojo. El único que trató de ir más allá de la confrontación fue Sergio Fajardo. ¿En serio van a regalarle su voto a los mismos de siempre?   #ElDebateDefinitivo		82	No	Si	82	2023-02-14T22:04:14.579429Z	Si	15.932
1	2023-02-14T22:04:24.456665Z	1528920379376410629	{"choices": ["Decepción", "Desagrado"]}	#ElDebateDefinitivo   Fajardo dice: voy donde me convoquen...  Lo convocó @riosvivoscol... ¡NO FUE!  Lo convocaron las madres de Soacha... ¡NO FUE!  Eres un #Falsardo		83	No	Si	83	2023-02-14T22:04:24.456721Z	Si	9.533
1	2023-02-14T22:04:32.187831Z	1528920296773804032	Desagrado	Vicky hizo esa pregunta a Rodolfo solo porque sabe que le está respirando en la nuca a alias "Fico" #EldebateDefinitivo		84	No	Si	84	2023-02-14T22:04:32.187873Z	Si	7.391
1	2023-02-14T22:04:50.537684Z	1528922981694676992	Desagrado	En #ElDebateDefinitivo noté algo muy diciente:  Sólo cuando hablaba un candidato (no diré quién) aproveché para ir a hacer pipí, acomodar papeles, llevar la loza a la cocina y vainas así...		85	Si	Si	85	2023-02-14T22:04:50.537781Z	Si	17.975
1	2023-02-14T22:20:22.041511Z	1528923555882311685	Admiración	Lo mejor del #ElDebateDefinitivo ha sidoo #RodolfoPresidente. Que intervenciones tan magistrales.		86	No	Si	86	2023-02-14T22:20:22.041591Z	Si	931.103
1	2023-02-14T22:20:30.668116Z	1528921758610468866	{"choices": ["Decepción", "Incertidumbre"]}	#ElDebateDefinitivo si cada cuatro años es lo mismo, prometen llegan y todo es peor ¿Cuál es la garantía de las personas que en estas elecciones está la esperanza de Colombia?		87	No	Si	87	2023-02-14T22:20:30.668162Z	Si	8.183
1	2023-02-14T22:20:39.678210Z	1528922202908811264	Decepción	el debate sin propuestas y de alimento para el morbo, moderadores flojos y acomodados, como si eso sorprendiera... #EldebateDefinitivo		88	No	Si	88	2023-02-14T22:20:39.678252Z	Si	8.563
1	2023-02-14T22:20:57.398258Z	1528921243918925826	Desagrado	#ElDebateDefinitivo Y qué...  ¿ya les van a poner a hacer cabecitas?		89	No	Si	89	2023-02-14T22:20:57.398300Z	Si	17.306
1	2023-02-14T22:21:25.229803Z	1528925076606881792	Desagrado	La pregunta:  ¿Colombia es un país machista? Fico: No  Fajardo: Si Petro: Si  Rodolfo: En el baño   #ElDebateDefinitivo		90	Si	Si	90	2023-02-14T22:21:25.229888Z	Si	27.386
1	2023-02-14T22:21:41.071048Z	1528926058141171713	{"choices": ["Decepción", "Desagrado"]}	#ElDebateDefinitivo @sergio_fajardo  fue a vender ilusiones y convencer no a debatir no propone sólo dice redundancias, me sorprende profe sera que de proyectos no sabe tanto como de licenciatura...		91	No	Si	91	2023-02-14T22:21:41.071096Z	Si	15.358
1	2023-02-14T22:21:58.511166Z	1528923808316497920		#ElDebateDefinitivo Candidatos, ¿Cuál es el aporte con sus propuestas a los sectores más fuertes de comercio a nivel nacional?  Ejemplo en Bogotá, sector San Victorino y los San Andresitos que luchamos todos los días por dar empleo, cumplir impuestos, etc.		92		No	92	2023-02-14T22:21:58.511207Z	Si	17.021
1	2023-02-14T22:22:09.522662Z	1528925778922070016	Admiración	#ElDebateDefinitivo Se ve la clase y la decencia de Federico, mientras los otros cada uno habla por su lado buscando el bien individual, Federico sin odio, envidia y ningún resentimiento. Los otros candidatos repitiendo y siguen en las mismas, no han aprendido nada.		93	No	Si	93	2023-02-14T22:22:09.522710Z	Si	10.561
1	2023-02-14T22:22:19.543201Z	1528925095359655936	Desagrado	Otro poema en #ElDebateDefinitivo  Va a invitar a Nicolás Maduro a la posesión si gana? Y contesta Petro: No... el que invita es Duque. Luego, restablecería relaciones diplomáticas y comerciales   Guauuu...!!!		94	No	Si	94	2023-02-14T22:22:19.543289Z	Si	9.587
1	2023-02-14T22:22:51.455006Z	1528923965921558534	Desagrado	"TE DARE GARANTIAS EN LA OPOSICIÓN OME GUSTAVO" EXPRESA EL CANDIDATO @FicoGutierrez  QUE ACEPTA QUE YA PERDIO, GRANDE.  #ElDebateDefinitivo #PetroGanaDebate		95	No	Si	95	2023-02-14T22:22:51.455088Z	Si	31.459
1	2023-02-14T22:23:04.920580Z	1528926554662883336	{"choices": ["Decepción", "Desagrado"]}	Si este debate hablara, diría, como @sergio_fajardo: "Yo no inspiro nada" #ElDebateDefinitivo		96	No	Si	96	2023-02-14T22:23:04.920691Z	Si	12.947
1	2023-02-14T22:23:12.780889Z	1528926429097906178	Admiración	El profesor es Fajardo, pero el que educa cada vez que habla es Petro #ElDebateDefinitivo My president ❤️		97	No	Si	97	2023-02-14T22:23:12.780965Z	Si	7.403
1	2023-02-14T22:23:25.779278Z	1528928604058529793	Desagrado	Se le bajaron los Uribistas a Fico. Por eso se van con el @ingrodolfohdez Fico dice dizque no al glifosato, siii como no. #ElDebateDefinitivo		98	No	Si	98	2023-02-14T22:23:25.779359Z	Si	12.496
1	2023-02-14T22:23:43.707832Z	1528930507752448000	{"choices": ["Admiración", "Desagrado"]}	Hasta clase de matemáticas le terminó dando Petro a Fajardo jajajajajajajajajaj mk ese fajardo está que llora muero  #ElDebateDefinitivo		99	No	Si	99	2023-02-14T22:23:43.707914Z	Si	17.457
1	2023-02-14T22:23:51.046484Z	1528930779346178048	Admiración	Lo mejor que hizo @petrogustavo fue volver a los debates.   Da cátedra en este momento.   #ElDebateDefinitivo  #DebateElTiempoSemana		100	No	Si	100	2023-02-14T22:23:51.046559Z	Si	6.865
1	2023-02-15T12:46:54.157122Z	1528929897175035905	Desagrado	Y Rodolfo? En casa, no tiene con qué debatir. Pa' el todas las respuestas es combatir la corrupción a punta de madrazos.  #ElDebateDefinitivo		101	No	Si	101	2023-02-15T12:46:54.157199Z	Si	16.86
